poly,cate_id,cate_text,vietocr_text
"[280, 110, 363, 100, 365, 123, 280, 130]",16,ADDRESS,VIN THỊ ĐÌNH C
"[230, 142, 414, 124, 414, 148, 230, 164]",16,ADDRESS,Thn Thn Chn CTS KĐT Mỹ Đinh Nha
"[54, 166, 186, 166, 186, 202, 54, 202]",15,SELLER,VinCommerce
"[232, 172, 418, 154, 418, 174, 232, 190]",16,ADDRESS,"Phiếp Mê Trì, 0.Nam Từ Liêm, HN"
"[260, 194, 385, 182, 387, 205, 260, 214]",0,OTHER,024.71066866-20121
"[180, 240, 341, 232, 343, 251, 180, 260]",0,OTHER,HÓA ĐƠN BÁN HẢNG
"[354, 256, 467, 246, 469, 267, 354, 274]",0,OTHER,HĐ:00490297
"[50, 268, 300, 262, 300, 280, 50, 288]",17,TIMESTAMP,Ngày bán: 14/08/2020 18:25
"[334, 283, 469, 272, 471, 293, 336, 302]",0,OTHER,NVBH:09003403
"[50, 292, 134, 294, 134, 312, 50, 314]",0,OTHER,Quầy :002
"[408, 332, 470, 326, 470, 346, 408, 348]",0,OTHER,Ti Tiêng
"[336, 336, 356, 336, 356, 354, 336, 354]",0,OTHER,SL
"[228, 344, 300, 340, 300, 360, 228, 362]",0,OTHER,Đồn giáo
"[52, 346, 136, 348, 135, 366, 52, 366]",0,OTHER,Mặt hàng
"[52, 372, 440, 356, 440, 374, 52, 390]",0,OTHER,Thi Bánh Gao Nhật Vi M.ONG 1809 Thuy
"[406, 382, 470, 378, 470, 398, 406, 400]",0,OTHER,35.200
"[238, 394, 300, 390, 300, 410, 238, 412]",0,OTHER,35.200
"[52, 398, 186, 398, 186, 416, 52, 416]",0,OTHER,08836074609950
"[52, 424, 390, 410, 390, 430, 52, 444]",0,OTHER,"Tao xanh ngot 43,900/K88 KG NG"
"[406, 437, 472, 432, 472, 452, 408, 454]",0,OTHER,45.373
"[240, 446, 300, 442, 300, 462, 240, 464]",0,OTHER,143.373
"[54, 450, 186, 450, 186, 468, 54, 470]",0,OTHER,2600159009886
"[54, 476, 442, 460, 442, 480, 54, 494]",0,OTHER,Đưa chuột (dưa leo) L1 Vineco 30.000/kg thuy
"[56, 504, 138, 502, 138, 520, 56, 520]",0,OTHER,"10,522 KG"
"[410, 514, 476, 512, 476, 532, 410, 534]",0,OTHER,15.660
"[244, 526, 304, 522, 304, 540, 244, 542]",0,OTHER,15.660
"[54, 528, 188, 526, 188, 546, 54, 546]",0,OTHER,2607465005229
"[54, 554, 434, 542, 434, 562, 54, 572]",0,OTHER,Chân giỏ x. khói rút xương Đức Việt 4009
"[412, 570, 476, 568, 476, 588, 412, 588]",0,OTHER,191.800
"[242, 576, 306, 574, 306, 594, 242, 594]",0,OTHER,91.800
"[54, 580, 188, 578, 188, 596, 54, 598]",0,OTHER,8935101604180
"[404, 624, 478, 622, 478, 642, 404, 642]",18,TOTAL_COST,186.033
"[56, 630, 268, 628, 268, 648, 56, 652]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[56, 656, 230, 656, 230, 676, 56, 678]",0,OTHER,TỔNG TIỀN ĐÃ GIÁM
"[406, 678, 482, 676, 482, 696, 406, 696]",0,OTHER,186.033
"[56, 682, 200, 684, 200, 702, 56, 704]",0,OTHER,TIỀN KHÁCH TRÁ
"[404, 704, 480, 704, 480, 724, 404, 724]",0,OTHER,200.000
"[66, 708, 148, 710, 148, 730, 66, 730]",0,OTHER,NGITIÊN MẶT
"[428, 734, 482, 732, 482, 752, 428, 752]",0,OTHER,6.000
"[66, 738, 120, 738, 120, 756, 66, 756]",0,OTHER,Vinid
"[418, 760, 482, 760, 482, 778, 418, 778]",0,OTHER,19.967
"[56, 762, 180, 762, 180, 782, 56, 784]",0,OTHER,TIỀN TRẢ LẠI
"[138, 788, 396, 786, 396, 806, 138, 808]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[56, 846, 230, 842, 230, 862, 56, 864]",0,OTHER,ID THỂ KHÁCH HÀNG
"[438, 844, 484, 844, 484, 864, 438, 864]",0,OTHER,6618
"[52, 870, 316, 868, 316, 888, 52, 892]",0,OTHER,ĐIỂM TÍCH(1.000VND31 điểm)
"[306, 896, 484, 899, 483, 922, 305, 918]",0,OTHER,002012002004802371
"[54, 898, 192, 896, 192, 918, 54, 920]",0,OTHER,Số tham chiếu
"[134, 982, 414, 984, 414, 1006, 134, 1002]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[52, 1012, 494, 1020, 490, 1039, 52, 1030]",0,OTHER,Tax invoice will be issued wame day
"[112, 1066, 438, 1072, 438, 1094, 112, 1086]",0,OTHER,CÁM ON QUÝ KHÁCH VẬ HẠI HÀNH
"[50, 1096, 484, 1106, 484, 1124, 50, 1118]",0,OTHER,Hoti ine: 02471066866 webslier to man
