poly,cate_id,cate_text,vietocr_text
"[182, 68, 240, 68, 240, 80, 182, 80]",0,OTHER,CONTRINT
"[48, 78, 132, 88, 129, 109, 45, 99]",0,OTHER,Vincommerce
"[150, 84, 276, 82, 276, 92, 150, 94]",16,ADDRESS,Nonimmentional
"[178, 98, 226, 96, 226, 106, 178, 110]",16,ADDRESS,chura
"[174, 112, 214, 110, 214, 122, 174, 122]",0,OTHER,074710001
"[124, 134, 224, 134, 224, 146, 124, 146]",0,OTHER,NGA DONG NĂN THÁNG
"[44, 140, 198, 150, 198, 158, 44, 152]",17,TIMESTAMP,NGUY NHI THO NGUY
"[246, 148, 302, 148, 302, 160, 246, 160]",0,OTHER,1001010420
"[44, 152, 96, 156, 96, 166, 44, 164]",0,OTHER,Quayaot
"[220, 162, 302, 162, 302, 174, 220, 174]",0,OTHER,NGUY100010.44
"[44, 180, 97, 184, 95, 197, 44, 192]",0,OTHER,vật hân
"[154, 188, 199, 186, 201, 199, 154, 200]",0,OTHER,Dinh 010
"[278, 188, 304, 188, 304, 200, 278, 200]",0,OTHER,TICO
"[42, 194, 186, 202, 186, 214, 42, 206]",0,OTHER,NGÀY THÀNH DIỆN DIỆN THỊ NHINH VIỆN)
"[42, 207, 126, 212, 126, 224, 41, 219]",0,OTHER,09966131030700
"[160, 216, 200, 216, 200, 228, 160, 228]",0,OTHER,"20,200"
"[264, 218, 306, 216, 306, 228, 264, 228]",0,OTHER,"201,200"
"[40, 221, 192, 230, 192, 242, 39, 233]",0,OTHER,DIIFOOO TIÊU ĐẾN XAY MSKINH
"[40, 238, 124, 241, 123, 254, 40, 248]",0,OTHER,03936079202301
"[178, 244, 200, 244, 200, 256, 178, 256]",0,OTHER,200
"[278, 244, 305, 241, 307, 253, 280, 256]",0,OTHER,200
"[40, 266, 130, 270, 130, 282, 40, 278]",18,TOTAL_COST,THÔNG TIẾN PHẢI
"[148, 272, 176, 272, 176, 282, 148, 282]",18,TOTAL_COST,10
"[266, 272, 308, 272, 308, 282, 266, 284]",18,TOTAL_COST,15.400
"[38, 278, 150, 286, 150, 296, 36, 291]",0,OTHER,THÔNG TIÊN ĐÃ GIÁM
"[38, 296, 130, 300, 130, 310, 38, 308]",0,OTHER,TIẾN KUÁCH TRÁ
"[268, 302, 308, 300, 308, 312, 268, 312]",0,OTHER,49.400
"[44, 310, 90, 312, 90, 324, 44, 324]",0,OTHER,TIẾN MAT
"[268, 316, 310, 316, 310, 326, 268, 326]",0,OTHER,45.400
"[36, 326, 118, 328, 118, 340, 36, 338]",0,OTHER,TIÊN TRÁ LẠI
"[88, 342, 258, 346, 258, 358, 88, 354]",0,OTHER,(Giả đã bao gồm thuế gigt)
"[34, 370, 148, 374, 148, 388, 34, 382]",0,OTHER,ĐIĐ THẾ KHÁCH HANG
"[204, 376, 312, 376, 312, 388, 204, 388]",0,OTHER,xxxxxxxxxxxxxxx006
"[32, 386, 206, 388, 206, 402, 32, 400]",0,OTHER,Điểm tích(1.000VNĐ31 điểm)
"[32, 402, 122, 404, 122, 416, 32, 414]",0,OTHER,Số tham chiếu
"[198, 406, 306, 406, 306, 420, 198, 420]",0,OTHER,00396700100181647
"[78, 450, 262, 454, 262, 468, 78, 464]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[30, 468, 316, 472, 316, 482, 30, 480]",0,OTHER,Tha Tax invoice will be issued within same day
"[62, 502, 276, 504, 276, 516, 62, 514]",0,OTHER,CẢM ƠN GUY KHÁCH VẬ LẠI
"[26, 518, 312, 522, 312, 534, 26, 532]",0,OTHER,Hot line: 02471066866 Nebsite: Vinmart.com
