poly,cate_id,cate_text,vietocr_text
"[174, 72, 282, 72, 282, 86, 174, 84]",16,ADDRESS,VING ONH 112 Thanh Niên
"[156, 88, 300, 90, 300, 104, 156, 104]",16,ADDRESS,"Só 112 Thành Niên, Phi Thành"
"[42, 96, 134, 96, 134, 122, 42, 122]",15,SELLER,VinCommerced
"[190, 108, 282, 108, 282, 122, 190, 122]",16,ADDRESS,"Cầm Pha, Quảng Ninh"
"[186, 126, 270, 126, 270, 140, 186, 138]",0,OTHER,024.71088886.09571
"[128, 156, 240, 156, 240, 170, 128, 170]",0,OTHER,HÓA ĐƠN BÁN HẰNG
"[40, 172, 212, 174, 212, 186, 40, 184]",17,TIMESTAMP,Ngày bản: 10/08/2020
"[250, 172, 328, 174, 328, 186, 250, 186]",0,OTHER,10:00180754
"[40, 190, 96, 190, 96, 202, 40, 202]",0,OTHER,Ngay:001
"[236, 190, 328, 190, 328, 204, 236, 204]",0,OTHER,NVBH:09015348
"[38, 222, 96, 222, 96, 236, 38, 236]",0,OTHER,vất hàng
"[162, 222, 211, 220, 213, 235, 162, 236]",0,OTHER,Đơn giá
"[238, 224, 252, 224, 252, 236, 238, 236]",0,OTHER,SL
"[286, 222, 328, 222, 328, 236, 286, 236]",0,OTHER,T.TIẾN
"[38, 240, 192, 240, 192, 254, 38, 252]",0,OTHER,BIBIGO KINCHI CẢI THÁO
"[208, 240, 266, 240, 266, 254, 208, 254]",0,OTHER,ngô 5000
"[38, 256, 130, 256, 130, 270, 38, 268]",0,OTHER,08938508547616
"[284, 258, 328, 258, 328, 270, 284, 270]",0,OTHER,"47,900"
"[170, 258, 212, 258, 212, 270, 170, 268]",0,OTHER,17:900
"[38, 288, 186, 290, 186, 304, 38, 302]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[306, 292, 330, 292, 330, 304, 306, 304]",18,TOTAL_COST,900
"[36, 306, 158, 306, 158, 320, 36, 320]",0,OTHER,TỔNG TIẾN ĐÃ GIẢM
"[36, 324, 136, 324, 136, 338, 36, 338]",0,OTHER,TIỀN KHÁCH TRÁ
"[306, 326, 330, 326, 330, 338, 306, 338]",0,OTHER,900
"[278, 344, 330, 344, 330, 356, 278, 356]",0,OTHER,200.000
"[42, 342, 100, 342, 100, 356, 42, 356]",0,OTHER,TIÊN MẬT
"[34, 356, 122, 360, 122, 374, 34, 374]",0,OTHER,TIẾN TRÃ LẠI
"[278, 360, 330, 362, 330, 374, 278, 374]",0,OTHER,152.100
"[90, 378, 272, 378, 272, 392, 90, 392]",0,OTHER,Gia dà bao gom thuế gigt)
"[82, 430, 274, 432, 274, 446, 82, 444]",0,OTHER,Chỉ xuất hóa dơn trong ngày
"[30, 450, 332, 452, 332, 464, 30, 464]",0,OTHER,Tax invoice will be issued within same day
"[66, 486, 290, 488, 290, 502, 66, 500]",0,OTHER,CÁM ĐN QUY KHÁCH VẬ PHÁN ĐIỆN GIP LẠI
"[28, 504, 324, 506, 324, 518, 28, 518]",0,OTHER,Hof line: 02471066866 Website: Vinmart.com
