poly,cate_id,cate_text,vietocr_text
"[174, 74, 362, 76, 362, 98, 174, 96]",15,SELLER,MINIMART ANANI
"[148, 103, 384, 110, 384, 128, 145, 123]",16,ADDRESS,Chơ Sủi Phú Thi Gia Lâm
"[34, 134, 56, 134, 56, 150, 34, 150]",0,OTHER,el:
"[142, 176, 400, 180, 400, 210, 142, 206]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[40, 212, 135, 216, 133, 241, 40, 234]",0,OTHER,Tên hàng
"[162, 216, 252, 216, 252, 236, 162, 236]",0,OTHER,SL ĐVT
"[284, 218, 478, 214, 478, 234, 284, 238]",0,OTHER,Đơn giá Thành tiên
"[32, 244, 488, 244, 488, 262, 32, 266]",0,OTHER,08934673573344 Sữa đàn bò VNM đường 180ml NT
"[28, 272, 150, 274, 150, 296, 28, 294]",0,OTHER,Giá đăng ký:
"[318, 274, 370, 274, 370, 294, 318, 294]",0,OTHER,"7,250"
"[432, 298, 498, 298, 498, 320, 432, 320]",0,OTHER,"27,000"
"[26, 302, 110, 302, 110, 324, 26, 324]",0,OTHER,Giá bán:
"[316, 304, 370, 302, 370, 322, 316, 324]",0,OTHER,"6,750"
"[198, 306, 238, 306, 238, 322, 198, 322]",0,OTHER,HOP
"[26, 338, 398, 336, 398, 356, 26, 360]",0,OTHER,291013360000 bỉm quần hu8 NTX
"[426, 364, 502, 362, 502, 384, 426, 384]",0,OTHER,"195,000"
"[296, 366, 372, 366, 372, 388, 296, 388]",0,OTHER,"195,000"
"[198, 370, 236, 370, 236, 388, 198, 388]",0,OTHER,GOIL
"[16, 409, 104, 414, 104, 434, 14, 434]",0,OTHER,Tổng số:
"[178, 418, 188, 418, 188, 434, 178, 434]",0,OTHER,5
"[432, 434, 510, 432, 510, 454, 432, 454]",0,OTHER,"222,000"
"[14, 440, 123, 445, 121, 468, 12, 465]",0,OTHER,Tổng cộng
"[433, 476, 513, 473, 514, 496, 434, 499]",18,TOTAL_COST,"222,000"
"[12, 484, 108, 486, 108, 512, 10, 511]",18,TOTAL_COST,Tổng tiền
"[435, 510, 515, 507, 516, 530, 436, 533]",0,OTHER,"250,000"
"[256, 514, 300, 514, 300, 536, 256, 536]",0,OTHER,VND
"[12, 516, 168, 514, 168, 538, 12, 540]",0,OTHER,Tiền khách trả:
"[448, 546, 515, 542, 517, 565, 448, 568]",0,OTHER,"28,000"
"[8, 558, 162, 556, 162, 578, 8, 580]",0,OTHER,Tiền trả lại VND:
"[30, 606, 305, 596, 306, 623, 30, 632]",0,TIMESTAMP,SỐ GD: 000AC2212008002163
"[308, 598, 515, 588, 516, 615, 308, 626]",17,TIMESTAMP,Ngày: 15/08/2020-20:03
"[204, 640, 350, 636, 350, 660, 204, 662]",0,OTHER,Thu ngân: BH3
"[80, 672, 439, 658, 440, 679, 80, 694]",0,OTHER,Xin cám ơn và hẹn gắy khách thuy
