poly,cate_id,cate_text,vietocr_text
"[220, 112, 430, 110, 430, 128, 220, 134]",16,ADDRESS,Vi the nonh to thu Hinh Tinh Anh
"[252, 140, 396, 138, 396, 158, 252, 160]",16,ADDRESS,Tôn Khu Minh TMO ANH
"[44, 166, 180, 166, 180, 200, 44, 200]",15,SELLER,VinCommerce
"[236, 166, 430, 164, 430, 186, 236, 194]",16,ADDRESS,"19 Thi Thi Tinh Ti. Ti. Cim Pha, Cum"
"[258, 196, 390, 194, 390, 216, 258, 218]",0,OTHER,02471088300-61501
"[172, 246, 332, 244, 332, 266, 172, 266]",0,OTHER,HỒA ƠN BÁN HĂNG
"[358, 270, 468, 270, 468, 290, 358, 290]",0,OTHER,01:00031912
"[40, 276, 290, 276, 290, 292, 40, 296]",17,TIMESTAMP,Ngay ban: 03/08/2020 2111
"[340, 296, 478, 294, 478, 316, 340, 316]",0,OTHER,NVBH:09025438
"[40, 300, 124, 300, 124, 320, 40, 320]",0,OTHER,quây:001
"[38, 350, 124, 350, 124, 370, 38, 368]",0,OTHER,Mặt hàng s
"[404, 348, 470, 344, 470, 366, 404, 366]",0,OTHER,T. Tiền
"[330, 348, 350, 348, 350, 366, 330, 366]",0,OTHER,SL
"[224, 348, 290, 346, 290, 368, 224, 368]",0,OTHER,tơn giá
"[38, 374, 446, 372, 446, 392, 38, 394]",0,OTHER,Số thi sửa TTT TH True Mi Kk ít đường gói 220m 19
"[412, 398, 480, 398, 480, 418, 412, 418]",0,OTHER,76.000
"[340, 398, 364, 398, 364, 416, 340, 416]",0,OTHER,10
"[266, 398, 300, 398, 300, 418, 266, 418]",0,OTHER,600
"[38, 400, 174, 398, 174, 418, 38, 420]",0,OTHER,18935217400393
"[414, 450, 482, 448, 482, 468, 414, 468]",18,TOTAL_COST,76.000
"[38, 448, 260, 448, 260, 470, 38, 472]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[38, 474, 208, 474, 208, 496, 38, 498]",0,OTHER,TỔNG TIỀN Ả GIẢM
"[35, 501, 186, 500, 186, 522, 36, 524]",0,OTHER,TIẾN KHÁCH TRẢ
"[414, 502, 482, 502, 482, 522, 414, 522]",0,OTHER,76.000
"[406, 528, 482, 528, 482, 548, 406, 548]",0,OTHER,100.000
"[46, 526, 132, 528, 132, 548, 46, 548]",0,OTHER,TIỀN MẶT
"[36, 552, 164, 554, 164, 574, 36, 574]",0,OTHER,TIẾN TRẢ LẠI
"[414, 554, 484, 554, 484, 574, 414, 574]",0,OTHER,24.000
"[118, 580, 394, 580, 394, 600, 118, 600]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[36, 632, 216, 632, 216, 656, 36, 652]",0,OTHER,ID THẻ Khách hàng
"[418, 634, 484, 634, 484, 654, 418, 654]",0,OTHER,XX7045
"[462, 664, 474, 664, 474, 680, 462, 680]",0,OTHER,2
"[34, 658, 300, 656, 300, 682, 34, 678]",0,OTHER,iểm tích(1.000VND-1 điểm)
"[34, 684, 174, 684, 174, 706, 34, 706]",0,OTHER,Số tham chiếu
"[298, 686, 484, 686, 484, 708, 298, 708]",0,OTHER,00515600100031912
"[106, 762, 398, 768, 398, 792, 106, 786]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[34, 792, 486, 798, 486, 820, 34, 812]",0,OTHER,The Tax invoice will be issued within same day song
"[84, 844, 422, 850, 422, 872, 84, 866]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[30, 872, 476, 880, 476, 898, 30, 892]",0,OTHER,Hot line: 02471066866 Website: Vinmart.COMP
