poly,cate_id,cate_text,vietocr_text
"[40, 18, 210, 18, 210, 60, 40, 60]",15,SELLER,VinMartt
"[30, 81, 201, 91, 197, 123, 30, 113]",0,OTHER,Chuôi vàng
"[28, 126, 156, 124, 156, 152, 28, 150]",18,TOTAL_COST,Thành tiền
"[358, 134, 448, 132, 448, 154, 358, 154]",0,OTHER,Đơn Giá
"[366, 156, 438, 156, 438, 178, 366, 178]",0,OTHER,(VNĐ)
"[40, 150, 116, 150, 116, 224, 40, 224]",18,TOTAL_COST,49
"[360, 182, 470, 182, 470, 216, 360, 216]",0,OTHER,"25,500"
"[126, 150, 232, 150, 232, 226, 126, 226]",18,TOTAL_COST,062
"[360, 238, 460, 238, 460, 266, 360, 264]",0,OTHER,K.L (KG)
"[360, 276, 452, 276, 452, 314, 360, 314]",0,OTHER,"1,924"
"[36, 322, 266, 322, 266, 352, 36, 352]",0,OTHER,"02608093""019244"""
