poly,cate_id,cate_text,vietocr_text
"[214, 92, 394, 90, 394, 112, 214, 112]",16,ADDRESS,VIM ONH 1030-1062 Trần Phú
"[214, 118, 396, 116, 396, 136, 214, 138]",16,ADDRESS,Số 1050-1062 Đường Trần Phú Người
"[42, 136, 172, 136, 172, 172, 42, 172]",15,SELLER,Vincommerce
"[228, 144, 382, 142, 382, 162, 228, 162]",16,ADDRESS,"TP. Cảm Phá, Quảng Ninh)"
"[244, 168, 366, 168, 366, 188, 244, 188]",0,OTHER,02471066300-4900
"[162, 212, 312, 212, 312, 232, 162, 232]",0,OTHER,HÓA ĐN BÁN HẰNG
"[38, 236, 280, 238, 280, 256, 38, 258]",17,TIMESTAMP,Ngày bán: 13/08/2020 19:37
"[336, 236, 436, 236, 436, 256, 336, 256]",0,OTHER,00044240
"[38, 260, 118, 260, 118, 280, 38, 280]",0,OTHER,Quấy:001
"[318, 262, 446, 260, 446, 280, 318, 280]",0,OTHER,NVBH:09024146
"[376, 306, 438, 306, 438, 328, 376, 328]",0,OTHER,T.Tiển
"[38, 308, 120, 308, 120, 328, 38, 328]",0,OTHER,Mặt hàng
"[308, 310, 330, 310, 330, 328, 308, 328]",0,OTHER,SL
"[212, 308, 272, 308, 272, 330, 212, 328]",0,OTHER,dn giáo
"[38, 330, 340, 332, 340, 350, 38, 350]",0,OTHER,Chuối vàng 31.500/KG XG Thm Khu Khu Khu Khu Khu Khu Khu Khu Khu Khu
"[38, 354, 164, 354, 164, 374, 38, 374]",0,OTHER,2608093013501
"[384, 356, 446, 356, 446, 374, 384, 376]",0,OTHER,42.525
"[220, 356, 282, 356, 282, 374, 220, 374]",0,OTHER,42.525
"[38, 380, 62, 380, 62, 396, 38, 396]",0,OTHER,KM
"[386, 382, 448, 380, 448, 398, 386, 398]",0,OTHER,8.100
"[36, 402, 426, 402, 426, 422, 36, 422]",0,OTHER,OLIVOILÀ DẦU ÔNG THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI 
"[36, 426, 166, 426, 166, 446, 36, 446]",0,OTHER,8032927112643
"[384, 428, 448, 428, 448, 446, 384, 446]",0,OTHER,93.900
"[220, 428, 282, 426, 282, 446, 220, 446]",0,OTHER,93.900
"[36, 450, 378, 452, 378, 470, 36, 470]",0,OTHER,KEWPIE NƯỚC CHẤM MỀ TRANG CHAI 180M 1
"[36, 474, 166, 474, 166, 494, 36, 494]",0,OTHER,8936066340458
"[220, 474, 282, 474, 282, 492, 220, 492]",0,OTHER,23.500
"[384, 476, 448, 474, 448, 494, 384, 494]",0,OTHER,23.500
"[36, 518, 244, 520, 244, 540, 36, 540]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[376, 524, 450, 524, 450, 542, 376, 542]",18,TOTAL_COST,151.825
"[34, 542, 194, 542, 194, 564, 34, 564]",0,OTHER,TỔNG TIỀN Ả GIẢM
"[376, 548, 440, 548, 440, 566, 376, 566]",0,OTHER,8.100
"[34, 566, 174, 566, 174, 588, 34, 588]",0,OTHER,TIỀN KHÁCH TRẢ
"[376, 572, 450, 572, 450, 590, 376, 590]",0,OTHER,151.825
"[44, 592, 124, 594, 124, 612, 44, 612]",0,OTHER,TIẾN MẶT
"[376, 596, 450, 596, 450, 616, 376, 616]",0,OTHER,200.000
"[32, 614, 154, 618, 154, 638, 32, 636]",0,OTHER,TIỀN TRẢ LẠI
"[388, 620, 450, 620, 450, 640, 388, 640]",0,OTHER,48.175
"[110, 642, 370, 644, 370, 664, 110, 662]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[100, 714, 372, 718, 372, 740, 100, 736]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[28, 742, 452, 746, 452, 768, 28, 762]",0,OTHER,Tax invoice will be issued within same day
"[78, 790, 392, 796, 392, 816, 78, 812]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[26, 818, 444, 824, 444, 842, 26, 838]",0,OTHER,Hotline: 02471066866 Website: Vinmart.COM
"[4, 924, 220, 924, 220, 944, 4, 948]",0,OTHER,Nansung Triple Camerate
"[30, 954, 156, 952, 156, 966, 30, 962]",0,OTHER,anteralaxyment
