poly,cate_id,cate_text,vietocr_text
"[200, 102, 388, 102, 388, 124, 200, 122]",16,ADDRESS,VM - QNH 1060-1062 Trần Phú Thi
"[198, 130, 388, 130, 388, 152, 198, 150]",16,ADDRESS,Só 1060-1062 Đường Trần Phú Tr
"[20, 150, 154, 150, 154, 186, 20, 186]",15,SELLER,Vincommerce
"[212, 156, 372, 158, 372, 178, 212, 178]",16,ADDRESS,"Th. Tâ. Càm Phả, Quảng Ninh Nhiều"
"[230, 185, 356, 186, 356, 206, 230, 205]",0,OTHER,02471066366-49301
"[146, 234, 300, 234, 300, 254, 146, 254]",0,OTHER,HÓA ƠN BÁN HÀNG
"[18, 258, 268, 260, 268, 280, 18, 278]",17,TIMESTAMP,Ngày bán: 15/08/2020 10:46
"[324, 260, 428, 260, 428, 280, 324, 280]",0,OTHER,HO0064602
"[18, 282, 100, 284, 100, 304, 18, 304]",0,OTHER,Quầy::001
"[305, 285, 436, 286, 436, 304, 305, 305]",0,OTHER,SNNBB:09024144
"[18, 332, 102, 334, 102, 354, 18, 352]",0,OTHER,Mặt hàng
"[364, 334, 426, 334, 426, 356, 364, 356]",0,OTHER,TT. Tiển
"[196, 336, 257, 333, 259, 355, 196, 354]",0,OTHER,đơn giá
"[294, 336, 316, 336, 316, 354, 294, 354]",0,OTHER,SL
"[20, 358, 386, 366, 386, 380, 20, 376]",0,OTHER,VMNK Nho đó không hạt Mỹ 199.000/KG X
"[20, 384, 102, 384, 102, 402, 20, 400]",0,OTHER,"10,544 KG"
"[18, 406, 150, 408, 150, 428, 18, 426]",0,OTHER,2657561005449
"[198, 410, 266, 410, 266, 428, 198, 428]",0,OTHER,108.256
"[362, 410, 434, 410, 434, 428, 362, 428]",0,OTHER,108.256
"[20, 450, 228, 456, 228, 476, 18, 473]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[362, 458, 434, 458, 434, 478, 362, 478]",18,TOTAL_COST,108.256
"[20, 478, 180, 478, 180, 500, 20, 500]",0,OTHER,TỔNG TIỀN Ả GIẢM
"[20, 502, 160, 504, 160, 524, 20, 524]",0,OTHER,TIỀN KHÁCH TRẢ
"[362, 508, 434, 508, 434, 526, 362, 526]",0,OTHER,108.256
"[360, 530, 434, 532, 434, 550, 360, 550]",0,OTHER,101.256
"[30, 526, 112, 530, 112, 548, 30, 548]",0,OTHER,TIỀN MẶT
"[28, 552, 82, 552, 82, 572, 28, 572]",0,OTHER,Vinid
"[400, 556, 432, 556, 432, 574, 400, 574]",0,OTHER,000
"[20, 576, 142, 578, 142, 598, 20, 596]",0,OTHER,TIẾN TRÃ LẠI
"[98, 600, 352, 602, 352, 622, 98, 620]",0,OTHER,GGÁ ĐÃ BAO GỒM THUẾ GTGT)
"[272, 650, 428, 650, 428, 670, 272, 670]",0,OTHER,XXXXXXXXXXXXXXIXI977
"[20, 652, 189, 649, 187, 670, 20, 670]",0,OTHER,ID thẻ khách hàng
"[20, 674, 264, 672, 264, 692, 20, 694]",0,OTHER,Tiểm tích(1.000VND-1 điểm)
"[262, 698, 430, 700, 430, 720, 262, 718]",0,OTHER,00493000100064602
"[18, 698, 150, 698, 150, 718, 18, 718]",0,OTHER,Số tham chiếu
"[88, 768, 352, 768, 352, 790, 88, 788]",0,OTHER,Chí xuất hóa đơn trong ngày
"[20, 796, 428, 796, 428, 814, 20, 814]",0,OTHER,Tax invoice will be issued within same day
"[68, 840, 370, 840, 370, 858, 68, 860]",0,OTHER,CẦM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[18, 866, 416, 864, 416, 880, 18, 886]",0,OTHER,Hot line: 02471066866 Website: Vinmart com
