poly,cate_id,cate_text,vietocr_text
"[202, 96, 416, 96, 416, 116, 202, 116]",16,ADDRESS,VM+ QNH Dư án quỹ đất đường sắt chiến
"[214, 122, 406, 126, 406, 142, 214, 142]",16,ADDRESS,DA QĐ doc tuyến Đ5 Tô 3 Khu 2
"[42, 139, 173, 139, 173, 175, 42, 175]",15,SELLER,Vincommerce
"[226, 148, 408, 150, 408, 170, 226, 170]",16,ADDRESS,"19 Cảm Sơn, TP. Cảm Phả, T. ON TH"
"[244, 175, 372, 176, 372, 196, 244, 195]",0,OTHER,024.71066866-13951
"[166, 222, 316, 222, 316, 242, 166, 242]",0,OTHER,HÓA ƠN BÁN HÀNG
"[40, 244, 286, 248, 286, 268, 40, 266]",17,TIMESTAMP,Ngày bán: 14/08/2020 19:22
"[340, 246, 442, 246, 442, 266, 340, 266]",0,OTHER,11:00047893
"[40, 268, 120, 270, 120, 290, 40, 290]",0,OTHER,quấy:001
"[322, 272, 452, 270, 452, 290, 322, 290]",0,OTHER,NVBH:09026745)
"[40, 316, 122, 318, 122, 340, 40, 338]",0,OTHER,Mặt hàng
"[380, 320, 444, 316, 444, 338, 380, 338]",0,OTHER,T. Tiển
"[216, 320, 276, 318, 276, 340, 216, 340]",0,OTHER,Idn giá
"[312, 320, 332, 320, 332, 338, 312, 338]",0,OTHER,SL
"[40, 342, 342, 342, 342, 364, 40, 364]",0,OTHER,Trứng gà tươi Dabaco hộp 10 quản
"[40, 366, 170, 368, 170, 386, 40, 386]",0,OTHER,0996057560032
"[390, 368, 454, 368, 454, 386, 390, 388]",0,OTHER,25.600
"[224, 368, 286, 368, 286, 386, 224, 388]",0,OTHER,"25,600"
"[40, 390, 382, 392, 382, 412, 40, 410]",0,OTHER,Bánh cốm đậu xanh trần bảo minh 85g
"[38, 416, 170, 416, 170, 434, 38, 434]",0,OTHER,8936017561062
"[390, 416, 452, 416, 452, 436, 390, 436]",0,OTHER,16.000
"[332, 420, 340, 420, 340, 434, 332, 434]",0,OTHER,2
"[236, 420, 284, 416, 284, 434, 236, 434]",0,OTHER,8.000
"[388, 466, 454, 464, 454, 484, 388, 484]",18,TOTAL_COST,41.600
"[40, 460, 248, 462, 248, 482, 40, 482]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[40, 484, 200, 484, 200, 506, 40, 506]",0,OTHER,TỔNG TIẾN Ã GIẢM
"[38, 510, 178, 510, 178, 530, 38, 530]",0,OTHER,TIẾN KHÁCH TRẢN
"[390, 514, 454, 514, 454, 534, 390, 532]",0,OTHER,41.600
"[48, 534, 130, 536, 130, 556, 48, 556]",0,OTHER,TIỀN MẶT
"[392, 542, 454, 538, 454, 558, 392, 556]",0,OTHER,41.600
"[38, 558, 160, 560, 160, 580, 38, 580]",0,OTHER,TIẾN TRÃ LẠI
"[126, 584, 372, 586, 372, 606, 126, 604]",0,OTHER,Giá đã bao gồm thuế gtgt)
"[106, 656, 374, 662, 374, 682, 106, 678]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[36, 684, 454, 690, 454, 710, 36, 704]",0,OTHER,Tax invoice will be issued within same day 1991
"[86, 732, 394, 738, 394, 756, 86, 752]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[34, 758, 444, 766, 444, 782, 34, 776]",0,OTHER,Hot line: 02471066866 Website: Vinmart.comp
