poly,cate_id,cate_text,vietocr_text
"[198, 90, 330, 88, 330, 104, 198, 108]",16,ADDRESS,VINT QNH 112 Thanh Niên
"[178, 110, 350, 108, 350, 126, 178, 128]",16,ADDRESS,"19 Só 112 Thanh Niên, P. Cám Thành Thu"
"[42, 126, 150, 126, 150, 154, 42, 154]",15,SELLER,Vincommerce
"[200, 132, 330, 132, 330, 148, 200, 150]",16,ADDRESS,"TP. Cám Phà, Quảng Ninh"
"[212, 154, 316, 153, 316, 171, 212, 172]",0,OTHER,024.71068868-39871
"[146, 192, 280, 192, 280, 210, 146, 210]",0,OTHER,HÓA ĐƠN BÁN HẢNG
"[40, 214, 248, 214, 248, 230, 40, 228]",17,TIMESTAMP,Ngày bản: 12/08/2020 21:16
"[294, 212, 384, 212, 384, 228, 294, 228]",0,OTHER,HD:00181531
"[38, 230, 108, 234, 108, 248, 38, 248]",0,OTHER,quấy:001
"[278, 234, 386, 232, 386, 248, 278, 248]",0,OTHER,NVBH:09015345
"[36, 270, 108, 272, 108, 290, 36, 288]",0,OTHER,Mặt hàng
"[335, 271, 387, 269, 388, 285, 336, 288]",0,OTHER,T. Tiến
"[188, 272, 248, 272, 248, 290, 188, 290]",0,OTHER,Đơn giá
"[280, 276, 296, 276, 296, 288, 280, 288]",0,OTHER,SL
"[36, 290, 322, 292, 322, 308, 36, 308]",0,OTHER,Nước dừa tươi cocofresh tpa 11 t12
"[334, 312, 388, 312, 388, 326, 334, 328]",0,OTHER,33.000
"[38, 314, 148, 314, 148, 330, 38, 330]",0,OTHER,08934673719391
"[198, 316, 248, 312, 248, 330, 198, 330]",0,OTHER,33.000
"[36, 332, 314, 336, 314, 348, 36, 350]",0,OTHER,Nước trái cầy anh đảo capri-sonne
"[338, 354, 388, 352, 388, 368, 338, 368]",0,OTHER,"11,000"
"[220, 352, 248, 352, 248, 370, 220, 370]",0,OTHER,000
"[35, 351, 149, 351, 149, 369, 35, 369]",0,OTHER,4000177996003
"[36, 374, 304, 372, 304, 390, 36, 390]",0,OTHER,WALL'S Kem cup c.chip 100m1 55g)
"[346, 394, 390, 394, 390, 408, 346, 408]",0,OTHER,9.400
"[206, 396, 250, 392, 250, 410, 206, 410]",0,OTHER,9.400
"[36, 394, 150, 394, 150, 412, 36, 412]",0,OTHER,8851932126366
"[338, 434, 392, 436, 392, 450, 338, 450]",18,TOTAL_COST,53.400
"[36, 434, 218, 434, 218, 452, 36, 454]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[36, 454, 184, 454, 184, 472, 36, 474]",0,OTHER,TỔNG TIẾN ĐÃ GIĂM
"[340, 478, 394, 474, 394, 492, 340, 492]",0,OTHER,53.400
"[36, 476, 158, 474, 158, 494, 36, 496]",0,OTHER,TIẾN KHÁCH TRÃ
"[338, 496, 394, 496, 394, 514, 338, 514]",0,OTHER,53.400
"[44, 498, 116, 498, 116, 516, 44, 516]",0,OTHER,TIỀN MẶT
"[34, 518, 142, 520, 142, 538, 34, 538]",0,OTHER,TIẾN TRẢ LẠI
"[104, 540, 326, 538, 326, 556, 104, 558]",0,OTHER,(Giá đã bao gồm thuế gigt)
"[94, 604, 328, 606, 328, 624, 94, 624]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[36, 632, 396, 630, 396, 646, 36, 646]",0,OTHER,Tha Tax invoice will be issued within same day
"[78, 670, 346, 674, 346, 692, 78, 688]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[32, 692, 390, 698, 390, 716, 32, 710]",0,OTHER,Hot line: 02471066866 Website: Winmart.com
