poly,cate_id,cate_text,vietocr_text
"[192, 92, 284, 94, 284, 116, 192, 118]",15,SELLER,PHỔ MÓ
"[274, 120, 404, 120, 404, 146, 274, 140]",16,ADDRESS,P.Cẩm Thủy
"[62, 120, 256, 124, 256, 140, 62, 146]",16,ADDRESS,Tổ 7 khu Tân Lập 4 19
"[104, 146, 232, 146, 232, 166, 104, 170]",16,ADDRESS,Tp.Cầm Phả
"[250, 142, 372, 146, 372, 166, 248, 165]",16,ADDRESS,Quảng Ninh
"[146, 172, 326, 172, 326, 194, 146, 194]",0,OTHER,ĐT: 0858.931.931
"[146, 210, 326, 210, 326, 230, 146, 230]",0,OTHER,HÓA ĐƠN BẦN HÀNG
"[92, 234, 388, 234, 388, 254, 92, 248]",0,OTHER,Số HD130820-0004 - Bản : MANG VỀ AI
"[160, 260, 318, 258, 318, 276, 160, 272]",17,TIMESTAMP,03/08/2020-17010
"[54, 284, 144, 290, 143, 304, 54, 302]",0,OTHER,Khách hàng
"[54, 306, 90, 306, 90, 324, 54, 324]",0,OTHER,SĐT
"[54, 334, 110, 334, 110, 348, 54, 348]",0,OTHER,Địa chì:
"[54, 383, 116, 386, 116, 402, 52, 397]",0,OTHER,Đơn gia
"[330, 386, 414, 386, 414, 404, 330, 404]",0,OTHER,Thành tiền
"[264, 388, 282, 388, 282, 402, 264, 402]",0,OTHER,SL
"[50, 408, 132, 410, 132, 426, 50, 426]",0,OTHER,Tra chanh
"[50, 436, 104, 434, 104, 452, 50, 452]",0,OTHER,"10,000"
"[362, 438, 416, 438, 416, 456, 362, 456]",0,OTHER,"20,000"
"[48, 462, 154, 462, 154, 480, 48, 480]",0,OTHER,Khoai táy lắc
"[46, 490, 102, 488, 102, 506, 46, 506]",0,OTHER,"30,000"
"[366, 494, 418, 492, 418, 510, 366, 510]",0,OTHER,"30,000"
"[172, 535, 303, 542, 301, 561, 170, 556]",0,OTHER,Cộng tiền hàng:
"[366, 540, 420, 540, 420, 558, 366, 558]",0,OTHER,"50,000"
"[210, 566, 304, 566, 304, 586, 210, 586]",0,OTHER,Chiết khấu:
"[210, 594, 305, 600, 303, 621, 208, 615]",18,TOTAL_COST,Tổng cộng:
"[370, 598, 424, 600, 424, 618, 370, 618]",18,TOTAL_COST,"50,000"
"[178, 626, 304, 628, 304, 646, 178, 644]",0,OTHER,Tiền khách đưa
"[370, 628, 426, 628, 426, 648, 370, 646]",0,OTHER,"50,000"
"[224, 656, 302, 658, 302, 676, 224, 676]",0,OTHER,Tiền thửan
"[38, 686, 258, 686, 258, 706, 38, 704]",0,OTHER,Năm mươi nghìn đồng chắn
"[146, 730, 328, 732, 328, 750, 146, 748]",0,OTHER,Cam ơn và hẹn gặp lail
"[140, 756, 334, 758, 334, 774, 140, 774]",0,OTHER,Powered by Pos365 VN
