poly,cate_id,cate_text,vietocr_text
"[296, 202, 660, 196, 660, 230, 296, 234]",15,SELLER,CỬA HÀNG NĂM OÁNH
"[112, 256, 852, 242, 852, 270, 112, 284]",16,ADDRESS,"Thón Phú Thuy, Xà Phú Thị, Huyện Gia Lám, TP Hà Nội"
"[294, 300, 661, 294, 662, 324, 294, 328]",0,OTHER,0869322496-02438765210
"[308, 412, 648, 410, 648, 446, 308, 448]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[102, 486, 299, 482, 300, 513, 102, 514]",0,OTHER,Sô: SON55425
"[618, 482, 865, 474, 866, 504, 618, 516]",17,TIMESTAMP,Ngày: 11-08-2020
"[100, 616, 144, 616, 144, 648, 100, 648]",0,OTHER,SL
"[694, 612, 870, 600, 870, 642, 694, 644]",0,OTHER,Thành tiền
"[396, 615, 516, 612, 516, 652, 394, 645]",0,OTHER,Đơn giá
"[98, 674, 461, 671, 461, 709, 98, 712]",0,OTHER,NGK Want Dâu 78ml
"[410, 736, 506, 732, 506, 770, 410, 774]",0,OTHER,"3,000"
"[772, 733, 877, 729, 879, 771, 774, 775]",0,OTHER,"3,000"
"[94, 800, 606, 800, 606, 846, 94, 844]",0,OTHER,Mỳ 3 mien Tôm chua cay 75g
"[406, 862, 506, 862, 506, 900, 406, 900]",0,OTHER,"3,200"
"[758, 864, 884, 862, 884, 902, 758, 906]",0,OTHER,"16,000"
"[94, 866, 114, 866, 114, 894, 94, 894]",0,OTHER,5
"[90, 932, 476, 932, 476, 978, 90, 970]",0,OTHER,Hạt nêm Aji-ngon 2kg
"[394, 993, 518, 996, 517, 1039, 393, 1037]",0,OTHER,"97,000"
"[760, 998, 890, 998, 890, 1040, 760, 1040]",0,OTHER,"97,000"
"[85, 1065, 356, 1082, 349, 1123, 81, 1109]",18,TOTAL_COST,Cộng tiên hàng
"[746, 1078, 892, 1078, 892, 1122, 746, 1122]",18,TOTAL_COST,"116,000"
"[228, 1172, 742, 1182, 742, 1222, 228, 1206]",0,OTHER,Cám ơn quy khách. Hẹn gặp lại.
