poly,cate_id,cate_text,vietocr_text
"[56, 68, 265, 64, 267, 90, 56, 94]",15,SELLER,THE COFFEE HOUSE
"[68, 98, 252, 96, 252, 108, 68, 110]",16,ADDRESS,403 Phan Huy Tch) P. V. Phi thuy tinh thuy tinh thuy tinh thuy tinh thuy tinh thuy tinh thuy tinh thuy tinh thuy tinh thuy tinh t
"[122, 116, 142, 116, 142, 130, 122, 130]",0,OTHER,Số:
"[168, 114, 202, 114, 202, 132, 168, 132]",0,OTHER,436
"[162, 134, 291, 125, 292, 140, 162, 146]",0,OTHER,SỐ HD: TA981000073202
"[28, 132, 160, 134, 160, 146, 28, 144]",17,OTHER,Thời gian:02.10.2020 14.18
"[26, 160, 116, 162, 116, 174, 26, 174]",0,OTHER,Thu ngân: cashi
"[26, 178, 136, 176, 136, 188, 26, 190]",0,OTHER,Khách hàng: Hà Lâm
"[26, 194, 102, 192, 102, 204, 26, 206]",0,OTHER,Doll: Hà Lâm
"[262, 210, 296, 210, 296, 222, 262, 222]",0,OTHER,T.TIÊN
"[188, 212, 214, 212, 214, 224, 188, 224]",0,OTHER,Đ.Giá
"[70, 214, 116, 214, 116, 226, 70, 226]",0,OTHER,Tên môn
"[46, 230, 120, 232, 120, 244, 45, 243]",0,OTHER,Oolong Sen An
"[260, 236, 298, 234, 298, 248, 260, 248]",0,OTHER,52 000
"[186, 238, 220, 236, 220, 248, 186, 250]",0,OTHER,52 000
"[46, 246, 132, 244, 132, 256, 46, 258]",0,OTHER,Nhiên - Đà (Vưa)
"[260, 258, 298, 258, 298, 270, 260, 270]",0,OTHER,20 000
"[186, 258, 218, 258, 218, 270, 186, 270]",0,OTHER,10.000
"[46, 260, 132, 260, 132, 270, 46, 272]",0,OTHER,Banh Mi Que Cay
"[256, 276, 298, 276, 298, 290, 256, 290]",0,OTHER,72000
"[44, 278, 110, 278, 110, 290, 44, 290]",0,OTHER,Thành tiên:
"[46, 300, 114, 298, 114, 312, 46, 314]",18,TOTAL_COST,Thanh Toán
"[256, 300, 300, 300, 300, 314, 256, 314]",18,TOTAL_COST,72000
"[44, 316, 132, 312, 132, 324, 44, 328]",0,OTHER,Tiên khách đưa
"[258, 316, 300, 316, 300, 328, 258, 328]",0,OTHER,72000
"[44, 330, 94, 328, 94, 340, 44, 342]",0,OTHER,Tiên thưan
