poly,cate_id,cate_text,vietocr_text
"[122, 66, 268, 66, 268, 84, 122, 84]",15,SELLER,MINIMARTANAN
"[102, 92, 284, 94, 284, 108, 102, 110]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lam
"[10, 120, 34, 120, 34, 132, 10, 132]",0,OTHER,Tel:
"[98, 150, 298, 150, 298, 174, 98, 176]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[280, 178, 360, 178, 360, 196, 280, 196]",0,OTHER,Thành tiền
"[208, 182, 266, 180, 266, 198, 208, 196]",0,OTHER,Đơn giá
"[150, 180, 184, 180, 184, 196, 150, 196]",0,OTHER,ĐVT
"[22, 180, 94, 182, 94, 200, 22, 198]",0,OTHER,Tên hàng
"[114, 180, 136, 180, 136, 198, 114, 198]",0,OTHER,SL
"[16, 206, 300, 204, 300, 220, 16, 224]",0,OTHER,291006380000 Nước coca chai 390ml nt
"[234, 230, 274, 226, 274, 244, 234, 244]",0,OTHER,"6,000"
"[16, 228, 102, 230, 102, 246, 16, 246]",0,OTHER,Giá đăng ký
"[234, 254, 272, 250, 272, 268, 234, 266]",0,OTHER,"5,000"
"[312, 250, 372, 250, 372, 268, 312, 268]",0,OTHER,"120,000"
"[96, 254, 114, 254, 114, 268, 96, 268]",0,OTHER,24
"[142, 254, 170, 254, 170, 266, 142, 266]",0,OTHER,CHA
"[16, 252, 78, 254, 78, 270, 16, 270]",0,OTHER,Giá bán:
"[12, 284, 74, 288, 74, 302, 12, 304]",0,OTHER,Tổng số:
"[118, 290, 136, 290, 136, 302, 118, 302]",0,OTHER,24
"[316, 306, 378, 306, 378, 322, 316, 324]",0,OTHER,"120,000"
"[10, 306, 88, 308, 88, 326, 10, 326]",0,OTHER,Tổng cộng
"[318, 338, 378, 338, 378, 356, 318, 356]",18,TOTAL_COST,"120,000"
"[10, 335, 78, 338, 78, 358, 7, 356]",18,TOTAL_COST,Tổng tiển
"[10, 362, 124, 362, 124, 378, 10, 380]",0,OTHER,Tiển khách trái
"[184, 362, 218, 362, 218, 380, 184, 380]",0,OTHER,VND
"[318, 362, 380, 362, 380, 382, 318, 382]",0,OTHER,"120,000"
"[24, 398, 219, 394, 220, 413, 24, 416]",0,OTHER,Số GD: 000AC2212008001323
"[220, 396, 376, 398, 376, 416, 220, 416]",17,OTHER,Ngày: 10/08/2020-18:06
"[148, 424, 252, 424, 252, 442, 148, 442]",0,OTHER,Thu ngân: BH3
"[60, 444, 320, 446, 320, 464, 60, 462]",0,OTHER,Xã Xân cấm an và hẹn gặp lại quý khách thuy
