poly,cate_id,cate_text,vietocr_text
"[150, 61, 428, 60, 428, 78, 149, 75]",15,SELLER,NHU NÀY THONG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG THÁNG T
"[78, 80, 412, 82, 412, 100, 78, 98]",16,ADDRESS,ĐC T12 Đường Trần Phú Tháng
"[76, 106, 250, 108, 250, 128, 76, 126]",0,OTHER,Nhân viên thu ngân
"[72, 132, 385, 131, 385, 151, 72, 150]",0,OTHER,0110333863328
"[70, 154, 358, 156, 358, 176, 70, 172]",17,TIMESTAMP,Thời gian: 10:40 00 00 00 000000
"[66, 182, 152, 183, 149, 203, 66, 196]",0,OTHER,Trên hàng
"[246, 186, 272, 186, 272, 200, 246, 200]",0,OTHER,SL
"[296, 184, 332, 184, 332, 200, 296, 200]",0,OTHER,Giá
"[404, 186, 500, 188, 500, 202, 404, 202]",0,OTHER,monhtien
"[48, 206, 232, 214, 231, 229, 46, 225]",0,OTHER,Kep sắt màu 19mm
"[294, 212, 360, 212, 360, 232, 294, 232]",0,OTHER,40.000
"[430, 214, 508, 212, 508, 232, 430, 232]",0,OTHER,40 0000
"[46, 230, 204, 234, 204, 254, 46, 250]",0,OTHER,Bút da quang 700
"[432, 238, 512, 236, 512, 254, 432, 254]",0,OTHER,50.0000
"[294, 238, 362, 238, 362, 256, 294, 256]",0,OTHER,28.000
"[40, 256, 216, 258, 219, 279, 40, 276]",0,OTHER,Ghim cài tam giác
"[466, 258, 518, 258, 518, 276, 466, 276]",0,OTHER,000
"[326, 260, 364, 260, 364, 280, 326, 280]",0,OTHER,000
"[472, 280, 524, 280, 524, 300, 472, 300]",0,OTHER,0004
"[36, 280, 172, 286, 172, 306, 36, 300]",0,OTHER,Bút dạ quang
"[327, 289, 365, 286, 366, 301, 328, 304]",0,OTHER,000
"[446, 306, 530, 304, 530, 324, 446, 324]",0,OTHER,64.000đ
"[32, 306, 201, 313, 199, 335, 32, 326]",0,OTHER,File A4S-40GSV
"[298, 312, 367, 307, 369, 327, 298, 330]",0,OTHER,164.000
"[436, 332, 538, 330, 538, 352, 436, 354]",0,OTHER,198.000đ
"[28, 336, 225, 345, 223, 367, 28, 356]",0,OTHER,Rèn luyện kỹ năng
"[286, 340, 370, 338, 370, 358, 286, 360]",0,OTHER,198.000
"[20, 360, 138, 366, 138, 394, 17, 389]",0,OTHER,Tổng cộng:
"[430, 364, 542, 362, 542, 388, 430, 388]",0,OTHER,373.000
"[516, 396, 550, 396, 550, 422, 516, 422]",0,OTHER,0đ
"[16, 400, 246, 405, 245, 428, 16, 426]",0,OTHER,Chiết khấu bán hàng:
"[438, 436, 556, 434, 556, 460, 438, 462]",18,TOTAL_COST,373.000d
"[11, 433, 230, 440, 230, 464, 7, 463]",18,TOTAL_COST,Tổng số thanh toán:
"[80, 486, 454, 478, 454, 514, 80, 516]",0,OTHER,XIN CẢM ƠN QUI KHÁCHI
