poly,cate_id,cate_text,vietocr_text
"[96, 80, 330, 82, 330, 102, 96, 100]",15,SELLER,NHÀ SÁCH GD-TC CÁM PHẢ
"[40, 104, 316, 106, 316, 126, 40, 122]",16,ADDRESS,Đó 212 Đường Trần Phú Cẩm Phả
"[40, 130, 184, 134, 184, 152, 40, 148]",0,OTHER,Nhân viên thu ngân
"[40, 154, 292, 156, 292, 176, 40, 172]",0,OTHER,OTTO333863328 - Fax 0333863328
"[40, 174, 268, 180, 268, 198, 40, 194]",17,TIMESTAMP,Thời gian:09:55:24 - 15/08/2020
"[40, 204, 106, 206, 106, 222, 40, 218]",0,OTHER,Tren hàng
"[220, 206, 248, 206, 248, 220, 220, 220]",0,OTHER,Gia
"[304, 210, 380, 210, 380, 224, 304, 224]",0,OTHER,Thinh tiên
"[30, 228, 110, 230, 110, 246, 30, 246]",0,OTHER,Bút TL 093
"[218, 230, 270, 234, 270, 248, 218, 248]",0,OTHER,65.000
"[320, 234, 380, 234, 380, 250, 320, 250]",0,OTHER,55.000d
"[30, 252, 170, 252, 170, 270, 30, 270]",0,OTHER,1 Tài liệu ÔT thí ts
"[218, 254, 270, 254, 270, 272, 218, 272]",0,OTHER,38.000
"[320, 256, 380, 254, 380, 274, 320, 274]",0,OTHER,38.0000
"[28, 271, 108, 276, 108, 296, 26, 292]",0,OTHER,Tổng cộng)
"[194, 280, 204, 280, 204, 296, 194, 296]",0,OTHER,2
"[314, 280, 378, 280, 378, 298, 314, 298]",0,OTHER,93.000d
"[28, 300, 183, 305, 180, 325, 28, 320]",0,OTHER,Chiết khấu bán hàng
"[356, 306, 378, 306, 378, 324, 356, 324]",0,OTHER,Od
"[28, 328, 174, 332, 174, 348, 28, 348]",18,TOTAL_COST,Tổng số thanh toán:
"[312, 332, 378, 332, 378, 350, 312, 348]",18,TOTAL_COST,93.000d
"[76, 360, 312, 358, 312, 382, 76, 380]",0,OTHER,XIN CẢM ƠN QUI KHÁCHI
