poly,cate_id,cate_text,vietocr_text
"[164, 58, 298, 48, 298, 68, 164, 70]",16,ADDRESS,"VINH CINH TÔ 7, KHU MINH TIẾN A"
"[186, 74, 276, 68, 276, 84, 186, 88]",16,ADDRESS,Th7 Khu Minh Tiên A
"[50, 86, 138, 86, 138, 110, 50, 110]",15,SELLER,VinCommerce
"[174, 88, 298, 84, 298, 102, 174, 104]",16,ADDRESS,"Củm Bình TP. Cầm Pha, ONH"
"[188, 106, 272, 106, 272, 120, 188, 120]",0,OTHER,02471066366/51561
"[134, 138, 238, 136, 238, 150, 134, 150]",0,OTHER,NGÀY BÁN HÁNG
"[252, 152, 322, 152, 322, 166, 252, 166]",0,OTHER,100032683
"[48, 154, 216, 154, 216, 166, 48, 168]",17,TIMESTAMP,Ngày bán: 13/08/2020 19307
"[240, 165, 330, 165, 330, 179, 240, 179]",0,OTHER,NVCH:09025435
"[48, 170, 102, 170, 102, 182, 48, 182]",0,OTHER,quây 001
"[234, 200, 248, 200, 248, 212, 234, 212]",0,OTHER,SL
"[290, 198, 324, 198, 324, 212, 290, 212]",0,OTHER,Tiến
"[166, 202, 210, 200, 210, 214, 166, 212]",0,OTHER,đn giá
"[48, 202, 104, 203, 103, 216, 48, 214]",0,OTHER,Mặt hăng
"[48, 218, 298, 214, 298, 228, 48, 230]",0,OTHER,"Tào Envy Newzealland 90-110 157,500/KG"
"[60, 234, 104, 234, 104, 244, 60, 246]",0,OTHER,1950 KG
"[284, 246, 332, 246, 332, 258, 284, 258]",0,OTHER,149.625
"[168, 248, 216, 248, 216, 260, 168, 260]",0,OTHER,149.625
"[46, 248, 136, 248, 136, 262, 46, 262]",0,OTHER,2602393009509
"[282, 262, 332, 262, 332, 274, 282, 274]",0,OTHER,131870
"[46, 266, 64, 266, 64, 276, 46, 276]",0,OTHER,KM
"[46, 280, 292, 278, 292, 292, 46, 294]",0,OTHER,BƯỜI HỒNG DA XANH TÚI TƯƠI KH
"[58, 298, 102, 296, 102, 310, 58, 310]",0,OTHER,422 KG
"[290, 310, 332, 310, 332, 322, 290, 322]",0,OTHER,32.857
"[174, 312, 216, 312, 216, 324, 174, 324]",0,OTHER,92.857
"[45, 311, 135, 311, 135, 325, 45, 325]",0,OTHER,2600179014228
"[284, 326, 332, 326, 332, 340, 284, 340]",0,OTHER,16.211
"[46, 346, 238, 344, 238, 356, 46, 358]",0,OTHER,Mit quả 43.900/kg 202 Kg
"[290, 360, 334, 360, 334, 372, 290, 372]",0,OTHER,54.524
"[46, 362, 136, 362, 136, 376, 46, 376]",0,OTHER,02600984012426
"[174, 362, 216, 362, 216, 374, 174, 374]",0,OTHER,144:524
"[46, 378, 218, 378, 218, 390, 46, 392]",0,OTHER,KHO TRÁI CÂY SKITTLES 45G
"[292, 392, 334, 392, 334, 406, 292, 406]",0,OTHER,15.200
"[174, 394, 218, 394, 218, 406, 174, 406]",0,OTHER,15.200
"[45, 394, 135, 394, 135, 408, 45, 408]",0,OTHER,08877010448016
"[44, 412, 320, 408, 320, 422, 44, 424]",0,OTHER,Xúc Xich Red trùng cp (mn) gói 2009)
"[292, 426, 334, 426, 334, 440, 292, 438]",0,OTHER,19.000
"[174, 426, 218, 426, 218, 440, 174, 440]",0,OTHER,24.500
"[44, 428, 134, 428, 134, 440, 44, 440]",0,OTHER,08935058911683
"[44, 444, 218, 444, 218, 456, 44, 458]",0,OTHER,MARSMALLOWS KEO MEGA 1209
"[292, 458, 336, 458, 336, 472, 292, 472]",0,OTHER,28.300
"[174, 460, 218, 460, 218, 472, 174, 472]",0,OTHER,"28,300"
"[44, 460, 134, 460, 134, 474, 44, 474]",0,OTHER,08888296038288
"[44, 478, 258, 476, 258, 492, 44, 490]",0,OTHER,SCULT FRISTI H.NHO L6 HỘP 80M1
"[292, 492, 336, 492, 336, 506, 292, 506]",0,OTHER,23.900
"[174, 494, 218, 494, 218, 506, 174, 506]",0,OTHER,23.900
"[42, 494, 134, 494, 134, 508, 42, 508]",0,OTHER,088934841861112
"[42, 510, 321, 506, 322, 521, 42, 524]",0,OTHER,NƯỚC UỐNG TĂNG TỰC REDBU 101 2001 2001 2001
"[194, 528, 218, 528, 218, 540, 194, 540]",0,OTHER,200
"[300, 528, 338, 526, 338, 540, 300, 540]",0,OTHER,9.200
"[42, 528, 134, 528, 134, 542, 42, 542]",0,OTHER,18935112200005
"[42, 546, 58, 546, 58, 558, 42, 558]",0,OTHER,KM
"[314, 544, 338, 544, 338, 556, 314, 556]",0,OTHER,400
"[42, 562, 280, 560, 280, 576, 42, 576]",0,OTHER,Trà 0 long Tea-Pius T24 cha ix350m 1
"[300, 578, 338, 578, 338, 592, 300, 592]",0,OTHER,"7,100"
"[42, 580, 134, 580, 134, 594, 42, 594]",0,OTHER,08934588873140
"[180, 580, 218, 578, 218, 592, 180, 594]",0,OTHER,"7,100"
"[42, 598, 58, 598, 58, 610, 42, 610]",0,OTHER,KM
"[294, 596, 340, 596, 340, 610, 294, 610]",0,OTHER,10100
"[40, 630, 192, 630, 192, 646, 40, 646]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[288, 632, 340, 632, 340, 644, 288, 644]",18,TOTAL_COST,398.125
"[282, 650, 332, 650, 332, 662, 282, 662]",0,OTHER,311581
"[40, 648, 156, 648, 156, 662, 40, 662]",0,OTHER,TỔNG TIẾN Á GIÁM
"[38, 664, 140, 664, 140, 682, 38, 682]",0,OTHER,TIỀN KHÁCH TRẢI
"[288, 668, 342, 664, 342, 682, 288, 682]",0,OTHER,1998.125
"[44, 682, 106, 686, 106, 700, 44, 700]",0,OTHER,TIẾN MẶT
"[288, 686, 342, 686, 342, 700, 288, 698]",0,OTHER,398.125
"[38, 700, 128, 704, 128, 718, 38, 718]",0,OTHER,TIỀN TRẢ LẠI
"[94, 718, 284, 722, 284, 736, 94, 736]",0,OTHER,(Giá đã bao gồm thuế gigt)
"[292, 760, 342, 760, 342, 772, 292, 772]",0,OTHER,xxx2283
"[38, 758, 162, 758, 162, 772, 38, 772]",0,OTHER,ID thể khách hàng
"[38, 776, 220, 774, 220, 790, 38, 790]",0,OTHER,THIÊN TÍCH(1.000VND-1 điểm)
"[36, 792, 134, 794, 134, 810, 36, 808]",0,OTHER,SỐ THÂM CHIẾU
"[218, 794, 344, 794, 344, 810, 218, 810]",0,OTHER,00515600100032683
"[86, 848, 286, 850, 286, 868, 86, 864]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[36, 870, 346, 872, 346, 886, 36, 884]",0,OTHER,Tax invoice will be issued within same day
"[70, 906, 304, 910, 304, 924, 70, 922]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẬP LẠI
"[10, 936, 340, 928, 340, 944, 10, 958]",0,OTHER,Thing Triple Camerane winmart.com
"[10, 964, 124, 960, 124, 980, 10, 980]",0,OTHER,na galaxy M2
