poly,cate_id,cate_text,vietocr_text
"[202, 113, 434, 126, 434, 152, 200, 142]",15,SELLER,MINIMART ANAN
"[171, 154, 458, 168, 458, 188, 167, 178]",16,ADDRESS,Chơ Sùi Phú Thi Gia Lâm
"[20, 190, 52, 190, 52, 208, 20, 208]",0,OTHER,Tel:
"[164, 248, 482, 250, 482, 286, 164, 286]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[34, 292, 161, 302, 156, 330, 34, 320]",0,OTHER,Tên hàng
"[194, 300, 304, 300, 304, 322, 194, 324]",0,OTHER,SL ĐVT
"[346, 298, 584, 292, 584, 312, 346, 322]",0,OTHER,Đơn giá Thành tiên
"[24, 334, 484, 332, 484, 354, 24, 360]",0,OTHER,002211005400000 Nước me wonderfarm NT
"[388, 372, 452, 370, 452, 396, 388, 396]",0,OTHER,"6,500"
"[22, 372, 180, 376, 180, 404, 22, 400]",0,OTHER,Giá đăng ký:
"[530, 402, 612, 400, 612, 426, 530, 426]",0,OTHER,"38,004"
"[386, 409, 449, 405, 451, 431, 388, 435]",0,OTHER,"6,334"
"[240, 412, 290, 412, 290, 432, 240, 432]",0,OTHER,LON
"[22, 414, 130, 414, 130, 440, 22, 442]",0,OTHER,Giá bán:
"[12, 466, 126, 470, 126, 496, 11, 499]",0,OTHER,Tổng số:
"[542, 486, 626, 484, 626, 512, 542, 512]",0,OTHER,"38,004"
"[12, 506, 152, 510, 152, 538, 10, 539]",0,OTHER,Tổng cộng
"[548, 538, 630, 536, 630, 562, 548, 562]",18,TOTAL_COST,"38,004"
"[550, 580, 632, 576, 632, 604, 550, 606]",0,OTHER,"38,004"
"[12, 566, 136, 562, 136, 594, 12, 598]",18,TOTAL_COST,Tổng tiền
"[328, 590, 382, 590, 382, 618, 328, 618]",0,OTHER,VNDS
"[10, 608, 216, 596, 216, 626, 12, 639]",0,OTHER,Tiển khách trả:
"[42, 668, 379, 644, 382, 676, 42, 702]",0,TIMESTAMP,SỐ GD: 000AC2212008002100
"[382, 644, 630, 632, 630, 660, 382, 676]",17,TIMESTAMP,Ngày: 15/08/2020-17:29
"[262, 704, 434, 690, 434, 720, 262, 732]",0,OTHER,Thu ngân: BH3
"[106, 754, 543, 714, 545, 743, 106, 782]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách
