poly,cate_id,cate_text,vietocr_text
"[158, 110, 354, 110, 354, 130, 158, 130]",15,SELLER,CỮA HÀNG NĂM OÁNH
"[56, 138, 456, 140, 456, 158, 56, 156]",16,ADDRESS,"Thỏn Phú Thuy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội"
"[160, 168, 354, 165, 354, 183, 160, 184]",0,OTHER,0840322496-02438765210
"[166, 226, 346, 228, 346, 248, 166, 248]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[52, 264, 160, 264, 160, 284, 52, 284]",0,OTHER,Số: SON55331
"[328, 268, 458, 266, 458, 286, 328, 288]",17,TIMESTAMP,Ngày:11-08-2020
"[366, 338, 456, 336, 456, 356, 366, 356]",0,OTHER,Thành tiền
"[52, 338, 78, 338, 78, 356, 52, 356]",0,OTHER,SL
"[210, 336, 276, 336, 276, 358, 210, 356]",0,OTHER,Đơn giá
"[52, 370, 291, 371, 288, 395, 52, 392]",0,OTHER,Sữa bột Ensure Gold 850g Nguy
"[206, 402, 282, 402, 282, 424, 206, 424]",0,OTHER,"685,000"
"[384, 402, 458, 402, 458, 424, 384, 424]",0,OTHER,"685,000"
"[384, 442, 460, 442, 460, 466, 384, 464]",18,TOTAL_COST,"685,000"
"[64, 442, 191, 448, 189, 471, 60, 465]",18,TOTAL_COST,Tộng tiên hàng
"[124, 496, 388, 496, 388, 516, 124, 514]",0,OTHER,Cám ơn quý khách. Hẹn gặp lại: thu
