poly,cate_id,cate_text,vietocr_text
"[96, 88, 338, 92, 338, 110, 96, 108]",15,SELLER,NHÀ SÁCHGDTTCCM PHẢ
"[38, 114, 324, 116, 324, 134, 38, 132]",16,ADDRESS,ĐC: 212 Đường Trấn Pha
"[38, 140, 190, 142, 190, 162, 38, 158]",0,OTHER,Nhân viên thu ngân
"[38, 164, 300, 165, 300, 183, 38, 182]",0,OTHER,0313333363328 13 3388
"[36, 186, 274, 188, 274, 206, 36, 204]",17,TIMESTAMP,Thời gian:10:09:55-15/08/2020
"[36, 214, 106, 216, 106, 232, 36, 228]",0,OTHER,Tren hàng
"[226, 216, 254, 216, 254, 230, 226, 230]",0,OTHER,Giá
"[330, 218, 394, 220, 394, 232, 330, 232]",0,OTHER,Conhulting
"[26, 240, 82, 242, 82, 256, 26, 254]",0,OTHER,Ba hanh
"[222, 240, 276, 240, 276, 256, 222, 256]",0,OTHER,43.000
"[332, 244, 394, 240, 394, 258, 332, 258]",0,OTHER,43 0000
"[26, 262, 128, 262, 128, 278, 25, 277]",0,OTHER,Tiếng anh 4/1
"[220, 262, 276, 262, 276, 280, 220, 280]",0,OTHER,42.000
"[332, 268, 394, 264, 394, 282, 332, 282]",0,OTHER,42.000
"[32, 284, 107, 287, 105, 306, 32, 306]",0,OTHER,tráng cộng
"[196, 290, 206, 290, 206, 306, 196, 306]",0,OTHER,2
"[326, 292, 392, 290, 392, 308, 326, 306]",0,OTHER,05.000d
"[22, 312, 183, 315, 181, 334, 22, 330]",0,OTHER,Chiết khấu bán hàng
"[368, 316, 392, 316, 392, 334, 368, 334]",0,OTHER,0đ
"[20, 338, 176, 344, 176, 360, 20, 360]",18,TOTAL_COST,Tổng số thanh toán:
"[324, 342, 394, 342, 394, 360, 324, 360]",18,TOTAL_COST,85.000d
"[72, 372, 322, 372, 322, 394, 72, 392]",0,OTHER,XI CIẾN CĂM ƠN QUÍ KHÁCH TH
