poly,cate_id,cate_text,vietocr_text
"[162, 66, 304, 66, 304, 80, 162, 80]",16,ADDRESS,VIÊN 1050-1062 Trần Phủ
"[176, 86, 304, 86, 304, 100, 176, 98]",16,ADDRESS,1000.1002 Đường Trần Phu
"[26, 96, 126, 96, 126, 124, 26, 124]",15,SELLER,Vincommerce
"[172, 106, 294, 106, 294, 120, 172, 120]",16,ADDRESS,"TR. Chm Phá, Quang Ninh"
"[184, 122, 280, 126, 280, 140, 184, 140]",0,OTHER,02471066856449201
"[120, 158, 238, 160, 238, 174, 120, 174]",0,OTHER,HÓA ƠN BÁN HÀNG
"[24, 178, 216, 180, 216, 194, 24, 196]",17,TIMESTAMP,Ngày bán: 13/08/2020118:53
"[256, 178, 336, 180, 336, 194, 256, 194]",0,OTHER,00:00064224
"[242, 198, 344, 198, 344, 212, 242, 212]",0,OTHER,NVB1::09024146
"[26, 200, 86, 200, 86, 214, 26, 214]",0,OTHER,Quay:001
"[26, 236, 88, 238, 87, 252, 26, 250]",0,OTHER,Mặt hăng
"[302, 232, 336, 232, 336, 250, 302, 250]",0,OTHER,Tiến
"[160, 238, 208, 234, 208, 252, 160, 250]",0,OTHER,đơn giá
"[26, 256, 328, 256, 328, 268, 26, 270]",0,OTHER,Pep: Ng giải khát Mirinda chại 324
"[190, 274, 216, 274, 216, 288, 190, 288]",0,OTHER,500
"[302, 274, 342, 272, 342, 288, 302, 288]",0,OTHER,6.500
"[26, 274, 126, 274, 126, 288, 26, 288]",0,OTHER,08934588883026
"[26, 294, 304, 290, 304, 308, 26, 308]",0,OTHER,Nước tăng lực h. dâu Rồng chai 330m1
"[176, 312, 216, 312, 216, 326, 176, 326]",0,OTHER,6.500
"[316, 308, 344, 308, 344, 326, 316, 326]",0,OTHER,500
"[26, 312, 126, 312, 126, 326, 26, 326]",0,OTHER,08934564660016
"[24, 344, 186, 346, 186, 362, 24, 362]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[298, 350, 344, 350, 344, 362, 298, 362]",18,TOTAL_COST,13:000
"[24, 364, 148, 362, 148, 380, 24, 382]",0,OTHER,TỔNG TIẾN Ả GIẢM
"[296, 386, 346, 384, 346, 400, 296, 398]",0,OTHER,13.000
"[24, 382, 134, 384, 134, 398, 24, 400]",0,OTHER,TIẾN KHÁCH TRẢ
"[30, 400, 96, 404, 96, 418, 30, 418]",0,OTHER,TIẾN MẶT
"[298, 404, 344, 404, 344, 418, 298, 416]",0,OTHER,13000
"[24, 420, 118, 422, 118, 436, 24, 436]",0,OTHER,TIẾN TRÀ LẠI
"[84, 438, 282, 438, 282, 456, 84, 456]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[78, 496, 284, 496, 284, 514, 78, 512]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[24, 518, 346, 518, 346, 532, 24, 532]",0,OTHER,Tax invoice will be issued within day
"[60, 552, 302, 556, 302, 572, 60, 570]",0,OTHER,CÁM ĐN GUÝ KHÁCH VÀ HỆN GẶP LẠI
"[20, 572, 340, 576, 340, 590, 20, 590]",0,OTHER,Hot line: 02471066866 Nebsite: Vinmart com
