poly,cate_id,cate_text,vietocr_text
"[168, 78, 338, 78, 338, 98, 168, 98]",15,SELLER,MINIMARTANAN
"[146, 112, 358, 110, 358, 126, 146, 130]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lam
"[38, 142, 68, 142, 68, 156, 38, 156]",0,OTHER,Tel:
"[144, 176, 372, 174, 372, 200, 144, 204]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[270, 210, 442, 204, 442, 222, 270, 226]",0,OTHER,Đơn giá Thành tiển
"[58, 212, 141, 214, 139, 235, 58, 230]",0,OTHER,Tên hàng
"[164, 212, 242, 210, 242, 228, 164, 230]",0,OTHER,SL ĐVT
"[52, 238, 272, 236, 272, 254, 52, 258]",0,OTHER,291020740000 giấy bạc NT
"[400, 258, 454, 256, 454, 274, 400, 276]",0,OTHER,"17,000"
"[290, 262, 344, 260, 344, 278, 290, 280]",0,OTHER,"17,000"
"[198, 266, 230, 266, 230, 278, 198, 278]",0,OTHER,HOB
"[54, 296, 364, 288, 364, 306, 54, 316]",0,OTHER,291016070000 xúc xích cà thuy
"[402, 312, 458, 310, 458, 330, 402, 330]",0,OTHER,"92,000"
"[290, 316, 348, 314, 348, 334, 290, 334]",0,OTHER,"46,000"
"[200, 320, 230, 320, 230, 334, 200, 334]",0,OTHER,TUT
"[51, 352, 418, 342, 418, 360, 52, 372]",0,OTHER,291036820000 chả viên hải sản rau củ gói no
"[404, 370, 462, 368, 462, 386, 404, 388]",0,OTHER,"32,000"
"[292, 372, 347, 369, 349, 388, 292, 390]",0,OTHER,"32,000"
"[198, 378, 232, 378, 232, 392, 198, 392]",0,OTHER,GOL
"[50, 412, 334, 402, 334, 420, 50, 430]",0,OTHER,"0291006570000 Nước Sprite 1,5INT"""
"[408, 426, 466, 426, 466, 446, 408, 446]",0,OTHER,"15,000"
"[294, 430, 352, 428, 352, 448, 294, 448]",0,OTHER,"15,000"
"[198, 434, 232, 434, 232, 450, 198, 450]",0,OTHER,CHA
"[47, 470, 336, 462, 336, 480, 48, 491]",0,OTHER,"291006400000 Nước Fanta 1,51 NT"
"[412, 486, 470, 486, 470, 506, 412, 506]",0,OTHER,"15,000"
"[296, 490, 354, 488, 354, 508, 296, 508]",0,OTHER,"15,000"
"[198, 492, 232, 492, 232, 510, 198, 510]",0,OTHER,CHA
"[40, 534, 118, 536, 118, 556, 39, 555]",0,OTHER,Tổng số:
"[408, 550, 476, 550, 476, 570, 408, 570]",18,TOTAL_COST,"171,000"
"[40, 560, 134, 564, 134, 584, 38, 583]",18,TOTAL_COST,Tổng cộng
"[410, 580, 478, 580, 478, 602, 410, 602]",0,OTHER,"171,000"
"[250, 586, 292, 586, 292, 606, 250, 606]",0,OTHER,VND
"[40, 590, 176, 588, 176, 608, 40, 612]",0,OTHER,Tiển khách trả:
"[58, 634, 291, 626, 292, 649, 58, 656]",0,TIMESTAMP,SỐ GD: 000AB2212008003967
"[294, 626, 473, 619, 474, 641, 294, 650]",17,TIMESTAMP,Ngày: 16/08/2020-17:11
"[208, 664, 332, 660, 332, 680, 208, 684]",0,OTHER,Thu ngân: BH5
"[100, 694, 412, 684, 412, 704, 100, 714]",0,OTHER,Xi Vin cám ơn và hẹn gặp lại quý khách
