poly,cate_id,cate_text,vietocr_text
"[264, 124, 500, 124, 500, 152, 264, 150]",16,ADDRESS,VM - QNH 1060-1082 Trân Phú
"[260, 160, 502, 158, 502, 186, 260, 184]",16,ADDRESS,Số 1080-1062 Đường Trân Phú Th
"[30, 182, 202, 182, 202, 228, 30, 228]",15,SELLER,Vincommerce
"[280, 194, 484, 194, 484, 220, 280, 220]",16,ADDRESS,"TP. Cám Phà, Quảng Ninh"
"[300, 226, 460, 226, 460, 254, 300, 254]",0,OTHER,02471066856-4930
"[376, 288, 565, 287, 567, 309, 376, 314]",17,TIMESTAMP,Thời gian:07:35
"[28, 288, 226, 288, 226, 314, 28, 316]",17,TIMESTAMP,Ngày:14/08/2020
"[210, 320, 388, 320, 388, 344, 210, 346]",0,OTHER,Giao dịch treo la
"[28, 350, 132, 352, 132, 376, 28, 380]",0,OTHER,Quẩy:001
"[400, 352, 566, 352, 566, 374, 400, 374]",0,OTHER,NVBH:09024144
"[28, 384, 224, 384, 224, 410, 28, 410]",0,OTHER,TÊN NV:4930POS1
"[28, 414, 212, 416, 212, 442, 28, 442]",0,OTHER,Số GD treo:4200
