poly,cate_id,cate_text,vietocr_text
"[116, 104, 398, 104, 398, 128, 116, 126]",15,SELLER,NHÀ SÁCH GD-TC CẤM PHẢN
"[48, 136, 382, 132, 382, 154, 48, 154]",16,ADDRESS,Độ 212 Đường Trần Phải
"[48, 166, 220, 166, 220, 188, 48, 186]",0,OTHER,Nhân viên thu ngân
"[48, 192, 354, 194, 354, 216, 48, 214]",0,OTHER,ĐT 0333363328 - Fax 0333863328
"[46, 220, 324, 220, 324, 242, 46, 240]",17,TIMESTAMP,Thời gian:19:58:43-09/08/2020
"[44, 250, 127, 254, 125, 273, 44, 268]",0,OTHER,Tên hàng
"[264, 252, 298, 252, 298, 270, 264, 270]",0,OTHER,Giá
"[402, 254, 460, 258, 460, 272, 402, 272]",0,OTHER,tinh tiên
"[32, 280, 137, 285, 135, 305, 32, 300]",0,OTHER,Vi bút trong
"[276, 286, 326, 284, 326, 302, 276, 302]",0,OTHER,7.000
"[404, 286, 464, 284, 464, 304, 404, 304]",0,OTHER,7.000đ
"[32, 308, 150, 308, 150, 328, 32, 328]",0,OTHER,VPP Loại SK
"[404, 314, 464, 310, 464, 332, 404, 332]",0,OTHER,5.000đ
"[276, 314, 326, 310, 326, 332, 276, 330]",0,OTHER,5.000
"[32, 336, 156, 340, 156, 358, 32, 356]",0,OTHER,Ba lồ các màu
"[262, 338, 326, 338, 326, 358, 262, 358]",0,OTHER,50.000
"[382, 344, 464, 340, 464, 360, 382, 358]",0,OTHER,150.000đ
"[30, 366, 196, 366, 196, 386, 30, 388]",0,OTHER,Băng dính BKT-15
"[264, 368, 326, 368, 326, 388, 264, 388]",0,OTHER,30.000
"[392, 368, 464, 368, 464, 388, 392, 388]",0,OTHER,30.000đ
"[30, 394, 120, 396, 120, 414, 30, 414]",0,OTHER,Xoá TL to
"[234, 398, 326, 396, 326, 416, 234, 416]",0,OTHER,20.000
"[392, 396, 466, 396, 466, 418, 392, 416]",0,OTHER,40.000đ
"[30, 421, 172, 424, 172, 444, 28, 442]",0,OTHER,Băng dinh xanh
"[264, 424, 326, 424, 326, 444, 264, 444]",0,OTHER,15.000
"[394, 426, 466, 424, 466, 446, 394, 444]",0,OTHER,30.000đ
"[30, 452, 154, 454, 154, 472, 30, 472]",0,OTHER,VPP Loại 4K
"[290, 454, 326, 454, 326, 474, 290, 474]",0,OTHER,1000
"[406, 458, 468, 454, 468, 474, 406, 474]",0,OTHER,4.0000
"[276, 486, 326, 482, 326, 502, 276, 502]",0,OTHER,8.000
"[394, 484, 470, 482, 470, 504, 394, 504]",0,OTHER,40.000d
"[30, 482, 186, 482, 186, 502, 30, 502]",0,OTHER,Nhân vớ Monster
"[28, 510, 180, 511, 179, 534, 28, 532]",0,OTHER,Nhăn vờ 12cung
"[264, 512, 326, 512, 326, 532, 264, 532]",0,OTHER,10.000
"[394, 512, 468, 512, 468, 532, 394, 532]",0,OTHER,10.000đ
"[28, 540, 148, 540, 148, 560, 28, 560]",0,OTHER,VPP Loai 6K
"[408, 544, 468, 540, 468, 562, 408, 560]",0,OTHER,6.000đ
"[278, 544, 328, 540, 328, 562, 278, 560]",0,OTHER,6.000
"[26, 565, 125, 571, 123, 594, 23, 589]",0,OTHER,Tổng cộng t
"[374, 572, 468, 572, 468, 594, 374, 594]",0,OTHER,322.000đ
"[218, 572, 246, 572, 246, 592, 218, 592]",0,OTHER,16
"[26, 602, 217, 605, 215, 626, 26, 624]",0,OTHER,Chiết khấu bán hàng th
"[442, 606, 468, 606, 468, 626, 442, 626]",0,OTHER,0đ
"[24, 633, 202, 638, 202, 658, 22, 656]",18,TOTAL_COST,Tổng số thanh toán:
"[374, 638, 468, 638, 468, 660, 374, 660]",18,TOTAL_COST,322.000d
"[86, 676, 386, 674, 386, 702, 86, 702]",0,OTHER,XIN CÁM ƠN QUI KHÁCHI
