poly,cate_id,cate_text,vietocr_text
"[258, 102, 415, 98, 413, 120, 258, 124]",16,ADDRESS,VM 1 HNI 32 Làng Trung
"[226, 134, 446, 124, 446, 146, 226, 156]",16,ADDRESS,"Binh ngô Làng Trung, P. Làng Hạ Nam"
"[52, 149, 193, 156, 191, 192, 50, 185]",15,SELLER,Vincommerce
"[290, 156, 400, 154, 400, 176, 290, 184]",16,ADDRESS,"Đông Đa, Hà Nội"
"[270, 188, 401, 180, 402, 204, 270, 210]",0,OTHER,024.71068864.38411
"[188, 240, 356, 234, 356, 256, 188, 262]",0,OTHER,HÓA ĐƠN BÁN HẰNG
"[372, 258, 491, 255, 492, 277, 372, 280]",0,OTHER,HD:00207317
"[52, 262, 313, 262, 315, 283, 52, 284]",17,TIMESTAMP,Ngày bán:07/08/2020 20:08
"[52, 288, 138, 290, 138, 310, 52, 310]",0,OTHER,Quấy:001
"[356, 288, 492, 284, 492, 304, 356, 308]",0,OTHER,ANVBH:090141000
"[430, 340, 494, 332, 494, 354, 430, 356]",0,OTHER,T. Tiền
"[52, 340, 143, 344, 141, 365, 52, 362]",0,OTHER,Mặt hàng
"[242, 342, 316, 338, 319, 361, 242, 362]",0,OTHER,Đơn giáo
"[356, 340, 376, 340, 376, 358, 356, 358]",0,OTHER,SL
"[54, 368, 378, 362, 378, 386, 54, 390]",0,OTHER,Trứng gà tươi Dabaco hộp 10 quảng
"[430, 388, 495, 382, 497, 403, 430, 408]",0,OTHER,25.600
"[54, 394, 193, 394, 193, 414, 54, 414]",0,OTHER,8936057560032
"[254, 396, 318, 394, 318, 414, 254, 414]",0,OTHER,25.600
"[54, 420, 431, 412, 432, 433, 54, 438]",0,OTHER,SCU CÓ ĐƯỜNG PROBI VNM 14 CHA I 1 0011
"[432, 438, 498, 436, 498, 456, 432, 458]",0,OTHER,68.600
"[56, 443, 196, 446, 195, 467, 55, 464]",0,OTHER,8934673304528
"[254, 446, 320, 444, 320, 464, 254, 466]",0,OTHER,34.300
"[56, 468, 82, 468, 82, 486, 56, 486]",0,OTHER,KM
"[432, 462, 500, 462, 500, 480, 432, 482]",0,OTHER,-8.800
"[424, 486, 468, 486, 468, 508, 424, 508]",0,OTHER,1759
"[58, 490, 394, 488, 394, 510, 56, 511]",0,OTHER,Bánh xép kiểu hàn thịt thuyên
"[434, 512, 502, 508, 502, 530, 434, 532]",0,OTHER,27.000
"[56, 520, 198, 520, 198, 540, 56, 540]",0,OTHER,8934717401305
"[256, 520, 322, 518, 322, 538, 256, 540]",0,OTHER,27.000
"[438, 540, 502, 536, 502, 556, 438, 556]",0,OTHER,-6.500
"[58, 546, 84, 546, 84, 564, 58, 564]",0,OTHER,KM
"[58, 570, 479, 561, 480, 582, 58, 592]",0,OTHER,Saa Tri Ta Thi Thung Đường Đường hộp 180m 1995
"[436, 590, 506, 588, 506, 608, 436, 610]",0,OTHER,23.000
"[258, 598, 324, 594, 324, 614, 258, 616]",0,OTHER,11.500
"[56, 598, 198, 598, 198, 618, 56, 618]",0,OTHER,089385031317803
"[430, 642, 510, 640, 510, 660, 430, 660]",18,TOTAL_COST,128.900
"[58, 648, 283, 642, 285, 665, 58, 670]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[430, 668, 510, 666, 510, 688, 430, 688]",0,OTHER,-15.300
"[58, 674, 242, 672, 242, 694, 58, 700]",0,OTHER,TỔNG TIẾN ĐÃ GIẢM
"[434, 694, 512, 694, 512, 714, 434, 714]",0,OTHER,128.900
"[58, 700, 210, 700, 210, 722, 58, 726]",0,OTHER,TIẾN KHÁCH TRẢ
"[434, 722, 512, 720, 512, 740, 434, 742]",0,OTHER,128.900
"[68, 728, 157, 726, 159, 747, 68, 750]",0,OTHER,TIỀN MẶT C
"[54, 754, 190, 756, 190, 776, 54, 778]",0,OTHER,TIẾN TRẢ LẠI
"[142, 782, 424, 776, 424, 796, 144, 804]",0,OTHER,(Giá đã bao gốm thuế gtgt)
"[338, 832, 508, 830, 508, 850, 338, 852]",0,OTHER,XXXXXXXXXXXXXXXX
"[54, 840, 244, 834, 244, 856, 54, 860]",0,OTHER,ID THẾ KHÁCH HÀNG
"[52, 866, 340, 858, 340, 882, 52, 890]",0,OTHER,Điểm tích(1.000VND-1 điểm)
"[330, 886, 517, 883, 518, 905, 330, 908]",0,OTHER,003841001002073179
"[52, 894, 200, 894, 200, 914, 52, 920]",0,OTHER,số tham chiêu
"[130, 978, 438, 972, 438, 998, 130, 1002]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[50, 1014, 528, 1002, 528, 1022, 50, 1034]",0,OTHER,Tax invoice will be issued within same dây
"[106, 1068, 466, 1062, 466, 1084, 106, 1094]",0,OTHER,CÁM ON QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[46, 1104, 526, 1092, 526, 1112, 48, 1126]",0,OTHER,Hot line: 02471066366 Nebsite: vinmart.com
