poly,cate_id,cate_text,vietocr_text
"[230, 126, 485, 128, 481, 153, 230, 152]",16,ADDRESS,VM - QNH TÔ 8 KHU 3B CẦM TRUNG
"[254, 156, 460, 160, 457, 185, 254, 182]",16,ADDRESS,"Tố 8, Khu 3B, P. Câm Trung"
"[252, 192, 462, 190, 462, 214, 252, 218]",16,ADDRESS,"11 TP. Câm Phà, T. Quảng Ninh"
"[16, 188, 187, 180, 189, 225, 18, 232]",15,SELLER,Vincommerce
"[278, 224, 436, 222, 436, 248, 278, 250]",0,OTHER,024.71065866-49871
"[352, 280, 536, 280, 536, 302, 352, 304]",17,TIMESTAMP,Thời gian: 16:04
"[18, 290, 209, 283, 210, 310, 18, 318]",17,TIMESTAMP,Ngày:13/08/2020
"[194, 316, 366, 312, 366, 334, 194, 338]",0,OTHER,Giao dịch treo
"[377, 341, 535, 338, 536, 361, 378, 365]",0,OTHER,NVBH:09024524
"[18, 352, 120, 352, 120, 374, 18, 380]",0,OTHER,Quẩy:001
"[20, 384, 198, 378, 198, 400, 20, 410]",0,OTHER,TÊN NV:4987CHT
"[18, 414, 198, 410, 198, 432, 18, 442]",0,OTHER,Số GD treo:672
