poly,cate_id,cate_text,vietocr_text
"[190, 54, 360, 62, 360, 80, 189, 74]",15,SELLER,MINIMARTANAN
"[170, 81, 378, 90, 378, 100, 168, 95]",16,ADDRESS,Chợ Sủi Phu Thị Gia Lam
"[160, 132, 396, 136, 396, 158, 160, 154]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[60, 152, 151, 160, 149, 181, 58, 171]",0,OTHER,Tên hàng
"[176, 162, 262, 164, 262, 180, 176, 178]",0,OTHER,SL ĐVT
"[294, 168, 474, 166, 474, 180, 294, 182]",0,OTHER,Đơn giá Thành tiên
"[52, 179, 398, 188, 398, 200, 51, 198]",0,OTHER,03934603000193 thuốc lá sài gòn bạc nt
"[434, 206, 494, 204, 494, 218, 434, 220]",0,OTHER,"22,000"
"[212, 208, 248, 208, 248, 220, 212, 220]",0,OTHER,GOI
"[316, 208, 374, 206, 374, 220, 316, 220]",0,OTHER,"11,000"
"[42, 230, 416, 228, 416, 246, 42, 248]",0,OTHER,08936017368395 Mắm nam ng
"[210, 256, 248, 256, 248, 270, 210, 270]",0,OTHER,CHA
"[160, 258, 170, 258, 170, 270, 160, 270]",0,OTHER,1
"[440, 254, 504, 254, 504, 274, 440, 274]",0,OTHER,"32,000"
"[316, 254, 380, 254, 380, 274, 316, 274]",0,OTHER,"32,000"
"[34, 286, 432, 286, 432, 304, 34, 308]",0,OTHER,09221001210000 Bột canh h90g nt
"[460, 312, 514, 312, 514, 332, 460, 332]",0,OTHER,"7,000"
"[332, 314, 384, 314, 384, 332, 332, 334]",0,OTHER,"3,500"
"[208, 312, 248, 312, 248, 330, 208, 330]",0,OTHER,GOT
"[156, 318, 168, 318, 168, 332, 156, 332]",0,OTHER,2
"[25, 352, 492, 344, 492, 364, 26, 374]",0,OTHER,291038840000 bò khô miếng nguyên thanh tho
"[460, 374, 526, 372, 526, 394, 460, 396]",0,OTHER,"140,000"
"[324, 376, 392, 374, 392, 396, 324, 396]",0,OTHER,"40,000"
"[206, 378, 248, 378, 248, 398, 206, 398]",0,OTHER,GOI
"[152, 384, 162, 384, 162, 398, 152, 398]",0,OTHER,1
"[20, 422, 466, 412, 466, 432, 20, 448]",0,OTHER,"0991043680000 trà thái, hồng trà chai 300 NO"
"[466, 444, 532, 442, 532, 466, 466, 466]",0,OTHER,"10,000"
"[328, 448, 395, 445, 397, 467, 328, 472]",0,OTHER,"10,000"
"[206, 452, 248, 452, 248, 472, 206, 472]",0,OTHER,CHA
"[152, 458, 162, 458, 162, 474, 152, 474]",0,OTHER,I
"[15, 499, 492, 484, 492, 506, 16, 526]",0,OTHER,"09938502587373 kẹo lạc, dồi vừng siu châu, nt"
"[470, 518, 536, 516, 536, 538, 470, 540]",0,OTHER,"15,000"
"[328, 524, 400, 522, 400, 548, 328, 548]",0,OTHER,"15,000"
"[206, 528, 248, 528, 248, 548, 206, 548]",0,OTHER,GOI
"[8, 580, 102, 584, 102, 606, 6, 609]",0,OTHER,Tổng số:
"[464, 596, 544, 594, 544, 616, 464, 618]",18,TOTAL_COST,"126,000"
"[8, 614, 124, 616, 124, 640, 7, 641]",18,TOTAL_COST,Tổng cộng
"[462, 628, 542, 626, 542, 648, 462, 650]",0,OTHER,"500,000"
"[272, 640, 320, 640, 320, 660, 272, 660]",0,OTHER,VND
"[12, 648, 178, 644, 178, 664, 12, 668]",0,OTHER,Tiền khách trả:
"[456, 660, 536, 656, 536, 676, 456, 680]",0,OTHER,"374,000"
"[18, 682, 174, 678, 174, 698, 18, 700]",0,OTHER,tiên trả lại VND:
"[46, 712, 319, 703, 320, 723, 46, 732]",0,TIMESTAMP,0881:000000000000000189
"[324, 706, 525, 692, 526, 708, 324, 720]",17,TIMESTAMP,Ngày:15/08/2020-21:30
"[222, 734, 360, 726, 360, 738, 222, 746]",0,OTHER,Thunganabhe
