poly,cate_id,cate_text,vietocr_text
"[192, 68, 354, 66, 354, 86, 192, 88]",15,SELLER,AMINIMART ANANG
"[172, 98, 372, 96, 372, 110, 172, 114]",16,ADDRESS,Chợ Súi Phú Thị Gia Lam
"[160, 154, 382, 154, 382, 180, 160, 180]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[74, 176, 155, 184, 151, 204, 74, 196]",0,OTHER,Tên hàng
"[176, 186, 252, 188, 252, 204, 176, 204]",0,OTHER,SL ĐVT
"[282, 190, 452, 182, 452, 200, 282, 204]",0,OTHER,Đơn giá Thành tiền
"[66, 199, 450, 208, 450, 226, 64, 219]",0,OTHER,03836017569372 banh 300 ginh thuy the the the the the the the the the the the the the the the the the the the the the the the the
"[204, 238, 236, 238, 236, 252, 204, 252]",0,OTHER,Gor
"[296, 240, 350, 236, 350, 254, 296, 254]",0,OTHER,"41,000"
"[404, 234, 460, 232, 460, 250, 404, 252]",0,OTHER,"41,000"
"[62, 254, 438, 262, 438, 278, 62, 274]",0,OTHER,088337722661028 bánh bisla nc thuy
"[202, 290, 234, 290, 234, 304, 202, 304]",0,OTHER,GOT
"[402, 286, 460, 286, 460, 304, 402, 306]",0,OTHER,"20,000"
"[292, 290, 348, 290, 348, 308, 292, 308]",0,OTHER,"20,000"
"[58, 307, 450, 318, 450, 336, 56, 327]",0,OTHER,0986065592537 bánh chuối dưa nam
"[198, 342, 230, 342, 230, 358, 198, 358]",0,OTHER,GOIT
"[290, 344, 346, 344, 346, 362, 290, 362]",0,OTHER,"45,000"
"[402, 344, 460, 342, 460, 362, 402, 362]",0,OTHER,"45,000"
"[56, 366, 436, 374, 436, 392, 56, 386]",0,OTHER,1984673111348 pha sắn dielac grow phate
"[52, 390, 152, 394, 152, 414, 52, 410]",0,OTHER,Giá đăng ký:
"[290, 400, 346, 400, 346, 418, 290, 418]",0,OTHER,"10,500"
"[48, 418, 160, 422, 160, 438, 48, 436]",0,OTHER,Giá bán: 12
"[194, 426, 226, 426, 226, 440, 194, 440]",0,OTHER,HOPS
"[288, 426, 344, 426, 344, 444, 288, 444]",0,OTHER,"10,000"
"[390, 426, 460, 428, 460, 446, 390, 446]",0,OTHER,"120,000"
"[36, 448, 110, 456, 110, 472, 34, 467]",0,OTHER,Tổng số:
"[158, 460, 182, 460, 182, 476, 158, 476]",0,OTHER,15
"[34, 476, 123, 479, 121, 498, 34, 496]",0,OTHER,Tổng cộng
"[392, 486, 462, 488, 462, 508, 392, 506]",0,OTHER,"226,000"
"[26, 505, 104, 512, 104, 532, 24, 528]",18,TOTAL_COST,Tổng tiên
"[392, 522, 464, 524, 464, 544, 392, 542]",18,TOTAL_COST,"226,000"
"[20, 534, 156, 540, 156, 558, 20, 554]",0,OTHER,Tiền khách trả:
"[232, 544, 272, 544, 272, 564, 232, 564]",0,OTHER,VND
"[392, 550, 464, 552, 464, 572, 392, 570]",0,OTHER,"226,000"
"[18, 582, 242, 588, 241, 609, 18, 602]",0,OTHER,Mã thẻ: A10000000248
"[14, 610, 246, 620, 246, 640, 14, 636]",0,OTHER,(0) nguyễn thị như quỳnh
"[12, 641, 110, 650, 109, 669, 10, 661]",0,OTHER,Điêm mua:
"[440, 662, 464, 662, 464, 682, 440, 682]",0,OTHER,22
"[12, 672, 148, 680, 148, 700, 12, 694]",0,OTHER,Điểm hiện thời:
"[414, 696, 464, 694, 464, 716, 414, 712]",0,OTHER,"1,299"
"[12, 702, 148, 712, 148, 732, 9, 726]",0,OTHER,Hạng hiện thời:
"[12, 734, 212, 746, 212, 770, 12, 754]",0,OTHER,Giá trị thưởng tích lũy: người
"[398, 758, 462, 760, 462, 780, 398, 778]",0,OTHER,"37,037"
"[26, 776, 263, 790, 261, 812, 26, 796]",0,OTHER,SỐ GD: 000AC2212008002103
"[264, 790, 457, 803, 455, 825, 261, 814]",17,OTHER,Ngày: 15/08/2020-17:37
"[174, 816, 302, 824, 302, 844, 174, 836]",0,OTHER,Thu ngân: BH3
"[74, 832, 384, 852, 383, 871, 74, 846]",0,OTHER,Xin cám an và hẹn gặp khách
