poly,cate_id,cate_text,vietocr_text
"[183, 74, 368, 72, 368, 92, 184, 95]",15,SELLER,MINIMARTANAN
"[158, 106, 390, 106, 390, 124, 158, 126]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm
"[38, 136, 74, 136, 74, 154, 38, 154]",0,OTHER,Tel:
"[152, 176, 406, 176, 406, 206, 152, 206]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[56, 216, 144, 219, 141, 241, 56, 236]",0,OTHER,Tên hàng
"[290, 216, 488, 214, 488, 234, 290, 234]",0,OTHER,Đơn giá Thành tiền
"[170, 216, 258, 216, 258, 236, 170, 236]",0,OTHER,SL ĐVT
"[48, 246, 476, 246, 476, 266, 48, 268]",0,OTHER,0883000600018 Thạch roug Hải gii ntuy
"[204, 276, 240, 276, 240, 294, 204, 294]",0,OTHER,CAI
"[310, 276, 372, 276, 372, 296, 310, 298]",0,OTHER,"13,000"
"[438, 276, 500, 278, 500, 296, 438, 298]",0,OTHER,"13,000"
"[42, 312, 386, 312, 386, 332, 42, 334]",0,OTHER,"291020080000 hướng dương 0,4kg NT"
"[202, 342, 242, 342, 242, 360, 202, 360]",0,OTHER,BIC
"[310, 342, 374, 342, 374, 362, 310, 364]",0,OTHER,"25,000"
"[438, 342, 502, 342, 502, 362, 438, 364]",0,OTHER,"25,000"
"[42, 378, 476, 378, 476, 396, 42, 398]",0,OTHER,09938502879485 ngô nếp gói 160g m nhưng
"[438, 408, 500, 406, 500, 426, 438, 428]",0,OTHER,"25,000"
"[202, 408, 240, 408, 240, 426, 202, 426]",0,OTHER,GOIL
"[310, 408, 374, 408, 374, 428, 310, 428]",0,OTHER,"25,000"
"[36, 443, 112, 448, 112, 470, 33, 467]",0,OTHER,Tổng sối
"[440, 474, 502, 474, 502, 494, 440, 494]",18,TOTAL_COST,"63,000"
"[36, 473, 135, 479, 133, 500, 34, 496]",18,TOTAL_COST,Tổng cộng
"[36, 502, 180, 504, 180, 524, 36, 524]",0,OTHER,Tiển khách trả:
"[440, 506, 502, 504, 502, 524, 440, 524]",0,OTHER,"63,000"
"[264, 506, 308, 506, 308, 526, 264, 526]",0,OTHER,VND
"[60, 546, 304, 546, 304, 566, 60, 566]",0,TIMESTAMP,Số GD: 000AB2212008002420
"[306, 546, 496, 544, 496, 564, 306, 570]",17,TIMESTAMP,Ngày: 09/08/2020-20:46
"[214, 576, 342, 578, 342, 596, 214, 596]",0,OTHER,Thu ngân: BH5
"[106, 596, 424, 600, 424, 618, 106, 614]",0,OTHER,Xin cám an và hẹn gặp lạch tri
