poly,cate_id,cate_text,vietocr_text
"[114, 74, 133, 78, 131, 87, 112, 83]",15,SELLER,WI
"[166, 82, 190, 82, 190, 92, 166, 92]",15,SELLER,NOAT
"[136, 132, 222, 136, 222, 146, 136, 144]",0,OTHER,ĐON VAN NHÀNG
"[96, 238, 184, 240, 184, 248, 96, 248]",0,OTHER,Decombaction
"[184, 254, 208, 254, 208, 262, 184, 262]",0,OTHER,1000
"[58, 264, 90, 264, 90, 272, 58, 272]",0,OTHER,Subor
"[106, 280, 144, 280, 144, 290, 106, 290]",0,OTHER,1000
"[74, 292, 102, 292, 102, 300, 74, 300]",0,OTHER,AMON
"[192, 294, 208, 294, 208, 302, 192, 302]",0,OTHER,vco
"[56, 306, 90, 306, 90, 314, 56, 314]",0,OTHER,OUT
"[58, 320, 126, 320, 126, 330, 58, 330]",0,OTHER,0300007420000
"[110, 334, 202, 336, 202, 344, 110, 346]",0,OTHER,001000001191
"[54, 346, 100, 348, 100, 356, 54, 354]",0,OTHER,CONANCE
"[178, 350, 210, 350, 210, 360, 178, 360]",0,OTHER,"20,500"
"[56, 360, 78, 360, 78, 368, 56, 368]",0,OTHER,Ance
"[190, 362, 208, 362, 208, 374, 190, 374]",0,OTHER,103
"[236, 364, 266, 364, 266, 372, 236, 372]",0,OTHER,91410
"[70, 374, 98, 374, 98, 382, 70, 382]",0,OTHER,1000
"[56, 388, 146, 390, 146, 396, 56, 396]",0,OTHER,INTERMINIANT
"[52, 402, 106, 400, 106, 412, 52, 410]",0,OTHER,Can
"[190, 404, 210, 404, 210, 414, 190, 414]",0,OTHER,2000
"[52, 416, 68, 416, 68, 424, 52, 424]",0,OTHER,Co
"[190, 418, 208, 418, 208, 428, 190, 428]",0,OTHER,m
"[54, 428, 122, 428, 122, 440, 54, 440]",0,OTHER,1900000001
"[54, 444, 174, 446, 174, 454, 54, 452]",0,OTHER,01000000001000
"[52, 458, 92, 458, 92, 468, 52, 466]",0,OTHER,coading
"[180, 460, 210, 460, 210, 470, 180, 470]",0,OTHER,"11,000"
"[50, 472, 84, 472, 84, 480, 50, 480]",0,OTHER,Gia bân
"[190, 474, 206, 474, 206, 482, 190, 482]",0,OTHER,100
"[238, 476, 268, 476, 268, 486, 238, 486]",0,OTHER,11000
"[62, 488, 122, 488, 122, 498, 62, 498]",0,OTHER,SAUTERING
"[70, 502, 226, 504, 226, 512, 70, 510]",0,OTHER,CHINH NGUYÊN VIỆN VIỆN VIỆN THUY
"[236, 518, 268, 518, 268, 528, 236, 528]",0,OTHER,1010000000000000
"[190, 518, 208, 518, 208, 528, 190, 528]",0,OTHER,soo
"[50, 530, 122, 530, 122, 542, 50, 540]",0,OTHER,000000001225
"[48, 546, 168, 548, 168, 558, 48, 554]",0,OTHER,Nóm nhm vàng thuy
"[46, 560, 88, 560, 88, 572, 46, 570]",0,OTHER,GISTING
"[190, 562, 210, 562, 210, 572, 190, 572]",0,OTHER,000
"[46, 576, 78, 576, 78, 586, 46, 586]",0,OTHER,tribal
"[176, 578, 210, 576, 210, 588, 176, 586]",0,OTHER,"42,000"
"[238, 578, 268, 578, 268, 586, 238, 586]",0,OTHER,42000
"[42, 594, 80, 598, 79, 611, 41, 608]",0,OTHER,1600000
"[110, 600, 124, 600, 124, 610, 110, 610]",0,OTHER,OU
"[42, 612, 150, 614, 150, 624, 42, 624]",0,OTHER,Trung cong the trang the trang the the the
"[236, 614, 272, 614, 272, 624, 236, 624]",0,OTHER,1940001
"[42, 632, 146, 634, 146, 644, 42, 646]",18,TOTAL_COST,030100000011
"[236, 634, 274, 634, 274, 646, 236, 646]",18,TOTAL_COST,1961100
"[42, 650, 110, 650, 110, 660, 42, 660]",0,OTHER,thánh thách vai
"[150, 652, 174, 652, 174, 664, 150, 664]",0,OTHER,VND
"[236, 652, 276, 652, 276, 664, 236, 664]",0,OTHER,500.000
"[62, 668, 114, 668, 114, 678, 62, 678]",0,OTHER,Namme
"[236, 670, 276, 670, 276, 682, 236, 678]",0,OTHER,"301,900"
"[44, 688, 158, 688, 158, 700, 44, 698]",0,OTHER,MUNH THO
"[40, 706, 168, 708, 168, 720, 40, 716]",0,OTHER,(SIN Nguyên Thinh
"[38, 726, 88, 728, 88, 740, 38, 738]",0,OTHER,Điểm mua
"[34, 744, 108, 746, 108, 758, 34, 756]",0,OTHER,Điểm hiện thoi
"[256, 752, 276, 752, 276, 762, 256, 762]",0,OTHER,BIT
"[38, 766, 109, 766, 107, 775, 38, 774]",0,OTHER,Thenicalism
"[24, 784, 171, 786, 171, 798, 24, 796]",0,OTHER,000000000000000000
"[174, 790, 276, 790, 276, 802, 174, 804]",17,OTHER,Ngay:00000000011
"[110, 806, 224, 808, 223, 821, 110, 818]",0,OTHER,NGÂN: NGUYENDUTHUY
"[164, 824, 192, 824, 192, 834, 164, 834]",0,OTHER,chach
"[58, 834, 82, 834, 82, 858, 58, 858]",0,OTHER,TOU
"[62, 858, 250, 860, 249, 879, 62, 876]",0,OTHER,00000201008000595
