poly,cate_id,cate_text,vietocr_text
"[202, 82, 380, 78, 380, 100, 202, 100]",16,ADDRESS,"VINH ONH TÔ 7, KHU MINH TIẾN KHÁC"
"[230, 106, 352, 104, 352, 124, 230, 124]",16,ADDRESS,"Tô 1, Khu Minh Tiên A"
"[50, 122, 167, 122, 167, 154, 50, 154]",15,SELLER,UnCommerce
"[216, 128, 380, 128, 380, 148, 216, 148]",16,ADDRESS,"Cam Bình, TP. Cam Pha, Chinh"
"[234, 154, 346, 152, 346, 172, 234, 172]",0,OTHER,02471006804 51881
"[160, 194, 298, 194, 298, 214, 160, 212]",0,OTHER,HOA DN BÁN HÀNG
"[46, 216, 270, 218, 270, 236, 46, 234]",17,TIMESTAMP,Ngày bán: 13/08/2020 19:12
"[317, 217, 409, 214, 410, 233, 318, 236]",0,OTHER,11:00032685
"[46, 236, 120, 238, 120, 256, 46, 256]",0,OTHER,quấy:001
"[300, 240, 420, 238, 420, 258, 300, 258]",0,OTHER,NVBI1:09025435
"[46, 280, 121, 281, 119, 300, 46, 298]",0,OTHER,Mặt hàng
"[204, 282, 260, 280, 260, 302, 204, 300]",0,OTHER,ơn giá
"[356, 286, 412, 282, 412, 300, 356, 300]",0,OTHER,T. Tiến
"[294, 284, 312, 284, 312, 300, 294, 300]",0,OTHER,SL
"[46, 300, 402, 304, 402, 322, 46, 320]",0,OTHER,Nước t. lực Sting h. dâu tây đó chà 1
"[44, 324, 162, 324, 162, 342, 44, 342]",0,OTHER,8934588233074
"[312, 328, 322, 328, 322, 342, 312, 342]",0,OTHER,2
"[214, 326, 270, 326, 270, 344, 214, 342]",0,OTHER,10.200
"[362, 326, 420, 326, 420, 344, 362, 344]",0,OTHER,20.400
"[44, 344, 338, 348, 338, 366, 44, 364]",0,OTHER,Nước tăng lực Red bu11 Thái 250m 1
"[44, 368, 162, 368, 162, 386, 44, 386]",0,OTHER,8850228000151
"[364, 370, 420, 370, 420, 388, 364, 388]",0,OTHER,12.500
"[214, 370, 270, 370, 270, 388, 214, 386]",0,OTHER,12.500
"[44, 388, 400, 392, 400, 410, 44, 406]",0,OTHER,Nước uống tăng lực Redbu11 T24 1 no 1910
"[44, 412, 164, 412, 164, 430, 44, 430]",0,OTHER,8935112200005
"[224, 416, 270, 412, 270, 432, 224, 430]",0,OTHER,9.200
"[374, 416, 420, 414, 420, 432, 374, 432]",0,OTHER,19.200
"[44, 434, 66, 434, 66, 452, 44, 452]",0,OTHER,KM
"[390, 436, 420, 436, 420, 454, 390, 454]",0,OTHER,400
"[44, 456, 384, 456, 384, 476, 44, 474]",0,OTHER,Coca Nc sữa hg cam Nutri 297/347m1 T24
"[212, 480, 268, 480, 268, 498, 212, 496]",0,OTHER,10.900
"[42, 478, 162, 478, 162, 496, 42, 496]",0,OTHER,8935049510789
"[364, 480, 420, 480, 420, 498, 364, 498]",0,OTHER,10.900
"[42, 500, 66, 500, 66, 518, 42, 518]",0,OTHER,KM
"[366, 506, 420, 502, 420, 520, 366, 520]",0,OTHER,1.000
"[42, 522, 356, 524, 356, 542, 42, 540]",0,OTHER,N01: Trà Dr Thanh pet 500/455m1 T24
"[42, 544, 162, 544, 162, 562, 42, 562]",0,OTHER,8936193070044
"[238, 546, 268, 546, 268, 564, 238, 564]",0,OTHER,000
"[390, 546, 420, 546, 420, 564, 390, 564]",0,OTHER,000
"[42, 586, 234, 588, 234, 606, 42, 606]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[362, 590, 422, 590, 422, 608, 362, 608]",18,TOTAL_COST,62.600
"[42, 608, 188, 608, 188, 630, 42, 628]",0,OTHER,TỔNG TIỀN Ã GIẢM
"[356, 616, 412, 612, 412, 630, 356, 630]",0,OTHER,-1.400
"[364, 636, 422, 636, 422, 654, 364, 654]",0,OTHER,62:600
"[42, 630, 170, 632, 170, 652, 42, 652]",0,OTHER,TIỀN KHÁCH TRẢ
"[50, 654, 126, 656, 126, 676, 50, 674]",0,OTHER,TIỀN MẶT
"[362, 658, 420, 658, 420, 676, 362, 676]",0,OTHER,62.600
"[42, 676, 152, 680, 152, 698, 42, 696]",0,OTHER,TIỀN TRẢ LẠI
"[112, 700, 346, 702, 346, 722, 112, 720]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[102, 766, 348, 770, 348, 790, 102, 788]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[38, 792, 420, 794, 420, 814, 38, 810]",0,OTHER,Tax invoice will be issued within same day
"[82, 836, 368, 840, 368, 858, 82, 856]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[36, 862, 412, 864, 412, 882, 36, 880]",0,OTHER,"Hot line: 02471066866 Website: vinmart, com the the the"
"[4, 938, 244, 938, 243, 962, 4, 962]",0,OTHER,amsungtripleicamera
"[6, 968, 190, 962, 190, 980, 6, 982]",0,OTHER,nup bang Galaxy 221
