poly,cate_id,cate_text,vietocr_text
"[316, 122, 488, 122, 488, 148, 316, 146]",16,ADDRESS,VM4 QNH 86 Trần Phú
"[266, 150, 538, 154, 538, 184, 266, 178]",16,ADDRESS,"Số 86 Đường Trần Phú, P. Cảm Tây Nam"
"[62, 176, 226, 176, 226, 218, 62, 218]",15,SELLER,Vincommerce
"[290, 186, 506, 188, 506, 214, 290, 212]",16,ADDRESS,"TP Câm Phá, T. Quang Ninh"
"[322, 220, 480, 220, 480, 246, 322, 244]",0,OTHER,024.71086868-43331
"[396, 278, 584, 278, 584, 300, 396, 302]",17,TIMESTAMP,Thời gian:18:04
"[58, 276, 248, 276, 248, 300, 58, 304]",17,TIMESTAMP,Ngày:09/08/2020
"[232, 308, 408, 310, 408, 332, 232, 332]",0,OTHER,Giao dịch treo
"[56, 338, 158, 340, 158, 360, 56, 366]",0,OTHER,Quây:001
"[420, 340, 584, 340, 584, 362, 420, 362]",0,OTHER,NVBH:09020169
"[56, 368, 248, 370, 248, 392, 56, 394]",0,OTHER,TÊN NV:4333POS2
"[54, 398, 234, 402, 234, 424, 54, 424]",0,OTHER,Số GD treo:214
