poly,cate_id,cate_text,vietocr_text
"[268, 130, 382, 126, 382, 148, 268, 150]",0,OTHER,JET MART
"[116, 166, 534, 166, 534, 190, 116, 188]",16,ADDRESS,"1000 1 Chung Cư Citihome, P. Cát Lái, Q.2"
"[234, 202, 413, 193, 414, 220, 237, 225]",0,OTHER,ĐT 03635 18068
"[208, 238, 444, 234, 444, 266, 208, 268]",0,OTHER,PHÓA ĐƠN BẢN Lẻ
"[74, 282, 206, 288, 202, 312, 74, 304]",0,OTHER,Khách hàng:
"[231, 284, 320, 282, 320, 304, 232, 307]",0,OTHER,Khách lên
"[74, 316, 138, 316, 138, 342, 74, 342]",17,TIMESTAMP,Ngày:
"[231, 318, 446, 314, 446, 338, 232, 341]",17,TIMESTAMP,11/06/2020 21:07:25
"[76, 348, 186, 348, 186, 370, 76, 370]",0,OTHER,Nhân viên:
"[232, 348, 338, 350, 338, 370, 230, 371]",0,OTHER,Hoàng Hà
"[74, 380, 202, 382, 202, 404, 74, 402]",0,OTHER,Số hóa đơn:
"[232, 382, 444, 380, 444, 402, 232, 404]",0,OTHER,BIBL.006 11 11.003020
"[510, 444, 576, 444, 576, 466, 510, 466]",0,OTHER,T.Tiên
"[412, 444, 448, 444, 448, 466, 412, 466]",0,OTHER,KM
"[78, 446, 220, 448, 220, 468, 78, 468]",0,OTHER,Tên hàng sl
"[260, 448, 340, 448, 340, 474, 260, 468]",0,OTHER,Đơn gia
"[76, 486, 320, 488, 320, 508, 76, 508]",0,OTHER,Bánh bao tươi Thọ Phát
"[276, 518, 342, 518, 342, 540, 276, 540]",0,OTHER,"16,000"
"[504, 518, 576, 516, 576, 538, 504, 538]",0,OTHER,"164,000"
"[148, 522, 224, 518, 224, 540, 148, 538]",0,OTHER,4 Chiếc
"[78, 556, 288, 556, 288, 576, 78, 576]",0,OTHER,VP Kẹo me cay 3000
"[502, 588, 574, 588, 574, 610, 502, 612]",0,OTHER,"19,000"
