poly,cate_id,cate_text,vietocr_text
"[270, 98, 434, 80, 434, 102, 270, 120]",16,ADDRESS,VM4 HNI 32 Láng Trung
"[410, 108, 472, 106, 472, 126, 410, 130]",0,OTHER,Lông Hại
"[240, 136, 330, 126, 330, 144, 240, 158]",0,OTHER,Só 82 ngo là c
"[306, 150, 422, 138, 422, 160, 306, 174]",16,ADDRESS,"Đồng Đa, Hà Nội"
"[62, 176, 204, 176, 204, 212, 62, 212]",15,SELLER,Vincommerce
"[284, 184, 425, 163, 429, 191, 284, 206]",0,OTHER,024.71066866-38411
"[396, 244, 525, 231, 528, 254, 396, 266]",0,OTHER,11:10:00205837
"[198, 248, 375, 224, 377, 246, 198, 268]",0,OTHER,HÓA ĐƠN BÁN HẢNG
"[372, 276, 530, 262, 530, 284, 374, 298]",0,OTHER,NVBH:09014100
"[54, 280, 332, 260, 332, 282, 54, 300]",17,TIMESTAMP,Ngày bán: 22/08/2020 12:39
"[52, 304, 144, 304, 144, 324, 52, 324]",0,OTHER,Quầy::001
"[462, 326, 534, 316, 534, 340, 462, 342]",0,OTHER,T. Tiền
"[378, 332, 400, 332, 400, 352, 378, 352]",0,OTHER,SL
"[254, 344, 333, 336, 338, 360, 254, 366]",0,OTHER,Đơn giá
"[50, 354, 144, 354, 144, 374, 50, 374]",0,OTHER,Mặt hàng
"[462, 378, 534, 376, 534, 396, 462, 398]",0,OTHER,39.500
"[48, 378, 392, 364, 392, 378, 48, 396]",0,OTHER,Dăm bông hấp đức viêt ngoài pháp thiến được nham được nham
"[266, 398, 338, 396, 338, 416, 266, 418]",0,OTHER,239.500
"[47, 402, 197, 399, 198, 421, 48, 424]",0,OTHER,19935101600960
"[464, 436, 534, 436, 534, 458, 464, 458]",0,OTHER,24.000
"[48, 430, 394, 418, 394, 440, 48, 452]",0,OTHER,Phisca Vinami kho đường hộp 100g
"[278, 450, 338, 448, 338, 468, 278, 468]",0,OTHER,"6,000"
"[45, 458, 197, 450, 198, 472, 46, 480]",0,OTHER,8934573606820
"[46, 484, 439, 467, 441, 489, 46, 508]",0,OTHER,Sữa TT Vinami Ik có đường túi 220m 19
"[476, 496, 534, 496, 534, 518, 476, 518]",0,OTHER,7.200
"[276, 504, 338, 504, 338, 524, 276, 524]",0,OTHER,7.200
"[48, 514, 195, 504, 197, 527, 50, 537]",0,OTHER,8934673500357
"[56, 542, 500, 526, 500, 548, 56, 562]",0,OTHER,Sửa TTT TH True Mi Kk it đường gói 220m1
"[466, 556, 536, 554, 536, 576, 466, 576]",0,OTHER,30.400
"[278, 562, 340, 560, 340, 580, 278, 580]",0,OTHER,7.600
"[54, 568, 197, 563, 198, 585, 54, 590]",0,OTHER,18935217400393
"[458, 614, 540, 612, 540, 632, 458, 634]",18,TOTAL_COST,101 1000
"[52, 620, 294, 616, 294, 640, 52, 646]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[54, 650, 250, 644, 250, 672, 54, 676]",0,OTHER,TỔNG TIỀN ĐÃ GIẢM
"[458, 672, 536, 668, 536, 690, 458, 692]",0,OTHER,101.100
"[52, 678, 214, 676, 214, 702, 52, 702]",0,OTHER,TIẾN KHÁCH TRẢ
"[458, 700, 536, 696, 536, 718, 458, 722]",0,OTHER,100.100
"[60, 706, 152, 708, 152, 730, 60, 730]",0,OTHER,TIỀN MẶT
"[482, 732, 538, 726, 538, 748, 482, 748]",0,OTHER,1.000
"[58, 738, 120, 738, 120, 760, 58, 760]",0,OTHER,Vinid
"[48, 766, 190, 768, 190, 788, 48, 792]",0,OTHER,TIẾN TRÃ LẠI
"[142, 794, 450, 788, 450, 814, 142, 816]",0,OTHER,Giá đã bao gồm thuế gtgt)
"[352, 852, 541, 841, 543, 863, 354, 874]",0,OTHER,XXXXXXXXXXXXXXXXI88
"[50, 856, 252, 852, 252, 878, 50, 876]",0,OTHER,ID THẾ KHÁCH HÀNG
"[48, 880, 348, 878, 348, 904, 48, 906]",0,OTHER,Điểm tích(1.000VND-1 điểm)
"[344, 908, 522, 906, 522, 924, 344, 928]",0,OTHER,003841001002000
"[50, 910, 206, 910, 206, 934, 50, 936]",0,OTHER,Số tham chiếu
"[134, 994, 456, 992, 456, 1018, 134, 1022]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[52, 1030, 550, 1022, 550, 1044, 52, 1052]",0,OTHER,The Tax invoice will be issued within same days
"[110, 1086, 482, 1082, 482, 1104, 110, 1110]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[48, 1118, 542, 1112, 542, 1132, 48, 1140]",0,OTHER,Hot line: 02471066866 Website: Vinmart.COM
