poly,cate_id,cate_text,vietocr_text
"[224, 88, 368, 86, 368, 102, 224, 104]",16,ADDRESS,VM - QNH 112 Thanh Niên
"[202, 110, 392, 108, 392, 126, 202, 128]",16,ADDRESS,"Só 112 Thanh Niên, P. Căm Thành"
"[52, 128, 170, 128, 170, 158, 52, 158]",15,SELLER,VinCommerce
"[224, 134, 368, 132, 368, 150, 224, 152]",16,ADDRESS,"TP. Câm Phả, Quảng Ninh"
"[238, 158, 352, 156, 352, 176, 238, 176]",0,OTHER,024.71066858-39671
"[164, 198, 312, 200, 312, 216, 164, 216]",0,OTHER,HÓA ĐƠN BÁN HẮNG
"[326, 218, 428, 220, 428, 238, 326, 238]",0,OTHER,HD:00182245
"[48, 220, 274, 222, 274, 240, 48, 240]",17,TIMESTAMP,Ngày bán: 15/08/2020 11:26
"[48, 242, 120, 242, 120, 260, 48, 260]",0,OTHER,Quấy::001
"[308, 242, 428, 242, 428, 260, 308, 260]",0,OTHER,NVBH:09015347
"[46, 286, 123, 288, 121, 306, 46, 306]",0,OTHER,Mặt hàng
"[374, 290, 430, 284, 430, 304, 374, 304]",0,OTHER,T. Tiến
"[310, 290, 326, 290, 326, 306, 310, 306]",0,OTHER,SL
"[208, 286, 274, 286, 274, 308, 208, 304]",0,OTHER,Đơn giá
"[46, 308, 346, 310, 346, 330, 46, 328]",0,OTHER,PEPERO BÁNH QUE WHITE COOK IE 3299
"[46, 328, 166, 331, 165, 350, 45, 347]",0,OTHER,8801062636358
"[218, 332, 274, 332, 274, 350, 218, 350]",0,OTHER,20.500
"[372, 334, 430, 332, 430, 350, 372, 350]",0,OTHER,20.500
"[372, 356, 430, 354, 430, 372, 372, 372]",0,OTHER,2.600
"[46, 354, 68, 354, 68, 370, 46, 370]",0,OTHER,KM
"[46, 376, 392, 376, 392, 396, 46, 394]",0,OTHER,SWING MAX VI BÒ NƯỚNG TIÊU ĐEN 108GT22
"[44, 398, 166, 398, 166, 416, 44, 416]",0,OTHER,8936036026160
"[216, 400, 274, 400, 274, 418, 216, 418]",0,OTHER,21.900
"[370, 400, 430, 398, 430, 416, 370, 418]",0,OTHER,"21,900"
"[46, 420, 410, 420, 410, 440, 46, 438]",0,OTHER,OSTAR Snack Vị Kim Chi Hàn Quốc 58g(T40)
"[44, 442, 166, 442, 166, 462, 44, 462]",0,OTHER,8936036021653
"[370, 444, 430, 444, 430, 462, 370, 462]",0,OTHER,12.000
"[216, 444, 274, 444, 274, 462, 216, 462]",0,OTHER,12.000
"[44, 466, 316, 466, 316, 484, 44, 484]",0,OTHER,Kem dưa lưới Binggrae cây 80m 1
"[216, 488, 274, 488, 274, 506, 216, 508]",0,OTHER,22.000
"[372, 490, 430, 490, 430, 508, 372, 508]",0,OTHER,44.000
"[44, 488, 164, 488, 164, 506, 44, 506]",0,OTHER,08801104122504
"[44, 530, 237, 530, 238, 549, 44, 550]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[372, 536, 432, 536, 432, 554, 372, 554]",18,TOTAL_COST,95.800
"[44, 552, 202, 554, 202, 574, 44, 574]",0,OTHER,TỔNG TIẾN ĐÃ GIẢM
"[372, 558, 434, 558, 434, 578, 372, 578]",0,OTHER,-2.600
"[372, 582, 434, 582, 434, 600, 372, 600]",0,OTHER,95.800
"[44, 576, 172, 576, 172, 596, 44, 596]",0,OTHER,TIỀN KHÁCH TRẮN
"[52, 598, 128, 600, 128, 620, 52, 620]",0,OTHER,TIÊN MẶT
"[372, 604, 432, 606, 432, 624, 372, 624]",0,OTHER,95.800
"[42, 622, 154, 624, 154, 642, 42, 642]",0,OTHER,TIẾN TRẢ LẠI
"[116, 648, 356, 650, 356, 672, 116, 666]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[104, 714, 358, 722, 358, 742, 104, 736]",0,OTHER,Chi xuất hóa đơn trong ngày
"[38, 742, 434, 750, 434, 768, 38, 760]",0,OTHER,Tax invoice will be issued within same day
"[84, 788, 376, 792, 376, 812, 84, 806]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[36, 812, 426, 820, 426, 838, 36, 832]",0,OTHER,Hot line: 02471066866 Website: vinmart.com
