poly,cate_id,cate_text,vietocr_text
"[50, 115, 301, 114, 305, 143, 47, 146]",15,SELLER,MILANOLCOFFEES
"[194, 188, 354, 168, 354, 178, 196, 204]",0,OTHER,mown milanocoffee.com.
"[33, 175, 172, 188, 172, 202, 29, 190]",15,OTHER,Milano Coffee Vietnam
"[50, 210, 319, 194, 322, 213, 50, 228]",16,ADDRESS,186 CÂY TRÀNG ĐI HÀM THEM THEM THEM THEM THEM THEM THEM THEM THEM THEM THEM THEM THEM
"[54, 250, 294, 236, 298, 261, 54, 278]",0,OTHER,PHÓA ĐƠN THANH TOÁN TH
"[22, 294, 310, 284, 310, 296, 22, 310]",0,OTHER,Nó hóa đơn: 002000000000001201
"[214, 312, 298, 306, 298, 322, 214, 330]",0,OTHER,Bàn: SỐ 01
"[62, 320, 172, 320, 172, 334, 62, 334]",17,TIMESTAMP,02.10.2020 18.25
"[306, 340, 346, 340, 346, 356, 306, 356]",0,OTHER,T.Tien
"[240, 348, 272, 348, 272, 364, 240, 364]",0,OTHER,Đ.Giái
"[86, 360, 144, 358, 144, 372, 86, 372]",0,OTHER,Tên món
"[304, 372, 348, 366, 348, 384, 304, 386]",0,OTHER,19 000
"[42, 380, 160, 378, 160, 392, 42, 394]",0,OTHER,Bạc siu đường nầu
"[230, 380, 274, 378, 274, 392, 230, 396]",0,OTHER,19 000
"[38, 396, 100, 396, 100, 410, 38, 412]",0,OTHER,(M)(MV)
"[302, 410, 348, 404, 348, 424, 302, 424]",0,OTHER,45 000)
"[42, 416, 164, 414, 164, 430, 42, 430]",0,OTHER,Cà phê trà xanh (L)
"[228, 418, 272, 414, 272, 430, 228, 430]",0,OTHER,45 000
"[34, 432, 73, 429, 75, 447, 36, 450]",0,OTHER,MV)
"[292, 444, 346, 442, 346, 460, 292, 462]",0,OTHER,64 000
"[28, 456, 68, 456, 68, 476, 28, 476]",0,OTHER,Tổng
"[276, 494, 350, 492, 350, 514, 276, 516]",18,TOTAL_COST,64 000
"[28, 502, 192, 500, 192, 520, 28, 524]",18,TOTAL_COST,Tiên Thanh Toán
"[202, 544, 350, 542, 350, 562, 202, 564]",18,TOTAL_COST,CASH(VND) - 64 000
"[302, 572, 354, 570, 354, 588, 302, 588]",0,OTHER,100 000
"[206, 574, 262, 574, 262, 588, 206, 588]",0,OTHER,Khach tra:
"[206, 590, 266, 592, 266, 606, 206, 606]",0,OTHER,Trá khách:
"[310, 594, 356, 590, 356, 608, 310, 608]",0,OTHER,36 000
"[94, 670, 271, 683, 269, 700, 94, 688]",0,OTHER,Wifi: Milano Coffee Premium
"[44, 698, 328, 712, 328, 730, 44, 714]",0,OTHER,Milano Coffee xin cam ơn và hẹn gặp lai thuy
"[140, 718, 217, 723, 215, 743, 140, 740]",0,OTHER,Quy khách
