poly,cate_id,cate_text,vietocr_text
"[151, 115, 586, 91, 590, 160, 155, 185]",15,SELLER,coopsmile
"[22, 250, 812, 262, 812, 292, 22, 282]",16,ADDRESS,CO.OPSMILE - A1 KHU BA HOC QUOC GIA
"[60, 286, 779, 301, 775, 333, 60, 316]",16,ADDRESS,"Toa nha A1, Ky tuc xa khu B, Khu pho , an Hoa,"
"[46, 317, 791, 336, 789, 369, 44, 351]",16,ADDRESS,"Phuong Dong Hoa, Thi xa Di An, Tinh Dinh Duong"
"[344, 360, 536, 360, 536, 394, 344, 394]",0,OTHER,0911825753
"[210, 353, 640, 358, 640, 436, 209, 433]",0,OTHER,Poting: 0911825753 (2417)
"[118, 462, 724, 472, 724, 502, 118, 494]",0,OTHER,Co gia tri xuat Hoa don GTGT trong ngay
"[21, 509, 291, 512, 291, 544, 17, 544]",17,TIMESTAMP,Ngay: 13/09/2020
"[418, 514, 614, 514, 614, 546, 418, 544]",17,TIMESTAMP,Gio: 20:40:02
"[24, 546, 675, 543, 675, 577, 24, 576]",0,OTHER,Nhan vien: 999088 - TRẦN QUANG HOÀNG
"[28, 578, 417, 577, 417, 615, 28, 610]",0,OTHER,SO HD: ORDCM1 1070182
"[32, 628, 167, 632, 165, 665, 32, 664]",0,OTHER,Ten hang
"[328, 628, 436, 630, 436, 664, 326, 661]",0,OTHER,Don gia
"[510, 630, 546, 630, 546, 656, 510, 656]",0,OTHER,SL
"[651, 630, 794, 630, 794, 658, 652, 658]",0,OTHER,nhanh tien
"[32, 676, 466, 678, 466, 706, 32, 706]",0,OTHER,000116495 BCDR P/S long to
"[336, 710, 435, 707, 437, 737, 336, 740]",0,OTHER,18.000
"[98, 710, 238, 710, 238, 740, 98, 740]",0,OTHER,VAT 10%
"[710, 708, 810, 708, 810, 740, 710, 740]",0,OTHER,18.000
"[32, 742, 549, 741, 549, 773, 32, 774]",0,OTHER,003296822 Nuoc TEPPYcam327ml
"[726, 776, 812, 776, 812, 808, 726, 808]",0,OTHER,8.500
"[98, 778, 236, 776, 236, 808, 98, 808]",0,OTHER,VAT 10%
"[352, 776, 438, 776, 438, 808, 352, 808]",0,OTHER,8.500
"[710, 826, 814, 824, 814, 854, 710, 854]",18,TOTAL_COST,26.500
"[34, 826, 236, 826, 236, 856, 34, 858]",18,TOTAL_COST,TONG CONG
"[34, 858, 326, 866, 323, 897, 30, 891]",0,OTHER,Tong so luong hang
"[792, 858, 812, 858, 812, 884, 792, 884]",0,OTHER,2
"[32, 894, 382, 896, 382, 926, 31, 925]",0,OTHER,Phuong thuc thanh toan
"[708, 922, 812, 922, 812, 956, 708, 956]",0,OTHER,26.500
"[32, 926, 188, 928, 188, 960, 32, 960]",0,OTHER,TIEN MAT
"[34, 961, 202, 964, 202, 996, 32, 993]",0,OTHER,Tien thoi lai
"[786, 960, 814, 960, 814, 986, 786, 986]",0,OTHER,-0
"[692, 990, 818, 994, 818, 1026, 692, 1024]",0,OTHER,2409.09
"[32, 998, 414, 992, 414, 1030, 32, 1032]",0,OTHER,Bao gom thue GTGT 10%
"[30, 1045, 515, 1039, 516, 1075, 30, 1081]",0,OTHER,THONG TIN THE KHÁCH HANG
"[30, 1082, 132, 1088, 132, 1116, 30, 1116]",0,OTHER,Ma so:
"[32, 1118, 140, 1120, 140, 1150, 32, 1150]",0,OTHER,Ho ten:
"[434, 1148, 782, 1148, 782, 1184, 433, 1181]",0,OTHER,Diem Chinh Thu ConLai
"[32, 1152, 380, 1150, 380, 1192, 32, 1186]",0,OTHER,DiemTrongNgayConLai
"[82, 1232, 788, 1228, 791, 1271, 80, 1263]",0,OTHER,Cam on Quy khach da mua sam tai Co. PSmile
"[326, 1270, 540, 1270, 540, 1304, 326, 1304]",0,OTHER,HEN GAP LAI
