poly,cate_id,cate_text,vietocr_text
"[234, 54, 478, 54, 478, 72, 234, 74]",15,SELLER,AMINIMARTANANS
"[198, 84, 506, 86, 506, 104, 196, 105]",16,ADDRESS,Chợ Súi Phú Thị Gia Làm
"[52, 126, 78, 126, 78, 140, 52, 140]",0,OTHER,lel:
"[182, 164, 531, 162, 532, 193, 182, 196]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[206, 208, 326, 206, 326, 228, 206, 228]",0,OTHER,SL ĐVT
"[46, 210, 164, 212, 163, 234, 46, 232]",0,OTHER,Tên hàng
"[374, 208, 646, 206, 646, 226, 374, 228]",0,OTHER,Đơn giá Thành tiến
"[31, 245, 502, 242, 502, 268, 32, 272]",0,OTHER,03833998021028 dầu simply gạo 11 NO
"[582, 280, 672, 280, 672, 306, 582, 308]",0,OTHER,"50,000"
"[402, 282, 490, 282, 490, 308, 402, 310]",0,OTHER,"50,000"
"[250, 282, 300, 282, 300, 304, 250, 304]",0,OTHER,CHA
"[22, 330, 478, 328, 478, 356, 22, 356]",0,OTHER,0291000020000 Đường trắng 1kg NT
"[248, 372, 300, 372, 300, 394, 248, 394]",0,OTHER,GOT
"[402, 372, 492, 372, 492, 400, 402, 400]",0,OTHER,"15,000"
"[584, 372, 674, 372, 674, 398, 584, 402]",0,OTHER,"15,000"
"[10, 423, 116, 428, 116, 454, 7, 455]",0,OTHER,Tổng sối
"[220, 436, 236, 436, 236, 456, 220, 456]",0,OTHER,2
"[10, 462, 150, 473, 147, 503, 6, 495]",18,TOTAL_COST,Tổng cộng
"[590, 468, 680, 468, 680, 496, 590, 496]",18,TOTAL_COST,"65,000"
"[10, 510, 216, 510, 216, 538, 10, 538]",0,OTHER,Tiên khách trả:
"[590, 516, 682, 516, 682, 542, 590, 546]",0,OTHER,"65,000"
"[338, 514, 400, 514, 400, 542, 338, 542]",0,OTHER,VND
"[24, 582, 349, 581, 349, 609, 24, 610]",0,OTHER,Mã thẻ: A10000000209
"[28, 624, 361, 631, 359, 657, 28, 656]",0,OTHER,(0) nguyễn thị mai hương
"[26, 666, 166, 674, 166, 694, 25, 693]",0,OTHER,Điêm mua:
"[656, 674, 670, 674, 670, 692, 656, 692]",0,OTHER,6
"[30, 706, 226, 714, 226, 738, 30, 738]",0,OTHER,Điểm hiện thời:
"[600, 716, 672, 716, 672, 742, 600, 744]",0,OTHER,"1,113"
"[34, 751, 232, 758, 232, 784, 31, 779]",0,OTHER,Hạng hiện thời:
"[34, 796, 327, 809, 321, 837, 34, 822]",0,OTHER,Giá trị thương tích luy:
"[584, 804, 668, 804, 668, 828, 584, 828]",0,OTHER,"17,777"
"[60, 848, 392, 855, 391, 879, 60, 874]",0,OTHER,Số GD: 000AC2212008001494
"[396, 854, 658, 856, 658, 878, 393, 879]",17,OTHER,Ngày: 11/08/2020-18:01
"[270, 890, 444, 892, 444, 910, 270, 910]",0,OTHER,Thu ngân: Bh3
"[128, 910, 556, 914, 556, 930, 126, 929]",0,OTHER,Xin cám ơn và hen gắp lạch thuy khách
