poly,cate_id,cate_text,vietocr_text
"[222, 94, 428, 96, 428, 112, 222, 114]",16,ADDRESS,VÀ VINH TÔ 7 KHU MINH TIÊN ANH
"[256, 120, 398, 124, 398, 142, 256, 142]",16,ADDRESS,"16 T, Khu Minh Tiên Anh"
"[42, 142, 182, 142, 182, 178, 42, 178]",15,SELLER,VinCommerce
"[238, 146, 432, 146, 432, 168, 238, 168]",16,ADDRESS,"Cam Bình, TP. Cảm Pha, ONH"
"[260, 174, 394, 174, 394, 196, 260, 196]",0,OTHER,02471066366-51561
"[174, 222, 336, 222, 336, 242, 174, 242]",0,OTHER,HÓA ƠN BÁN HẮNG
"[38, 250, 302, 248, 302, 268, 38, 272]",17,TIMESTAMP,Ngày bán: 10/08/2020 10:24
"[361, 248, 471, 248, 471, 268, 361, 268]",0,OTHER,H:00032115
"[344, 274, 482, 273, 482, 293, 344, 294]",0,OTHER,NVBH:09025437
"[38, 276, 122, 276, 122, 296, 38, 296]",0,OTHER,Quấy:001
"[406, 324, 474, 324, 474, 346, 406, 346]",0,OTHER,T. Tiền
"[228, 328, 292, 326, 292, 348, 228, 346]",0,OTHER,lơn giá
"[334, 328, 354, 328, 354, 346, 334, 346]",0,OTHER,SL
"[36, 326, 124, 326, 124, 348, 36, 348]",0,OTHER,Mặt hàng
"[36, 352, 464, 352, 464, 372, 36, 372]",0,OTHER,"Vineco chanh có hạt 45.000/KG X.0,548 KG"
"[34, 378, 176, 378, 176, 398, 34, 398]",0,OTHER,2651672005480
"[238, 380, 304, 380, 304, 398, 238, 398]",0,OTHER,24.660
"[418, 378, 484, 378, 484, 398, 418, 398]",0,OTHER,24.660
"[34, 428, 262, 430, 262, 452, 34, 452]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[418, 432, 486, 432, 486, 452, 418, 452]",18,TOTAL_COST,24.660
"[34, 454, 208, 454, 208, 478, 34, 480]",0,OTHER,TỔNG TIỀN Ã GIẢM
"[34, 482, 186, 482, 186, 504, 34, 504]",0,OTHER,TIỀN KHÁCH TRẢ
"[418, 484, 486, 484, 486, 504, 418, 504]",0,OTHER,24.660
"[42, 508, 132, 510, 132, 532, 42, 532]",0,OTHER,TIỀN MẶT
"[420, 510, 486, 512, 486, 532, 420, 530]",0,OTHER,50.000
"[32, 534, 166, 538, 166, 558, 32, 560]",0,OTHER,TIỀN TRÃ LẠI
"[420, 538, 488, 538, 488, 558, 420, 558]",0,OTHER,25.340
"[118, 564, 400, 568, 400, 584, 118, 586]",0,OTHER,Giá đã bao gồm thuê gigt)
"[106, 642, 404, 644, 404, 668, 106, 666]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[28, 672, 490, 674, 490, 696, 26, 693]",0,OTHER,Tax invoice will be issued within same day
"[82, 728, 428, 730, 428, 752, 82, 754]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[24, 758, 484, 760, 484, 780, 24, 780]",0,OTHER,Hotline: 02471066866 Website: Vinmart.COM
