poly,cate_id,cate_text,vietocr_text
"[122, 150, 452, 152, 452, 172, 122, 172]",15,SELLER,SIEU THI BAGH HOA TONG HOP TH
"[166, 184, 410, 182, 410, 202, 166, 202]",16,ADDRESS,Sò 5 Cấm Tây Cầm Phả - ON
"[90, 208, 328, 210, 328, 228, 90, 224]",0,OTHER,Tei: 0203.37311999 Websites
"[381, 212, 435, 209, 436, 224, 382, 227]",0,OTHER,sienthi
"[126, 234, 446, 238, 446, 252, 126, 250]",0,OTHER,Giờ lam việc: 1.2.000 hang ngay
"[170, 270, 403, 270, 404, 299, 170, 300]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[214, 312, 356, 312, 356, 332, 214, 330]",0,OTHER,MISTR5700062791
"[82, 336, 165, 341, 163, 361, 82, 354]",0,OTHER,Tên hàng
"[298, 340, 478, 340, 478, 356, 298, 358]",0,OTHER,Đơn giá Thành tiên
"[188, 340, 267, 337, 269, 355, 188, 356]",0,OTHER,SL ĐVT
"[76, 364, 210, 364, 210, 384, 76, 384]",0,OTHER,04005808692903
"[78, 396, 410, 394, 410, 412, 78, 410]",0,OTHER,Lan ngần mùi Nivea trắng diu T2
"[314, 422, 374, 420, 374, 440, 314, 440]",0,OTHER,"70,000"
"[430, 422, 488, 420, 488, 440, 430, 440]",0,OTHER,"70,000"
"[226, 424, 248, 424, 248, 438, 226, 438]",0,OTHER,La
"[66, 451, 136, 454, 136, 474, 64, 472]",0,OTHER,Tổng 563
"[174, 460, 218, 458, 218, 474, 174, 474]",0,OTHER,100
"[434, 478, 492, 480, 492, 498, 434, 498]",18,TOTAL_COST,"70,000"
"[66, 475, 276, 480, 276, 500, 64, 498]",18,TOTAL_COST,Tổng cộng (đã gốm VAT)
"[68, 510, 200, 512, 200, 530, 68, 530]",0,OTHER,Tiền khách trá:
"[436, 512, 494, 512, 494, 532, 436, 532]",0,OTHER,"70,000"
"[276, 514, 316, 514, 316, 532, 276, 532]",0,OTHER,VND
"[50, 548, 310, 548, 310, 570, 50, 568]",0,OTHER,SỐ GD: 000AD22120080006189
"[314, 550, 494, 550, 494, 570, 314, 574]",17,OTHER,Ngày: 09/08/2020-17:
"[170, 582, 402, 582, 402, 604, 170, 602]",0,OTHER,Thu ngân: NGUYENTHITHUY
"[166, 614, 403, 615, 401, 636, 166, 632]",0,OTHER,Xin cám ơn quý khách hàng)
"[120, 682, 456, 682, 456, 714, 120, 714]",0,OTHER,000AD2212008000618
