poly,cate_id,cate_text,vietocr_text
"[198, 78, 316, 78, 316, 94, 198, 92]",16,ADDRESS,Viên Qua Ho Hinh Niên
"[178, 96, 334, 98, 334, 114, 178, 112]",16,ADDRESS,"Số 112 Thanh Niên, P. Cam Thành"
"[50, 108, 152, 108, 152, 134, 50, 134]",15,SELLER,Vincommerce
"[198, 118, 316, 116, 316, 134, 198, 130]",16,ADDRESS,Phi thi thi thu nhàng trong trinh thuy nhiều thuy nhiều thuy nhiều thuy nhiều thuy nhiều thuy nhiều thuy nhiều thuy nhiều thuy nh
"[208, 136, 302, 138, 302, 152, 208, 152]",0,OTHER,024.71088865-3987
"[146, 172, 270, 172, 270, 186, 146, 186]",0,OTHER,HÒA ĐƠN BÁN HÀNG
"[48, 188, 238, 190, 238, 204, 48, 204]",17,TIMESTAMP,Ngày bán: 10/08/2020 17:55
"[280, 190, 364, 190, 364, 206, 280, 206]",0,OTHER,1111::00180837
"[48, 206, 110, 208, 110, 220, 48, 220]",0,OTHER,quây:001
"[266, 210, 364, 210, 364, 224, 266, 224]",0,OTHER,NVBH:09015348
"[44, 242, 110, 242, 110, 258, 44, 258]",0,OTHER,Mất hãng
"[184, 244, 238, 244, 238, 260, 184, 258]",0,OTHER,Đơn giáo
"[320, 246, 366, 244, 366, 260, 320, 260]",0,OTHER,T.TTEN
"[266, 248, 282, 248, 282, 258, 266, 258]",0,OTHER,SL
"[44, 258, 238, 264, 238, 278, 44, 276]",0,OTHER,Phở thit bò vifon gói 659
"[44, 282, 148, 282, 148, 296, 44, 294]",0,OTHER,188335561020035
"[198, 282, 238, 280, 238, 296, 198, 294]",0,OTHER,6.200
"[318, 284, 366, 284, 366, 298, 318, 296]",0,OTHER,12.400
"[44, 300, 216, 300, 216, 314, 44, 314]",0,OTHER,BIBIGO KIMCHI CÁI THÁO
"[236, 300, 298, 302, 298, 316, 236, 316]",0,OTHER,ngô 1000
"[44, 318, 146, 318, 146, 332, 44, 332]",0,OTHER,089385085476611
"[192, 320, 238, 320, 238, 332, 192, 332]",0,OTHER,13.500
"[318, 320, 366, 320, 366, 334, 318, 334]",0,OTHER,13.500
"[40, 354, 208, 356, 208, 370, 40, 370]",17,TIMESTAMP,TỔNG TIẾN PHẢI T. TCÁN
"[318, 358, 366, 358, 366, 372, 318, 372]",17,TIMESTAMP,25.900
"[40, 372, 176, 372, 176, 390, 40, 390]",0,OTHER,TỔNG TIẾN ĐÃ GIĂM
"[40, 392, 152, 392, 152, 410, 40, 410]",0,OTHER,TIẾN KHÁCH TRẢ
"[316, 394, 366, 396, 366, 410, 316, 410]",0,OTHER,25.900
"[46, 412, 112, 414, 112, 428, 46, 430]",0,OTHER,TIẾN MẶT
"[310, 416, 366, 414, 366, 430, 310, 430]",0,OTHER,500.000
"[34, 431, 136, 432, 136, 450, 36, 450]",0,OTHER,TIẾN TRÃ LẠI
"[310, 436, 366, 432, 366, 450, 310, 448]",0,OTHER,"474, 1001"
"[100, 452, 304, 452, 304, 468, 100, 470]",0,OTHER,(Giá đã bao góm thuế gigt)
"[88, 510, 304, 514, 304, 528, 90, 529]",0,OTHER,Chỉ xuất hóa đơn trong ngay
"[36, 534, 366, 534, 366, 548, 36, 548]",0,OTHER,Than invoice will be issued wate day
"[74, 572, 320, 570, 320, 588, 74, 586]",0,OTHER,CÁM ĐƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[32, 594, 360, 594, 360, 606, 32, 608]",0,OTHER,"Not ine: 02471066866 nebsite: tr, com"
