poly,cate_id,cate_text,vietocr_text
"[308, 15, 520, 18, 519, 40, 306, 38]",15,SELLER,Satra Group
"[21, 53, 557, 41, 558, 66, 22, 78]",16,ADDRESS,Satrafoods 2B Đường Bình Lợi
"[20, 82, 792, 84, 792, 98, 20, 106]",16,ADDRESS,"NG2 BÌNH LỢI, PHUONG NGUY THỊ THỊ THỊ THỊ THUY"
"[18, 112, 714, 102, 714, 130, 18, 134]",0,OTHER,Hotline:CSKH:18001191-CH::0911563131
"[150, 134, 482, 142, 482, 162, 149, 161]",0,OTHER,dvkhisatra.com.vn
"[16, 142, 89, 138, 90, 162, 18, 166]",0,OTHER,Mail
"[17, 171, 598, 176, 598, 196, 18, 196]",0,OTHER,Website: www.satrafoods.com.vn
"[306, 230, 578, 230, 578, 262, 306, 260]",0,OTHER,HÓA ĐƠN BÁN Lẻ
"[388, 268, 464, 268, 464, 292, 388, 292]",0,OTHER,-000
"[14, 326, 214, 326, 214, 356, 14, 356]",17,TIMESTAMP,13/08/2020
"[270, 330, 368, 330, 368, 356, 270, 356]",17,TIMESTAMP,18:20
"[634, 328, 870, 330, 870, 358, 634, 364]",0,OTHER,Quảy: 1162T2
"[16, 358, 446, 362, 445, 391, 16, 384]",0,OTHER,SÔ HĐ 116212200226369
"[16, 392, 70, 392, 70, 416, 16, 416]",0,OTHER,NV:
"[194, 394, 332, 396, 332, 426, 194, 422]",0,OTHER,vinh.pd
"[16, 454, 156, 456, 156, 486, 16, 478]",0,OTHER,Đơn giá
"[672, 458, 866, 452, 866, 484, 672, 484]",0,OTHER,Thành tiền
"[350, 454, 505, 464, 503, 492, 350, 484]",0,OTHER,Số lượng
"[56, 520, 620, 520, 620, 546, 56, 544]",0,OTHER,CA SABA HAP SG FOOD KHAY 300G
"[76, 550, 334, 550, 334, 578, 76, 578]",0,OTHER,08936013233826
"[692, 554, 846, 552, 846, 578, 692, 576]",0,OTHER,VAT: 101
"[80, 580, 254, 582, 254, 608, 80, 608]",0,OTHER,"14..00,000"
"[692, 582, 861, 578, 864, 605, 692, 608]",0,OTHER,"143.500,000"
"[486, 586, 500, 586, 500, 606, 486, 606]",0,OTHER,1
"[690, 676, 858, 676, 858, 702, 690, 700]",0,OTHER,"43.500,00"
"[26, 669, 109, 675, 107, 707, 24, 701]",0,OTHER,Tổng
"[764, 704, 860, 704, 860, 732, 764, 730]",0,OTHER,"00,00"
"[30, 699, 412, 700, 412, 730, 28, 729]",0,OTHER,Thông tiền chiết khẩu
"[690, 734, 862, 736, 862, 762, 690, 758]",18,TOTAL_COST,"43.500,000"
"[34, 727, 206, 730, 206, 760, 32, 759]",18,TOTAL_COST,Tổng tiền
"[690, 766, 861, 765, 862, 789, 690, 792]",0,OTHER,"13.500,00"
"[32, 764, 298, 762, 298, 788, 32, 790]",0,OTHER,Tiên khách trản
"[32, 792, 450, 796, 449, 823, 32, 822]",0,OTHER,Tiển trả lại cho khách
"[768, 798, 864, 798, 864, 824, 768, 824]",0,OTHER,"00,00"
"[32, 856, 373, 849, 374, 879, 32, 882]",0,OTHER,Chi tiết tiền thuến
"[712, 858, 866, 860, 866, 886, 712, 884]",0,OTHER,"3.955,00"
"[52, 886, 150, 886, 150, 910, 52, 910]",0,OTHER,"10,00"
"[714, 892, 866, 892, 866, 918, 714, 918]",0,OTHER,"33.955,00"
"[32, 946, 392, 948, 392, 974, 32, 972]",0,OTHER,Chi tiết thanh toán
"[32, 980, 368, 980, 368, 1008, 32, 1006]",0,OTHER,The tin dung (moi)
"[692, 984, 864, 986, 864, 1012, 692, 1012]",0,OTHER,"43.500,00"
"[30, 1042, 313, 1047, 311, 1076, 30, 1066]",0,OTHER,Trên khách hàng:
"[28, 1074, 310, 1074, 310, 1096, 28, 1100]",0,OTHER,Điểm phát sinh:
"[370, 1074, 448, 1072, 448, 1100, 370, 1098]",0,OTHER,"00,00"
"[370, 1104, 388, 1104, 388, 1128, 370, 1128]",0,OTHER,O
"[26, 1106, 313, 1108, 311, 1136, 28, 1133]",0,OTHER,Điêm chưa dùng:
"[28, 1136, 273, 1140, 271, 1168, 28, 1164]",0,OTHER,Điểm đã dùng:
"[407, 1138, 485, 1135, 486, 1164, 408, 1167]",0,OTHER,"0,00"
"[52, 1202, 718, 1206, 718, 1234, 52, 1214]",0,OTHER,Viên Vi Vi Tinh này chí có giá trị xuất
"[104, 1230, 561, 1233, 562, 1263, 104, 1256]",0,OTHER,"""Nhóa đơn GTGT trong ngày?"
"[28, 1262, 775, 1274, 773, 1301, 28, 1284]",0,OTHER,Trân trọng cảm ơn quý khách đảng
"[83, 1294, 696, 1302, 696, 1332, 84, 1323]",0,OTHER,Thi tại Satrafoods 2B Đường Bình Lợi
"[272, 1330, 484, 1328, 484, 1358, 272, 1358]",0,OTHER,Hẹn gặp lại
