poly,cate_id,cate_text,vietocr_text
"[84, 40, 182, 40, 182, 102, 84, 102]",15,SELLER,Ga
"[205, 37, 390, 49, 385, 124, 200, 113]",15,SELLER,Dong
"[408, 42, 588, 42, 588, 110, 408, 110]",15,SELLER,Quan
"[32, 124, 622, 138, 622, 156, 32, 152]",16,ADDRESS,"NGON THO NGHONG 20, DUONG QUANG HAM PH, CHAM PHAM NGA"
"[258, 172, 418, 174, 418, 200, 258, 200]",0,OTHER,001224114004
"[110, 224, 584, 228, 584, 276, 110, 274]",0,OTHER,PHIẾU TÍNH TIÊN
"[36, 273, 168, 280, 168, 302, 34, 300]",0,OTHER,Liên c 1
"[252, 278, 596, 280, 596, 308, 252, 306]",0,OTHER,04/03/2019 15:04:00019
"[252, 312, 540, 312, 540, 340, 252, 340]",0,OTHER,00102-24032019019
"[38, 306, 210, 314, 210, 340, 38, 338]",0,OTHER,SỐ H. ĐƠN:
"[252, 346, 268, 346, 268, 366, 252, 366]",0,OTHER,7
"[36, 342, 118, 345, 117, 374, 35, 371]",0,OTHER,BÀN:
"[250, 382, 370, 382, 370, 408, 250, 406]",0,OTHER,GA DONG
"[36, 378, 212, 378, 212, 406, 36, 406]",0,OTHER,NHÂN VIÊN:
"[36, 411, 172, 422, 172, 436, 35, 438]",0,OTHER,PHỤC VU J
"[250, 414, 370, 414, 370, 440, 250, 440]",0,OTHER,GA DONG
"[34, 444, 156, 446, 156, 468, 34, 470]",17,TIMESTAMP,Gio Vao
"[250, 446, 580, 448, 580, 472, 250, 474]",17,TIMESTAMP,04/03/2019 14:38:01920
"[250, 478, 582, 480, 582, 506, 250, 504]",17,TIMESTAMP,04/03/2019 15:04:000
"[34, 476, 137, 480, 135, 503, 34, 500]",17,TIMESTAMP,Gio Ra
"[48, 538, 228, 538, 228, 560, 48, 560]",0,OTHER,GOI GA-110
"[102, 570, 156, 574, 156, 594, 102, 592]",0,OTHER,1 x
"[243, 570, 365, 566, 366, 595, 244, 600]",0,OTHER,"110,000"
"[484, 570, 600, 570, 600, 594, 484, 594]",0,OTHER,"110,000"
"[42, 599, 158, 602, 157, 628, 41, 625]",0,OTHER,COM-13
"[502, 632, 608, 632, 608, 658, 502, 660]",0,OTHER,"52,000"
"[260, 634, 366, 632, 366, 660, 260, 660]",0,OTHER,"13,000"
"[134, 640, 154, 640, 154, 658, 134, 658]",0,OTHER,x
"[40, 668, 208, 668, 208, 694, 40, 694]",0,OTHER,Khan Lanh
"[520, 698, 610, 698, 610, 726, 520, 726]",0,OTHER,"6,000"
"[278, 700, 368, 700, 368, 726, 278, 726]",0,OTHER,"2,000"
"[94, 702, 152, 708, 152, 728, 94, 728]",0,OTHER,3 X
"[428, 746, 606, 744, 606, 780, 428, 780]",18,TOTAL_COST,"168,000"
"[22, 754, 180, 748, 180, 790, 22, 786]",18,TOTAL_COST,T. CỘNG
"[22, 846, 198, 846, 198, 876, 22, 876]",0,OTHER,KHÁCH TRÁI
"[474, 838, 614, 838, 614, 870, 474, 870]",0,OTHER,"168,000"
"[24, 886, 102, 896, 98, 925, 20, 914]",0,OTHER,VND:
"[475, 885, 616, 884, 616, 914, 476, 916]",0,OTHER,"168,000"
"[100, 936, 535, 937, 536, 965, 98, 965]",0,OTHER,CÁM ƠN QUÝ KHÁCH - HEN GẶP LẠI TH
