poly,cate_id,cate_text,vietocr_text
"[164, 56, 270, 64, 270, 76, 164, 72]",16,ADDRESS,0011004-1052 tràn Pháp
"[158, 78, 272, 82, 271, 98, 158, 92]",16,ADDRESS,Mamo80-1082 Dương Trong Pháp
"[20, 81, 114, 84, 113, 108, 19, 105]",15,SELLER,Vincommerce
"[156, 96, 262, 98, 262, 112, 156, 108]",16,ADDRESS,"Phiến phá, Quanh thinh"
"[168, 112, 252, 116, 252, 130, 168, 128]",0,OTHER,032277006366.1700
"[110, 142, 216, 146, 216, 160, 110, 156]",0,OTHER,HÓA ƠN BÁN TĂNG
"[22, 155, 194, 164, 194, 176, 20, 170]",17,TIMESTAMP,Ngày bán: 13/08/2020
"[230, 166, 300, 166, 300, 180, 230, 180]",0,OTHER,01:00064254
"[22, 174, 78, 176, 78, 188, 22, 188]",0,OTHER,quây:001
"[218, 181, 306, 184, 305, 199, 217, 196]",0,OTHER,NVBH:09024146
"[22, 210, 79, 212, 77, 226, 22, 222]",0,OTHER,vat hang
"[144, 214, 186, 212, 186, 228, 144, 226]",0,OTHER,đến giá
"[258, 216, 300, 216, 300, 230, 258, 230]",0,OTHER,T. Tiền
"[20, 226, 260, 234, 260, 246, 20, 240]",0,OTHER,Sừa Thư nguyên ken tu tra la la la la nguyên tha tha thanh thanh thanh thanh thanh thanh thanh thanh thanh thanh thanh thanh than
"[20, 244, 112, 244, 112, 258, 20, 258]",0,OTHER,0311000206944
"[150, 248, 194, 248, 194, 262, 150, 260]",0,OTHER,46.500
"[264, 252, 304, 252, 304, 264, 264, 264]",0,OTHER,26.500
"[22, 262, 290, 268, 290, 282, 22, 274]",0,OTHER,CUSTAS Bánh cao cấp orion (t16)
"[20, 277, 112, 280, 111, 293, 19, 291]",0,OTHER,8936036020120
"[150, 282, 192, 282, 192, 294, 150, 294]",0,OTHER,32.700
"[280, 286, 303, 282, 305, 295, 282, 298]",0,OTHER,700
"[20, 295, 284, 300, 284, 314, 19, 308]",0,OTHER,Meadow Sửa tiệt trung dâu (200m x3
"[20, 312, 112, 314, 112, 326, 20, 326]",0,OTHER,19415522002592
"[170, 316, 192, 316, 192, 328, 170, 328]",0,OTHER,800
"[282, 318, 304, 318, 304, 330, 282, 330]",0,OTHER,300
"[20, 330, 258, 332, 258, 346, 20, 342]",0,OTHER,sưa tiet trung meadow canx 17
"[20, 346, 112, 348, 112, 360, 20, 360]",0,OTHER,09115522002578
"[150, 350, 192, 350, 192, 362, 150, 360]",0,OTHER,44.900
"[262, 352, 304, 350, 304, 364, 262, 362]",0,OTHER,44/900
"[22, 378, 166, 382, 166, 394, 22, 394]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[256, 384, 304, 384, 304, 396, 256, 396]",18,TOTAL_COST,168.900
"[22, 396, 132, 398, 132, 410, 22, 410]",0,OTHER,TỔNG TIẾN XÃ GIAM
"[22, 414, 118, 414, 118, 428, 22, 426]",0,OTHER,TIẾN KHÁCH TRÀNH
"[256, 416, 304, 416, 304, 428, 256, 428]",0,OTHER,168.900
"[28, 430, 132, 432, 132, 444, 28, 444]",0,OTHER,THỂ ATM(059279)
"[256, 432, 304, 432, 304, 446, 256, 444]",0,OTHER,168.900
"[20, 448, 106, 448, 106, 460, 20, 460]",0,OTHER,TIẾN TRÀ LẠI
"[76, 464, 252, 464, 252, 478, 76, 478]",0,OTHER,Gia đã bao gồm thuế gigt)
"[70, 514, 254, 514, 254, 528, 70, 528]",0,OTHER,Chi xuất hóa đơn trong ngày
"[20, 532, 310, 532, 310, 544, 20, 546]",0,OTHER,Tha Tax invoice will be issued wate day
"[56, 564, 272, 564, 272, 576, 56, 578]",0,OTHER,CÁM TN QUÝ KHÁCH VÀ HỆN LẠI
