poly,cate_id,cate_text,vietocr_text
"[296, 154, 622, 158, 622, 186, 296, 182]",15,SELLER,CỬA HÀNG NĂM OÁNH
"[124, 191, 788, 198, 788, 224, 123, 215]",16,ADDRESS,"Thón Phú Thuy, Xà Phú Thi, Huyên Gia Lâm, TP Hà Nội Trinh"
"[294, 237, 626, 242, 626, 268, 293, 264]",0,OTHER,0869322496-02438765210
"[310, 336, 618, 340, 618, 370, 309, 367]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[110, 390, 302, 394, 302, 424, 110, 422]",0,OTHER,Số: SON55534
"[592, 400, 807, 392, 808, 420, 592, 430]",17,TIMESTAMP,Ngày: 11-08-2020)
"[104, 514, 150, 514, 150, 544, 104, 544]",0,OTHER,SL
"[662, 510, 816, 506, 816, 538, 662, 542]",0,OTHER,Thành tiền
"[390, 518, 502, 516, 502, 550, 390, 546]",0,OTHER,Đơn giá
"[106, 568, 552, 570, 549, 609, 104, 603]",0,OTHER,Tương ớt Nam Dương 250g
"[734, 618, 824, 618, 824, 652, 734, 652]",0,OTHER,"9,000"
"[104, 634, 116, 634, 116, 656, 104, 656]",0,OTHER,1
"[412, 624, 494, 624, 494, 658, 412, 658]",0,OTHER,2000
"[96, 688, 493, 678, 495, 722, 96, 724]",0,OTHER,Bột mỳ Mcizan 500g/20
"[400, 739, 495, 734, 497, 772, 402, 777]",0,OTHER,"7,500"
"[739, 732, 831, 729, 832, 770, 740, 773]",0,OTHER,"7,500"
"[92, 807, 546, 804, 543, 845, 90, 845]",0,OTHER,Đường vàng xuất khâu lkg
"[730, 854, 842, 854, 842, 890, 730, 892]",0,OTHER,"14,000"
"[396, 862, 508, 860, 508, 898, 396, 902]",0,OTHER,"14,000"
"[86, 936, 574, 927, 571, 971, 86, 976]",0,OTHER,Kẹo M&M Socola gói 14.5g
"[753, 980, 851, 973, 853, 1013, 756, 1020]",0,OTHER,"5,000"
"[399, 992, 501, 984, 504, 1027, 403, 1034]",0,OTHER,"5,000"
"[736, 1055, 857, 1048, 859, 1092, 738, 1099]",18,TOTAL_COST,"35,500"
"[82, 1075, 353, 1076, 349, 1118, 80, 1118]",18,TOTAL_COST,Cộng tiên hàng
"[224, 1171, 726, 1156, 726, 1196, 226, 1208]",0,OTHER,Cám ơn quý khách. Hẹn gặp lại:
