poly,cate_id,cate_text,vietocr_text
"[180, 84, 266, 84, 266, 104, 180, 106]",15,SELLER,PHÓ MÔ
"[54, 102, 242, 114, 242, 128, 54, 126]",16,ADDRESS,Tổ 7 khu Tân Lập 4
"[258, 110, 380, 110, 380, 134, 258, 128]",16,ADDRESS,PP.Cẩm Thủy
"[96, 130, 218, 132, 218, 152, 96, 152]",16,ADDRESS,Tp.Cấm Phá
"[236, 128, 352, 132, 352, 152, 234, 151]",16,ADDRESS,Quảng Ninh
"[136, 156, 308, 158, 308, 178, 136, 176]",0,OTHER,ĐT:0858.931.931
"[136, 190, 310, 194, 310, 212, 136, 210]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[84, 214, 368, 216, 368, 234, 84, 228]",0,OTHER,HO1300220-0038 - Bản - Ban - Mang Về Ai
"[148, 236, 302, 238, 302, 254, 148, 252]",17,TIMESTAMP,0310712020-21:51
"[50, 263, 134, 264, 134, 282, 49, 278]",0,OTHER,Khách hàng tr
"[48, 284, 82, 284, 82, 302, 48, 302]",0,OTHER,SĐTS
"[48, 308, 102, 310, 102, 326, 48, 326]",0,OTHER,Địa chỉ:
"[48, 360, 107, 358, 109, 375, 48, 376]",0,OTHER,Đơn giáo
"[314, 359, 394, 362, 394, 378, 313, 376]",0,OTHER,Thành tiền
"[46, 384, 188, 386, 188, 402, 46, 402]",0,OTHER,Trà Đào Nha Đam
"[46, 408, 98, 408, 98, 426, 46, 426]",0,OTHER,"15,000"
"[344, 412, 394, 412, 394, 430, 344, 428]",0,OTHER,"15,000"
"[346, 460, 394, 458, 394, 474, 346, 474]",18,TOTAL_COST,"15,000"
"[166, 453, 286, 462, 285, 477, 164, 472]",18,TOTAL_COST,Cộng tiền hàng:
"[200, 482, 288, 482, 288, 500, 200, 500]",0,OTHER,Chiết khấu:
"[202, 505, 289, 512, 287, 531, 199, 525]",0,OTHER,Tổng cộng:
"[346, 512, 398, 510, 398, 528, 346, 528]",0,OTHER,"15,000"
"[172, 536, 284, 540, 284, 554, 172, 554]",0,OTHER,Tiền khách đưang
"[348, 538, 398, 538, 398, 556, 348, 554]",0,OTHER,"15,000"
"[214, 564, 286, 566, 286, 582, 214, 582]",0,OTHER,Tiền thủa t
"[42, 592, 238, 590, 238, 610, 42, 610]",0,OTHER,Mười lăm nghin đồng chẫn chiến
"[142, 642, 312, 642, 312, 660, 142, 660]",0,OTHER,Cảm ơn và hẹn gắp lạil
"[136, 670, 318, 668, 318, 684, 136, 684]",0,OTHER,Powered by POS365 VN
