poly,cate_id,cate_text,vietocr_text
"[135, 73, 296, 76, 296, 94, 135, 93]",15,SELLER,MINIMART ANAN
"[114, 104, 314, 106, 314, 122, 114, 124]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm
"[10, 132, 38, 132, 38, 146, 10, 146]",0,OTHER,Tel:
"[110, 166, 326, 168, 326, 194, 110, 194]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[166, 200, 202, 200, 202, 218, 166, 218]",0,OTHER,ĐVT
"[228, 200, 392, 200, 392, 218, 228, 218]",0,OTHER,Đơn giá Thành tiên
"[26, 202, 105, 203, 103, 223, 26, 220]",0,OTHER,Tên hàng
"[126, 200, 148, 200, 148, 218, 126, 218]",0,OTHER,SL
"[18, 228, 382, 228, 382, 244, 18, 246]",0,OTHER,0011008190000 Sửa TH true milk đường 110m NT
"[256, 254, 298, 250, 298, 268, 256, 270]",0,OTHER,"5,000"
"[18, 252, 116, 252, 116, 270, 18, 272]",0,OTHER,Giá đăng ký:
"[158, 280, 188, 280, 188, 294, 158, 294]",0,OTHER,HOP
"[254, 280, 298, 276, 298, 294, 254, 294]",0,OTHER,"4,896"
"[338, 276, 404, 278, 404, 296, 338, 296]",0,OTHER,"235,008"
"[106, 280, 126, 280, 126, 294, 106, 294]",0,OTHER,48
"[18, 280, 86, 278, 86, 296, 18, 298]",0,OTHER,Giá bán:
"[12, 312, 80, 316, 80, 332, 10, 333]",0,OTHER,Tổng số
"[342, 334, 406, 336, 406, 354, 342, 354]",0,OTHER,"235,008"
"[12, 338, 98, 338, 98, 358, 12, 360]",0,OTHER,Tổng cộng
"[342, 370, 408, 370, 408, 388, 342, 388]",18,TOTAL_COST,"235,008"
"[12, 372, 86, 372, 86, 392, 12, 394]",18,TOTAL_COST,Tổng tiền
"[200, 396, 238, 396, 238, 414, 200, 414]",0,OTHER,VND
"[344, 396, 408, 396, 408, 416, 344, 414]",0,OTHER,"100,000"
"[10, 397, 136, 394, 136, 412, 12, 418]",0,OTHER,Tiển khách trả:
"[340, 424, 406, 426, 406, 444, 340, 444]",0,OTHER,"264,992"
"[6, 430, 126, 424, 126, 444, 6, 448]",0,OTHER,Tiền trả lại VNDS
"[30, 464, 238, 460, 238, 480, 30, 484]",0,OTHER,SỐ GD: 000AC2212008001261
"[240, 460, 404, 460, 404, 480, 240, 480]",17,OTHER,Ngày: 10/08/2020-16:26
"[162, 488, 272, 488, 272, 506, 162, 508]",0,OTHER,Thu ngân: BH3
"[66, 514, 344, 510, 344, 528, 66, 532]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách
