poly,cate_id,cate_text,vietocr_text
"[253, 318, 469, 313, 470, 355, 254, 361]",15,SELLER,VELUTINO
"[34, 384, 696, 376, 696, 410, 34, 422]",15,SELLER,CÔNG TY CP ĐẦU TƯ VELUTINO VIỆT NAM
"[266, 438, 460, 436, 460, 466, 266, 468]",0,OTHER,0962 789 987
"[202, 582, 530, 578, 530, 616, 202, 618]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[32, 647, 250, 649, 249, 682, 34, 681]",0,OTHER,Số: SONO9610
"[448, 648, 701, 643, 702, 674, 448, 684]",17,TIMESTAMP,Ngày: 12-08-2020
"[38, 792, 354, 792, 354, 822, 38, 824]",0,OTHER,Khách hàng: Khàch lê
"[38, 842, 194, 842, 194, 870, 38, 872]",0,OTHER,Điện thoại:
"[38, 894, 146, 892, 146, 918, 38, 922]",0,OTHER,Đia chí:
"[541, 968, 702, 966, 702, 996, 541, 996]",0,OTHER,Thành tiên
"[296, 970, 416, 970, 416, 1002, 296, 998]",0,OTHER,Đơn giá
"[40, 974, 82, 974, 82, 1004, 40, 1004]",0,OTHER,SL
"[38, 1046, 223, 1044, 219, 1074, 38, 1068]",0,OTHER,sơ mị dài tay
"[298, 1088, 414, 1086, 414, 1116, 298, 1116]",0,OTHER,"1885,000"
"[588, 1086, 704, 1088, 704, 1116, 588, 1118]",0,OTHER,"685,000"
"[588, 1154, 706, 1156, 706, 1182, 588, 1184]",0,OTHER,"685,000"
"[36, 1157, 255, 1162, 253, 1193, 34, 1192]",0,OTHER,Cộng liên hàng
"[36, 1204, 190, 1204, 190, 1238, 36, 1240]",0,OTHER,Chiết khấu
"[589, 1255, 705, 1255, 705, 1287, 589, 1287]",18,TOTAL_COST,"685,000"
"[38, 1262, 256, 1256, 256, 1288, 38, 1294]",18,TOTAL_COST,Khách phải trản
"[590, 1304, 706, 1306, 706, 1334, 590, 1338]",0,OTHER,"685,000"
"[38, 1310, 256, 1312, 256, 1338, 38, 1344]",0,OTHER,Tiền khách dua la
"[36, 1366, 126, 1366, 126, 1398, 36, 1396]",0,OTHER,Trả lại
"[36, 1430, 706, 1428, 706, 1458, 36, 1468]",0,OTHER,Quy khách lưu y thuy khac vi tại lại
"[34, 1472, 708, 1472, 704, 1504, 34, 1500]",0,OTHER,hòa đơn và lem mat cho trang
"[34, 1509, 708, 1503, 705, 1539, 32, 1536]",0,OTHER,trong vùng 3 ngay người năng (Không
"[38, 1546, 707, 1535, 709, 1569, 38, 1574]",0,OTHER,pháp dụng với tac sam phám mại lyên một
"[38, 1580, 710, 1578, 710, 1612, 38, 1610]",0,OTHER,"giá & đô lót, phụ kiong ngang gia"
"[38, 1613, 660, 1620, 660, 1642, 36, 1641]",0,OTHER,nhong hoặc hơn giả Chi Ho Work Namonover
"[138, 1674, 614, 1676, 614, 1708, 138, 1702]",0,OTHER,Cám on quy nhach. Hẹn gặp lại.
