poly,cate_id,cate_text,vietocr_text
"[74, 92, 344, 93, 344, 123, 74, 122]",15,SELLER,IN THE COFFEE HOUSES
"[90, 126, 330, 126, 330, 144, 90, 144]",16,ADDRESS,"403 Phan Huy Ích, P.14, Q. Vò Vấp"
"[158, 148, 186, 148, 186, 166, 158, 166]",0,OTHER,Số:
"[226, 150, 254, 150, 254, 170, 226, 170]",0,OTHER,23
"[210, 170, 382, 170, 382, 188, 210, 188]",0,TIMESTAMP,SỐ HĐ: 19810000132020
"[30, 174, 208, 174, 208, 188, 30, 190]",17,TIMESTAMP,Thời gian:01.10.2020 08.35
"[32, 194, 150, 192, 150, 208, 32, 210]",0,OTHER,Thu ngân: cash1
"[30, 210, 123, 210, 121, 229, 30, 226]",0,OTHER,Khách hàng:
"[344, 240, 386, 240, 386, 254, 344, 254]",0,OTHER,T.TTÊN
"[92, 242, 150, 242, 150, 256, 92, 256]",0,OTHER,Tên món
"[241, 242, 277, 239, 278, 253, 242, 256]",0,OTHER,Đ.Giá
"[196, 242, 210, 242, 210, 256, 196, 256]",0,OTHER,SL
"[340, 264, 388, 264, 388, 280, 340, 280]",0,OTHER,35 000
"[60, 268, 148, 264, 148, 282, 60, 282]",0,OTHER,Bạc Xỉu (Vừa)
"[238, 264, 284, 264, 284, 280, 238, 280]",0,OTHER,35 000
"[54, 288, 138, 292, 138, 306, 54, 306]",0,OTHER,Thành tiên:
"[334, 288, 388, 288, 388, 304, 334, 304]",0,OTHER,35 000
"[336, 320, 388, 316, 388, 334, 336, 334]",18,TOTAL_COST,35 000
"[56, 320, 142, 320, 142, 334, 56, 334]",18,TOTAL_COST,Thanh Toán
"[52, 334, 174, 336, 174, 352, 52, 352]",0,OTHER,Tiên khách đưa:
"[334, 334, 390, 334, 390, 352, 334, 352]",0,OTHER,35 000
"[52, 354, 116, 354, 116, 368, 52, 368]",0,OTHER,Tiên thừa
"[380, 356, 390, 356, 390, 368, 380, 368]",0,OTHER,O
"[66, 374, 156, 374, 156, 388, 66, 390]",0,OTHER,Tiền mất VND
"[342, 374, 392, 376, 392, 390, 342, 390]",0,OTHER,35.000
