poly,cate_id,cate_text,vietocr_text
"[178, 86, 346, 88, 346, 104, 178, 104]",16,ADDRESS,"VM 1 NN TÔ 7, KHU MÌNH TIỀN A"
"[204, 110, 320, 108, 320, 128, 204, 128]",16,ADDRESS,"Tô 7, Khu Minh Tiền A"
"[34, 122, 146, 122, 146, 152, 34, 152]",15,SELLER,Vincommerce
"[192, 132, 344, 132, 344, 150, 192, 150]",16,ADDRESS,"Cám Bình, TP. Cảm Phà, ONH"
"[208, 154, 316, 154, 316, 172, 208, 172]",0,OTHER,02471066366-51581
"[32, 192, 160, 192, 160, 210, 32, 210]",17,TIMESTAMP,Ngày:13/08/2020
"[256, 194, 382, 196, 382, 212, 256, 212]",17,TIMESTAMP,Thời gian:17:31
"[150, 216, 268, 214, 268, 232, 150, 232]",0,OTHER,Giao dịch treo
"[32, 234, 100, 238, 100, 252, 32, 252]",0,OTHER,quấy:001
"[272, 236, 384, 236, 384, 252, 272, 252]",0,OTHER,NVBH:09025438
"[32, 254, 159, 254, 159, 272, 32, 272]",0,OTHER,TÊN NV:5156POS2
"[30, 274, 118, 278, 118, 292, 30, 292]",0,OTHER,SỐ GD TREO
