poly,cate_id,cate_text,vietocr_text
"[196, 118, 294, 114, 294, 134, 196, 134]",0,OTHER,CHOBEN
"[190, 150, 260, 150, 260, 166, 190, 166]",0,OTHER,winang
"[20, 184, 182, 182, 182, 204, 20, 204]",0,OTHER,Số chờ: 03 chị
"[20, 228, 148, 228, 148, 248, 20, 248]",0,OTHER,Order: 1.185
"[156, 230, 404, 228, 404, 248, 156, 252]",17,OTHER,Ngày: 08/03/2020 (21:33)
"[20, 276, 274, 280, 274, 300, 18, 297]",0,OTHER,Phục vụ: thu ngàn 104 pp
"[150, 316, 198, 316, 198, 336, 150, 336]",0,OTHER,Món
"[438, 316, 462, 316, 462, 336, 438, 336]",0,OTHER,SL
"[350, 316, 394, 316, 394, 336, 350, 336]",0,OTHER,ĐVT
"[20, 354, 288, 354, 287, 374, 20, 374]",0,OTHER,Sữa chua trân châu đường
"[332, 370, 354, 370, 354, 390, 332, 390]",0,OTHER,Ly
"[18, 386, 60, 386, 60, 404, 18, 404]",0,OTHER,đen
