poly,cate_id,cate_text,vietocr_text
"[192, 118, 534, 116, 533, 150, 192, 150]",15,SELLER,Bún Bò Huếo Xuân
"[92, 158, 508, 156, 508, 174, 92, 176]",16,ADDRESS,CS1.21-25 Tuê Tinh - Hung - Ha Noi
"[90, 180, 494, 178, 494, 200, 90, 200]",16,ADDRESS,CS2: 5D Quarg Trung Thoàn Kiến - Hà Nội
"[90, 204, 430, 200, 430, 222, 90, 222]",16,ADDRESS,CS3 139 Xa Đàn - Ding Đà Nội
"[88, 226, 460, 224, 460, 248, 88, 246]",16,ADDRESS,CS4: 107 Trung Hòa Giấy - Hà Nội
"[88, 250, 454, 248, 454, 270, 88, 270]",0,OTHER,Hotline: 04.85.86.87.36 33 6065
"[180, 274, 552, 276, 552, 310, 180, 310]",0,OTHER,Hóa Đơn Thanh Toán
"[302, 316, 518, 328, 518, 358, 300, 355]",0,OTHER,TÂN 311-T1
"[176, 334, 270, 334, 270, 360, 176, 360]",0,OTHER,TA1867
"[92, 334, 134, 334, 134, 358, 92, 358]",0,OTHER,No:
"[558, 332, 578, 332, 578, 358, 558, 358]",0,OTHER,12
"[92, 370, 350, 368, 350, 396, 92, 398]",17,TIMESTAMP,Ngày: 14.07.202.) 106
"[388, 408, 562, 408, 562, 432, 388, 434]",17,TIMESTAMP,Giờ ra: 12.41
"[88, 406, 262, 406, 262, 430, 88, 432]",17,TIMESTAMP,Giờ vào: 11.51
"[88, 438, 360, 440, 360, 464, 86, 461]",0,OTHER,Phuc vu: Administrators
"[186, 482, 304, 482, 304, 512, 186, 512]",0,OTHER,Tên món
"[438, 486, 462, 486, 462, 508, 438, 508]",0,OTHER,SL
"[86, 530, 174, 530, 174, 552, 86, 552]",0,OTHER,Nem lụi
"[426, 536, 474, 536, 474, 552, 426, 552]",0,OTHER,000
"[82, 566, 190, 568, 190, 590, 82, 588]",0,OTHER,Bánh bèo
"[430, 570, 474, 570, 474, 594, 430, 594]",0,OTHER,"1,00"
"[82, 603, 212, 608, 212, 628, 81, 627]",0,OTHER,Bánh rann it
"[430, 606, 474, 606, 474, 628, 430, 628]",0,OTHER,"1,00"
"[82, 646, 214, 646, 214, 668, 82, 666]",0,OTHER,Thi sim dứa
"[592, 646, 656, 646, 656, 668, 592, 668]",0,OTHER,55000
"[430, 646, 476, 646, 476, 668, 430, 668]",0,OTHER,"1,0)"
"[82, 684, 180, 680, 180, 704, 82, 704]",0,OTHER,Tra Quất
"[428, 684, 476, 684, 476, 706, 428, 706]",0,OTHER,"4,00"
"[580, 684, 656, 686, 656, 706, 580, 708]",0,OTHER,000000000
"[430, 722, 476, 722, 476, 746, 430, 746]",0,OTHER,"4,000"
"[568, 724, 658, 724, 658, 748, 568, 750]",0,OTHER,220 000
"[78, 722, 210, 720, 210, 746, 78, 744]",0,OTHER,Bim đây đủ
"[428, 760, 476, 760, 476, 784, 428, 784]",0,OTHER,"3,00)"
"[582, 764, 648, 764, 648, 788, 582, 790]",0,OTHER,1000
"[144, 763, 185, 760, 187, 781, 146, 784]",0,OTHER,ươi
"[78, 810, 234, 808, 234, 838, 78, 838]",0,OTHER,Thành tiền:
"[526, 814, 662, 816, 662, 844, 526, 842]",0,OTHER,5144000
"[76, 890, 304, 892, 304, 922, 76, 920]",18,TOTAL_COST,Tiền Thanh Toàn
"[528, 896, 664, 900, 664, 928, 526, 925]",18,TOTAL_COST,544000
"[94, 942, 232, 944, 232, 966, 94, 966]",0,OTHER,Tiên mặt VND
"[578, 952, 662, 954, 662, 974, 578, 974]",0,OTHER,554 01)
"[162, 1018, 558, 1026, 558, 1054, 162, 1044]",0,OTHER,Cám ơn quy khác gip lại
"[84, 1086, 240, 1086, 240, 1118, 84, 1118]",0,OTHER,Ký xác nhận
"[360, 1114, 590, 1108, 590, 1134, 360, 1130]",0,OTHER,"Chuyên bản tỉ T1-06,20"
