poly,cate_id,cate_text,vietocr_text
"[136, 104, 314, 104, 314, 124, 136, 124]",15,SELLER,CỬA HÀNG NĂM OÁNH
"[46, 132, 408, 132, 408, 148, 46, 148]",16,ADDRESS,"Thôn Phú Thuy, Xà Phủ Thị, Huyện Gia Lám, Tp Hà Nội"
"[138, 158, 314, 157, 314, 171, 138, 172]",0,OTHER,0869322496-02438765210
"[144, 212, 306, 212, 306, 232, 144, 232]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[290, 252, 410, 254, 409, 272, 290, 270]",17,TIMESTAMP,Ngày: 10-08-2020
"[42, 252, 141, 246, 142, 264, 42, 268]",0,OTHER,Số: SON55062
"[186, 314, 244, 312, 244, 332, 186, 328]",0,OTHER,Đơn giá
"[322, 316, 410, 322, 410, 342, 320, 336]",0,OTHER,Thành tiển
"[40, 318, 64, 318, 64, 336, 40, 336]",0,OTHER,SL
"[42, 348, 218, 342, 218, 360, 42, 368]",0,OTHER,Sửa tươi Milo 180 ml
"[194, 374, 240, 370, 240, 390, 194, 390]",0,OTHER,"1,,00"
"[348, 384, 412, 386, 412, 408, 348, 404]",0,OTHER,"52,000"
"[40, 414, 169, 410, 167, 431, 40, 434]",18,TOTAL_COST,Cộng tiên hàng
"[348, 422, 412, 426, 412, 448, 348, 444]",18,TOTAL_COST,"52,000"
"[108, 452, 340, 464, 340, 484, 108, 470]",0,OTHER,Cám ơn quy khach hiện gặp lại:
