poly,cate_id,cate_text,vietocr_text
"[214, 84, 410, 96, 409, 118, 212, 106]",15,SELLER,MINIMART ANAN
"[184, 116, 431, 132, 429, 152, 181, 137]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm
"[48, 142, 84, 142, 84, 164, 48, 164]",0,OTHER,Tel:
"[174, 196, 446, 206, 446, 236, 174, 228]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[64, 231, 164, 240, 161, 263, 62, 253]",0,OTHER,Tên hàng
"[194, 238, 290, 240, 290, 260, 194, 260]",0,OTHER,SL ĐVT
"[324, 244, 526, 246, 526, 268, 324, 264]",0,OTHER,Đơn giá Thành tiến
"[52, 266, 390, 276, 390, 296, 52, 288]",0,OTHER,0991019090000 sữa ba vì 180ml NT
"[48, 298, 178, 300, 178, 324, 48, 320]",0,OTHER,Giá đăng ký:
"[358, 308, 412, 306, 412, 328, 358, 330]",0,OTHER,"6,000"
"[44, 328, 188, 334, 188, 354, 42, 353]",0,OTHER,Giá bán: 12
"[230, 334, 271, 337, 269, 356, 228, 353]",0,OTHER,HOP
"[476, 338, 542, 342, 542, 362, 473, 359]",0,OTHER,"69,000"
"[354, 340, 410, 338, 410, 360, 354, 362]",0,OTHER,"5,750"
"[35, 372, 126, 380, 126, 402, 32, 401]",0,OTHER,Tổng số:
"[190, 384, 218, 384, 218, 404, 190, 404]",0,OTHER,12
"[32, 405, 147, 415, 145, 439, 29, 433]",0,OTHER,Tổng cộng
"[482, 414, 550, 414, 550, 436, 482, 436]",0,OTHER,"69,000"
"[28, 452, 130, 456, 130, 484, 25, 481]",18,TOTAL_COST,Tổng tiền
"[484, 458, 552, 458, 552, 480, 484, 482]",18,TOTAL_COST,"69,000"
"[26, 488, 192, 490, 192, 514, 26, 516]",0,OTHER,Tiền khách trả:
"[284, 494, 332, 494, 332, 516, 284, 516]",0,OTHER,VND
"[472, 494, 554, 494, 554, 516, 472, 520]",0,OTHER,"200,000"
"[12, 532, 184, 534, 184, 556, 12, 558]",0,OTHER,Tiền trả lại VND:
"[472, 534, 552, 532, 552, 556, 472, 556]",0,OTHER,"131,000"
"[44, 582, 334, 582, 334, 608, 44, 608]",0,TIMESTAMP,SỐ GD: 000AC2212008002290
"[336, 584, 550, 580, 550, 602, 336, 612]",17,TIMESTAMP,Ngày: 16/08/2020-17:03
"[226, 624, 378, 622, 378, 648, 226, 646]",0,OTHER,Thu ngân: BH3
"[94, 654, 469, 648, 470, 671, 94, 676]",0,OTHER,Xin cám ơn và hen gắp lai quý khách thuy
