poly,cate_id,cate_text,vietocr_text
"[176, 58, 260, 56, 260, 70, 176, 70]",16,ADDRESS,001100010119
"[168, 74, 242, 74, 242, 88, 168, 88]",16,ADDRESS,ANSONDONS
"[34, 84, 124, 84, 124, 108, 34, 108]",15,SELLER,Vincommerce
"[180, 92, 250, 94, 250, 106, 180, 106]",16,ADDRESS,CARTALOGY
"[176, 108, 260, 108, 260, 122, 176, 122]",0,OTHER,02471036814 4010
"[120, 140, 224, 140, 224, 152, 120, 152]",0,OTHER,NGONG THÁNG
"[240, 154, 310, 156, 309, 170, 239, 167]",0,OTHER,0000004420
"[34, 156, 202, 156, 202, 170, 34, 170]",17,TIMESTAMP,Ngày bản 13/06/20201
"[34, 174, 88, 174, 88, 186, 34, 186]",0,OTHER,quay:001
"[226, 174, 316, 174, 316, 186, 226, 186]",0,OTHER,NGUY:00024146
"[34, 206, 91, 207, 89, 220, 34, 218]",0,OTHER,vật hàng
"[267, 205, 309, 203, 310, 217, 268, 220]",0,OTHER,T.TIẾN
"[174, 206, 196, 206, 196, 220, 174, 220]",0,OTHER,nia
"[32, 222, 262, 222, 262, 236, 32, 234]",0,OTHER,Là do nam phi 76.400 kgai
"[32, 238, 120, 238, 120, 252, 32, 252]",0,OTHER,02600551004601
"[160, 240, 202, 238, 202, 252, 160, 252]",0,OTHER,35.374
"[274, 238, 316, 238, 316, 252, 274, 250]",0,OTHER,35.374
"[32, 256, 304, 254, 304, 268, 32, 268]",0,OTHER,"Cam cara ruột đó 00 99, 00 200 khang ngày the the the the the the the the the the the the the the the the the the the the the the"
"[32, 272, 122, 272, 122, 284, 32, 284]",0,OTHER,06607695002500
"[274, 272, 316, 272, 316, 284, 274, 284]",0,OTHER,24.975
"[160, 272, 202, 272, 202, 284, 160, 284]",0,OTHER,24.975
"[32, 302, 176, 304, 176, 318, 32, 316]",18,TOTAL_COST,THÔNG TIẾN PHẢI T. TOÁN
"[274, 304, 318, 304, 318, 318, 274, 316]",0,OTHER,60.349
"[32, 320, 142, 320, 142, 334, 32, 334]",0,OTHER,TỔNG TIẾN Ả GIAM
"[32, 336, 128, 336, 128, 350, 32, 350]",0,OTHER,TIỀN KHÁCH TRA
"[274, 338, 318, 338, 318, 350, 274, 350]",0,OTHER,60.349
"[36, 352, 94, 354, 94, 366, 36, 366]",0,OTHER,TIÊN PẬT
"[274, 354, 318, 354, 318, 368, 274, 368]",0,OTHER,60.349
"[30, 370, 114, 370, 114, 384, 30, 384]",0,OTHER,TIÊN TRÀ LẠI
"[82, 384, 262, 386, 262, 400, 82, 400]",0,OTHER,(Giá đã bao gốn thuế gigt)
"[246, 420, 316, 420, 316, 434, 246, 434]",0,OTHER,EXXXXXXXI177
"[28, 420, 146, 420, 146, 434, 28, 434]",0,OTHER,ID THẾ KHÁCH HÀNG
"[28, 436, 200, 434, 200, 452, 28, 450]",0,OTHER,THIẾM TÍCH(1.000VVD.1 điển)
"[198, 454, 318, 454, 318, 468, 198, 468]",0,OTHER,00493000100064229
"[26, 454, 118, 454, 118, 468, 26, 468]",0,OTHER,Số tham chiếu
"[74, 504, 264, 506, 264, 520, 74, 518]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[26, 524, 318, 524, 318, 538, 26, 536]",0,OTHER,Tax invoice will be issued wame day
"[58, 558, 280, 560, 280, 572, 58, 572]",0,OTHER,CÁM CN QUÝ KHÁCH VÀ HIỆN GẬP LẠI
"[22, 576, 314, 578, 314, 590, 22, 590]",0,OTHER,Hot line: 02471066866 Website: Vinmart com
