poly,cate_id,cate_text,vietocr_text
"[128, 190, 524, 190, 524, 212, 128, 216]",15,SELLER,SIEU THI BACH HOA TONG HOP
"[180, 230, 474, 228, 474, 248, 180, 250]",16,ADDRESS,Số 5 Căm Tây - Căm Phá - QN
"[90, 260, 564, 264, 564, 276, 90, 278]",0,OTHER,THI THỊ 1993 1991 1991 1991 1999 1991.000100000000199
"[132, 290, 516, 290, 516, 310, 132, 308]",0,OTHER,Giờ làm viec:77:20:00 hàng ngay
"[186, 334, 462, 334, 462, 366, 186, 366]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[240, 384, 406, 384, 406, 404, 240, 404]",0,OTHER,IMMST:55006627911
"[82, 414, 179, 418, 177, 441, 82, 436]",0,OTHER,Tên hàng
"[208, 414, 304, 416, 304, 436, 208, 436]",0,OTHER,SL ĐVT
"[338, 414, 534, 414, 534, 434, 338, 434]",0,OTHER,Đơn giá Thành tiên
"[76, 446, 234, 446, 234, 468, 76, 468]",0,OTHER,08938505768946
"[76, 480, 494, 480, 494, 498, 76, 502]",0,OTHER,Tinh bột nghệ vàng nguyên chất 50g td nt
"[360, 512, 426, 512, 426, 532, 360, 532]",0,OTHER,"39,000"
"[494, 512, 562, 512, 562, 538, 494, 538]",0,OTHER,"39,000"
"[246, 514, 284, 514, 284, 530, 246, 530]",0,OTHER,GOI
"[68, 547, 154, 554, 154, 574, 65, 573]",0,OTHER,Tổng số:
"[192, 558, 246, 556, 246, 574, 192, 576]",0,OTHER,1.00
"[498, 580, 564, 578, 564, 600, 498, 600]",18,TOTAL_COST,"39,000"
"[66, 579, 314, 582, 314, 604, 64, 606]",18,TOTAL_COST,Tổng cộng (đã gồm VAT)
"[498, 614, 564, 614, 564, 634, 498, 634]",0,OTHER,"50,000"
"[312, 616, 358, 616, 358, 636, 312, 636]",0,OTHER,VND
"[74, 618, 225, 614, 227, 635, 74, 638]",0,OTHER,Tiến khách trả:
"[498, 648, 566, 646, 566, 666, 498, 666]",0,OTHER,"11,000"
"[70, 650, 222, 650, 222, 672, 70, 674]",0,OTHER,Tiển trả lại VNDS
"[118, 692, 484, 688, 484, 716, 118, 716]",0,OTHER,Số GD: 000BB2212008002569 Ngày:
"[206, 726, 397, 721, 398, 744, 206, 746]",0,OTHER,Thu ngân: TRANTHU
"[192, 760, 461, 760, 459, 783, 192, 782]",0,OTHER,Xin cám ơn quỳ khách hàngl
"[117, 841, 489, 832, 490, 867, 118, 874]",0,OTHER,000BB2212008002569
