poly,cate_id,cate_text,vietocr_text
"[208, 98, 344, 96, 344, 114, 208, 114]",16,ADDRESS,VIA ONH 112 Thanh Nhanh
"[188, 120, 366, 116, 366, 136, 188, 138]",16,ADDRESS,"50 112 Thanh Niên, P. Cảm Thành Nhiều"
"[43, 131, 159, 131, 159, 163, 43, 163]",15,SELLER,Vincommerce
"[208, 142, 345, 138, 347, 157, 208, 160]",16,ADDRESS,"TP. Cam Phá, Quảng Hinh"
"[222, 166, 330, 164, 330, 184, 222, 184]",0,OTHER,024.71086866-39871
"[152, 204, 294, 204, 294, 222, 152, 222]",0,OTHER,HÓA ĐƠN BÁN TĂNG
"[42, 224, 258, 226, 258, 244, 42, 242]",17,TIMESTAMP,Ngày bán: 22/08/2020 18:15
"[304, 222, 401, 219, 402, 239, 304, 242]",0,OTHER,19:00181453
"[42, 244, 112, 246, 112, 264, 42, 264]",0,OTHER,Quấy:001
"[287, 246, 401, 240, 402, 259, 288, 265]",0,OTHER,NVBH: 09015348
"[42, 286, 114, 288, 114, 306, 42, 306]",0,OTHER,Mặt hàng
"[196, 286, 257, 284, 259, 303, 196, 306]",0,OTHER,Đơn giá 
"[292, 290, 308, 290, 308, 304, 292, 304]",0,OTHER,SL
"[350, 288, 403, 280, 405, 299, 350, 300]",0,OTHER,T. Tiến
"[42, 308, 360, 306, 360, 324, 42, 326]",0,OTHER,Sữa TTT Da lat Mi kk có đường hộp 450m1
"[348, 328, 404, 326, 404, 344, 348, 344]",0,OTHER,24.500
"[40, 328, 156, 328, 156, 346, 40, 346]",0,OTHER,8938503131063
"[202, 330, 258, 330, 258, 346, 202, 346]",0,OTHER,24.500
"[40, 368, 224, 370, 224, 388, 40, 388]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[348, 370, 404, 368, 404, 386, 348, 386]",18,TOTAL_COST,24.500
"[40, 388, 190, 390, 190, 408, 40, 408]",0,OTHER,TỔNG TIỀN ĐÃ GIẢM
"[348, 412, 406, 410, 406, 428, 348, 428]",0,OTHER,24.500
"[40, 410, 164, 412, 164, 430, 40, 430]",0,OTHER,TIẾN KHÁCH TRÃ
"[48, 432, 120, 434, 120, 450, 48, 450]",0,OTHER,TIẾN MẶT
"[348, 432, 404, 432, 404, 450, 348, 450]",0,OTHER,24.500
"[38, 452, 146, 456, 146, 472, 38, 472]",0,OTHER,TIẾN TRẢ LẠI
"[108, 476, 334, 476, 334, 494, 108, 494]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[98, 538, 336, 540, 336, 558, 98, 556]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[36, 560, 406, 562, 406, 580, 36, 578]",0,OTHER,Tax invoice will be issued within same day
"[78, 602, 356, 604, 356, 622, 78, 622]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[32, 626, 398, 628, 398, 644, 32, 644]",0,OTHER,Hot line: 02471066866 Nebsite: vinmart.com
