poly,cate_id,cate_text,vietocr_text
"[140, 66, 288, 66, 288, 84, 140, 84]",15,SELLER,MINIMART ANAN
"[122, 93, 306, 94, 306, 110, 121, 107]",16,ADDRESS,Chọ Sùi Phu Thị Gia Lâm
"[30, 120, 56, 120, 56, 132, 30, 132]",0,OTHER,Ico
"[118, 150, 316, 152, 316, 174, 118, 176]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[172, 182, 202, 182, 202, 196, 172, 196]",0,OTHER,ĐVT
"[46, 181, 114, 184, 114, 200, 44, 195]",0,OTHER,Tôn hàng
"[134, 182, 154, 182, 154, 198, 134, 198]",0,OTHER,SL
"[228, 184, 380, 184, 380, 198, 228, 198]",0,OTHER,Đơn giá Thành tiên
"[38, 204, 360, 204, 360, 222, 38, 222]",0,OTHER,091009870000 Bánh mì tươi sừa về nt
"[160, 230, 190, 230, 190, 242, 160, 242]",0,OTHER,CAD
"[252, 230, 292, 226, 292, 244, 252, 244]",0,OTHER,"6,000"
"[340, 230, 390, 228, 390, 246, 340, 244]",0,OTHER,"24,000"
"[35, 254, 280, 254, 280, 270, 35, 272]",0,OTHER,8934663138:65 Mi hảo hào 750 nt
"[36, 276, 120, 278, 120, 296, 36, 294]",0,OTHER,Giá đăng ký
"[254, 280, 294, 280, 294, 296, 254, 296]",0,OTHER,"3,500"
"[34, 300, 96, 302, 96, 318, 34, 318]",0,OTHER,Giá bán
"[122, 304, 134, 304, 134, 318, 122, 318]",0,OTHER,0
"[340, 302, 390, 302, 390, 320, 340, 320]",0,OTHER,"33,000"
"[160, 304, 190, 304, 190, 318, 160, 318]",0,OTHER,GOI
"[252, 304, 292, 302, 292, 320, 252, 320]",0,OTHER,"3,300"
"[30, 334, 92, 336, 92, 350, 30, 352]",0,OTHER,Tổng số
"[30, 354, 108, 360, 108, 376, 30, 374]",0,OTHER,Tổng cộng
"[342, 356, 394, 356, 394, 372, 342, 372]",0,OTHER,"57,000"
"[344, 390, 392, 386, 392, 404, 344, 404]",18,TOTAL_COST,"57,000"
"[30, 386, 98, 390, 98, 404, 30, 406]",18,TOTAL_COST,Tổng tiến
"[30, 410, 142, 410, 142, 424, 30, 428]",0,OTHER,Tiển khách trái
"[344, 414, 392, 410, 392, 428, 344, 428]",0,OTHER,"57,000"
"[206, 412, 242, 412, 242, 428, 206, 428]",0,OTHER,VND
"[46, 446, 238, 444, 238, 462, 46, 464]",0,OTHER,SỐ GD: 000AB2212008002450
"[238, 444, 388, 446, 388, 462, 238, 464]",17,OTHER,Ngày: 10/08/2020-06:51
"[168, 470, 268, 470, 268, 488, 165, 485]",0,OTHER,Thu ngân: BH10
"[80, 496, 336, 494, 336, 510, 80, 514]",0,OTHER,Xi Minh cám đn và hạn gắp lại quý khách
