poly,cate_id,cate_text,vietocr_text
"[156, 92, 234, 90, 234, 112, 156, 112]",15,SELLER,PHÔ MỐ
"[46, 112, 196, 116, 196, 136, 46, 134]",16,ADDRESS,Tổ 7 khu Tân Lập
"[224, 114, 334, 112, 334, 132, 224, 132]",16,ADDRESS,P.C Cẩm Thủy
"[82, 136, 308, 134, 308, 152, 82, 156]",16,ADDRESS,Tp. Cẩm Phá - Quảng Ninh
"[118, 158, 270, 156, 270, 176, 118, 176]",0,OTHER,11111 0858.931 931
"[122, 192, 270, 190, 270, 208, 122, 206]",0,OTHER,PHOA ĐƠN BẢN HÀNG
"[90, 212, 304, 212, 304, 226, 90, 224]",0,OTHER,SO MD110820:0049 33 AJ
"[130, 232, 264, 232, 264, 246, 130, 244]",17,TIMESTAMP,007007202020202
"[46, 258, 118, 258, 118, 272, 46, 270]",0,OTHER,Khách hang
"[46, 276, 74, 276, 74, 290, 46, 290]",0,OTHER,SĐT
"[44, 296, 88, 296, 88, 310, 44, 310]",0,OTHER,Địa chí
"[44, 338, 96, 340, 96, 352, 44, 350]",0,OTHER,Đơn gia
"[274, 338, 344, 336, 344, 350, 274, 352]",0,OTHER,Thành tiền
"[44, 360, 94, 360, 94, 374, 44, 374]",0,OTHER,Matcha
"[44, 382, 88, 382, 88, 394, 44, 394]",0,OTHER,"25,000"
"[300, 382, 344, 380, 344, 394, 300, 394]",0,OTHER,"25,000"
"[44, 404, 166, 404, 166, 418, 44, 418]",0,OTHER,Tra Đào Nha Đam
"[302, 426, 346, 424, 346, 438, 302, 438]",0,OTHER,15.000
"[44, 426, 86, 426, 86, 438, 44, 438]",0,OTHER,"15,000"
"[42, 446, 186, 450, 186, 462, 41, 461]",0,OTHER,Hướng dương ốc cho
"[42, 470, 86, 470, 86, 482, 42, 482]",0,OTHER,"12,000"
"[304, 470, 346, 466, 346, 484, 304, 484]",0,OTHER,"12,000"
"[42, 492, 92, 494, 92, 506, 42, 506]",0,OTHER,Bạc siu
"[40, 514, 84, 514, 84, 528, 40, 528]",0,OTHER,"25,000"
"[302, 512, 348, 512, 348, 528, 302, 528]",0,OTHER,25.000
"[146, 554, 253, 560, 251, 573, 144, 569]",0,OTHER,Cộng tiên hang
"[304, 554, 350, 554, 350, 570, 304, 570]",0,OTHER,"77,000"
"[176, 578, 252, 578, 252, 594, 176, 594]",0,OTHER,Chiết khẩu th
"[174, 602, 252, 606, 252, 620, 174, 620]",18,TOTAL_COST,Tông cộng:
"[304, 602, 352, 602, 352, 618, 304, 618]",18,TOTAL_COST,"77,000"
"[150, 628, 250, 630, 250, 642, 150, 642]",0,OTHER,Tiên khách dua ra
"[308, 630, 354, 628, 354, 644, 308, 642]",0,OTHER,"77,000"
"[188, 654, 250, 654, 250, 668, 188, 668]",0,OTHER,Tiên thừa l
"[36, 678, 234, 676, 234, 694, 36, 692]",0,OTHER,Báy mưoi bày nghin đồng chắn thu
"[122, 724, 274, 724, 274, 740, 122, 738]",0,OTHER,Cam ơn và hẹn gặp lại.
"[116, 746, 278, 746, 278, 762, 116, 760]",0,OTHER,Powered by POS365.VN
