poly,cate_id,cate_text,vietocr_text
"[237, 10, 456, 8, 456, 22, 238, 25]",15,SELLER,MINIMARTANAN
"[206, 36, 482, 33, 481, 48, 206, 48]",16,ADDRESS,Chiến Sui Phu Thị Gia Lam
"[58, 64, 96, 64, 96, 78, 58, 78]",0,OTHER,Tel:
"[190, 94, 504, 96, 504, 126, 190, 124]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[68, 134, 177, 138, 175, 159, 68, 154]",0,OTHER,Tên hàng
"[362, 132, 604, 134, 604, 156, 361, 151]",0,OTHER,Đơn giá Thành tiển
"[212, 134, 320, 134, 320, 154, 212, 154]",0,OTHER,SVL
"[57, 167, 526, 166, 526, 186, 58, 193]",0,OTHER,038030010681415 phở cung đình gia
"[546, 200, 624, 200, 624, 222, 546, 222]",0,OTHER,"26,000"
"[252, 200, 298, 200, 298, 220, 252, 220]",0,OTHER,GOT
"[400, 200, 464, 200, 464, 222, 400, 224]",0,OTHER,"6,500"
"[52, 244, 438, 242, 438, 264, 52, 268]",0,OTHER,09291012390000 xúc xích chiến
"[252, 280, 296, 280, 296, 300, 252, 300]",0,OTHER,TUT
"[546, 280, 628, 280, 628, 304, 546, 306]",0,OTHER,"132,000"
"[386, 280, 466, 280, 466, 304, 386, 306]",0,OTHER,"32,000"
"[50, 322, 462, 324, 462, 346, 50, 348]",0,OTHER,08936048470524 893604847 NT
"[192, 364, 204, 364, 204, 380, 192, 380]",0,OTHER,Z
"[562, 360, 628, 360, 628, 382, 562, 386]",0,OTHER,"7,000"
"[400, 362, 466, 362, 466, 386, 400, 386]",0,OTHER,"3,500"
"[252, 362, 296, 362, 296, 382, 252, 382]",0,OTHER,GOI
"[48, 404, 610, 404, 610, 426, 48, 430]",0,OTHER,"8934673727563 sữa power, my joym nom"
"[552, 440, 631, 439, 632, 461, 552, 466]",0,OTHER,"10,000"
"[250, 442, 298, 442, 298, 462, 250, 462]",0,OTHER,CHA
"[388, 442, 466, 442, 466, 464, 388, 464]",0,OTHER,"10,000"
"[48, 484, 516, 486, 516, 508, 48, 510]",0,OTHER,0019966000440039 Bia Hà Nội Nh
"[248, 522, 298, 522, 298, 544, 248, 544]",0,OTHER,Lon
"[190, 526, 202, 526, 202, 542, 190, 542]",0,OTHER,2
"[388, 524, 466, 524, 466, 546, 388, 546]",0,OTHER,"10,000"
"[550, 524, 634, 524, 634, 548, 550, 550]",0,OTHER,"20,000"
"[48, 566, 438, 566, 438, 588, 48, 592]",0,OTHER,08934680045681 bánh mi bò kh
"[250, 604, 298, 604, 298, 624, 250, 624]",0,OTHER,GOT
"[400, 604, 466, 604, 466, 628, 400, 626]",0,OTHER,"8,000"
"[550, 604, 630, 604, 630, 630, 550, 630]",0,OTHER,"16,000"
"[192, 608, 204, 608, 204, 624, 192, 624]",0,OTHER,2
"[210, 660, 240, 660, 240, 682, 210, 682]",0,OTHER,12
"[40, 649, 140, 654, 140, 680, 38, 680]",0,OTHER,Tổng số:
"[40, 684, 165, 694, 163, 723, 37, 715]",17,TIMESTAMP,Tổng cộng
"[541, 694, 635, 691, 636, 718, 542, 721]",17,TIMESTAMP,"111,000"
"[42, 724, 218, 726, 218, 752, 42, 752]",0,OTHER,Tiển khách trả:
"[320, 734, 376, 734, 376, 758, 320, 758]",0,OTHER,VND
"[542, 734, 638, 734, 638, 762, 542, 762]",0,OTHER,"111,000"
"[50, 790, 340, 794, 340, 818, 50, 816]",0,OTHER,Mã thẻ: A10000000459
"[52, 828, 280, 830, 280, 852, 52, 856]",0,OTHER,(0) hoàng văn cảnh
"[52, 862, 178, 870, 178, 888, 50, 885]",0,OTHER,Điêm mua:
"[598, 864, 624, 864, 624, 884, 598, 884]",0,OTHER,11
"[56, 896, 232, 902, 232, 924, 56, 924]",0,OTHER,Điểm hiện thời:
"[562, 902, 624, 900, 624, 922, 562, 924]",0,OTHER,"1,124"
"[60, 934, 234, 940, 234, 962, 57, 958]",0,OTHER,Hạng hiện thời:
"[60, 972, 319, 985, 313, 1010, 60, 998]",0,OTHER,Giá trị thướng tích luy:
"[550, 980, 628, 978, 628, 1004, 550, 1002]",0,OTHER,"16,309"
