poly,cate_id,cate_text,vietocr_text
"[184, 98, 344, 94, 344, 114, 184, 114]",0,OTHER,"Và Viên Chi Tổ 7, Khu Minh Tinh Anh"
"[208, 118, 318, 120, 318, 134, 208, 134]",16,ADDRESS,Thi Thu Hinh Tho A
"[42, 116, 154, 127, 151, 153, 40, 143]",15,SELLER,UnCommerce
"[196, 136, 343, 135, 345, 149, 196, 154]",16,ADDRESS,"Củm Bình TP. Cam Phả, Chim Nha"
"[212, 156, 316, 156, 316, 174, 212, 174]",0,OTHER,02411000000668
"[144, 190, 272, 190, 272, 208, 144, 208]",0,OTHER,HÔN ƠN DÂN HĂNG
"[36, 198, 244, 214, 244, 226, 34, 216]",0,OTHER,Ngày băn 12/08/2020 10:11
"[307, 212, 375, 209, 376, 224, 308, 227]",0,OTHER,00032470
"[36, 219, 106, 224, 106, 242, 34, 237]",0,OTHER,quây::001
"[276, 232, 385, 227, 386, 242, 276, 246]",0,OTHER,NVIHI 09025438
"[36, 260, 107, 264, 105, 282, 36, 278]",0,OTHER,Vất hàng
"[328, 270, 378, 264, 378, 282, 328, 282]",0,OTHER,Tiền
"[270, 272, 284, 272, 284, 284, 270, 284]",0,OTHER,SL
"[186, 270, 238, 268, 238, 286, 186, 284]",0,OTHER,tơn giáo
"[34, 279, 367, 285, 368, 300, 32, 296]",0,OTHER,Nước uống đông chai da cha 1 5 00 1 5 00 1950
"[34, 299, 148, 306, 148, 320, 32, 317]",0,OTHER,8935049510840
"[220, 310, 246, 310, 246, 322, 220, 322]",0,OTHER,000
"[336, 306, 388, 302, 388, 320, 336, 320]",0,OTHER,15.000
"[32, 338, 214, 344, 214, 362, 32, 358]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[334, 344, 390, 342, 390, 360, 334, 360]",18,TOTAL_COST,15.000
"[32, 358, 172, 364, 172, 382, 30, 377]",0,OTHER,TỔNG TIÊN Ã GIẢM
"[32, 380, 154, 384, 154, 402, 32, 400]",0,OTHER,TIỀN KHÁCH TRẢN
"[336, 384, 390, 382, 390, 400, 336, 400]",0,OTHER,15.000
"[40, 404, 112, 404, 112, 422, 40, 422]",0,OTHER,TIÊN MẶT
"[336, 404, 390, 402, 390, 420, 336, 422]",0,OTHER,15.000
"[30, 422, 138, 428, 138, 444, 30, 442]",0,OTHER,TIẾN TRẢ LẠI
"[98, 446, 272, 446, 272, 464, 98, 464]",0,OTHER,(Giá đã bao gốm thuế
"[124, 508, 324, 508, 324, 526, 124, 526]",0,OTHER,xuất hóa đơn trong ngày
"[28, 532, 394, 530, 394, 548, 28, 548]",0,OTHER,Tax invoice will be issued within same day
"[70, 572, 344, 572, 344, 590, 70, 590]",0,OTHER,CẦM ON QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[22, 596, 388, 596, 388, 612, 22, 612]",0,OTHER,"Hot line: 02471066866 Website: Vinmart, COM"
