poly,cate_id,cate_text,vietocr_text
"[220, 76, 402, 78, 402, 96, 220, 96]",15,SELLER,MINIMART ANAN
"[196, 102, 422, 108, 422, 122, 194, 119]",16,ADDRESS,Chợ Sùi Phu Thị Gia Lam Th
"[72, 122, 106, 122, 106, 138, 72, 138]",0,OTHER,Tel:
"[188, 166, 441, 166, 442, 193, 188, 196]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[88, 198, 296, 204, 296, 222, 88, 218]",0,OTHER,Tên hàng sl đvt
"[328, 204, 522, 198, 522, 218, 328, 220]",0,OTHER,Đơn giá Thành tiển
"[78, 223, 480, 228, 480, 248, 77, 245]",0,OTHER,4800361396455 Sữa bột NAN Pro 3 900g NT Trinh
"[464, 254, 540, 254, 540, 274, 464, 276]",0,OTHER,"376,000"
"[338, 256, 412, 256, 412, 276, 338, 276]",0,OTHER,"376,000"
"[244, 258, 280, 258, 280, 274, 244, 274]",0,OTHER,HOP
"[66, 287, 152, 294, 152, 312, 64, 310]",0,OTHER,Tổng số:
"[64, 312, 171, 323, 169, 345, 62, 337]",18,TOTAL_COST,Tổng cộng
"[472, 318, 548, 318, 548, 338, 472, 340]",18,TOTAL_COST,"376,000"
"[62, 346, 216, 350, 216, 370, 62, 368]",0,OTHER,Tiển khách trả:
"[476, 350, 554, 348, 554, 370, 476, 370]",0,OTHER,"506,000"
"[300, 352, 344, 352, 344, 372, 300, 372]",0,OTHER,VND
"[48, 384, 210, 384, 210, 404, 48, 404]",0,OTHER,Tiền trả lại VND:
"[478, 384, 556, 382, 556, 404, 478, 404]",0,OTHER,"130,000"
"[62, 432, 318, 432, 318, 452, 62, 454]",0,OTHER,Mã thẻ: A10000001198
"[58, 466, 240, 466, 240, 486, 58, 494]",0,OTHER,(0) đỗ hương thu
"[544, 498, 570, 498, 570, 518, 544, 518]",0,OTHER,37
"[52, 502, 172, 506, 172, 526, 52, 526]",0,OTHER,Điêm mua:
"[518, 536, 576, 534, 576, 558, 518, 558]",0,OTHER,"2,062"
"[52, 536, 218, 540, 218, 562, 52, 566]",0,OTHER,Điểm hiện thời:
"[50, 581, 220, 578, 220, 602, 49, 603]",0,OTHER,Hạng hiện thời:
"[512, 608, 584, 608, 584, 632, 512, 632]",0,OTHER,"17,353"
"[46, 618, 298, 616, 298, 644, 46, 644]",0,OTHER,Giá trị thướng tích lũy:
"[62, 670, 357, 666, 358, 693, 62, 696]",0,TIMESTAMP,SỐ GD: 000AB2212008003242
"[360, 666, 585, 658, 586, 686, 360, 696]",17,TIMESTAMP,Ngày: 13/08/2020-10:51
"[250, 712, 406, 708, 406, 734, 250, 736]",0,OTHER,Thu ngân: BH2
"[114, 744, 508, 738, 508, 764, 114, 770]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách
