poly,cate_id,cate_text,vietocr_text
"[192, 8, 300, 12, 300, 28, 192, 26]",16,ADDRESS,VIN4 HNI 36 Đinh Thôn
"[176, 32, 318, 30, 318, 48, 176, 48]",16,ADDRESS,Số 36 Đình Thốn P. Mỹ Đinh 19
"[40, 36, 142, 46, 139, 74, 37, 65]",15,SELLER,Vincommerce
"[202, 52, 304, 52, 304, 66, 202, 66]",16,ADDRESS,Nam từ Unm Ha Noi
"[200, 72, 294, 70, 294, 84, 200, 86]",0,OTHER,02471066366-55731
"[136, 106, 254, 102, 254, 120, 136, 120]",0,OTHER,CHOA ƠN BÁN HÀNG
"[274, 124, 352, 124, 352, 138, 274, 138]",0,OTHER,01:00004680
"[38, 124, 230, 126, 230, 140, 38, 138]",17,TIMESTAMP,Ngày ban:23/08/2020 18:04
"[38, 140, 100, 142, 100, 154, 38, 152]",0,OTHER,Quay:001
"[258, 142, 360, 142, 360, 156, 258, 156]",0,OTHER,NVBI1:09028500
"[38, 166, 100, 170, 100, 182, 38, 178]",0,OTHER,Hất hàng
"[176, 176, 222, 178, 222, 190, 176, 188]",0,OTHER,lớn gia
"[306, 176, 354, 176, 354, 192, 306, 192]",0,OTHER,T.TTÊN
"[36, 180, 246, 194, 246, 206, 36, 192]",0,OTHER,"Ca rat 30,000/KG 0 K. Giáo Khác Điện Đa Khác Điện Đa Khu Kha Ngày"
"[252, 178, 268, 178, 268, 192, 252, 192]",0,OTHER,SL
"[36, 192, 140, 200, 139, 213, 35, 206]",0,OTHER,02600099002602
"[200, 208, 232, 208, 232, 220, 200, 220]",0,OTHER,800
"[36, 210, 338, 228, 338, 242, 36, 224]",0,OTHER,MMI NAC THẦN HEO (S) 154.900/KG X) THÀNH KHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO NGHO
"[336, 214, 362, 214, 362, 226, 336, 226]",0,OTHER,1000
"[32, 226, 52, 226, 52, 242, 32, 242]",0,OTHER,KG
"[32, 246, 138, 246, 138, 264, 32, 264]",0,OTHER,2656209003908
"[184, 252, 232, 254, 232, 266, 184, 264]",0,OTHER,1600411
"[316, 260, 354, 262, 354, 272, 316, 272]",0,OTHER,600411
"[32, 266, 52, 266, 52, 282, 32, 282]",0,OTHER,KM 
"[340, 278, 366, 278, 366, 290, 340, 290]",0,OTHER,850
"[32, 284, 344, 292, 343, 306, 32, 302]",0,OTHER,Xúc xích Đeli Việt Nam Le Gourmet G500g
"[32, 304, 138, 304, 138, 322, 32, 322]",0,OTHER,8935019599783
"[182, 306, 234, 306, 234, 322, 182, 322]",0,OTHER,96.000
"[318, 310, 368, 310, 368, 324, 318, 324]",0,OTHER,36.000
"[32, 324, 256, 326, 256, 344, 32, 342]",0,OTHER,Sữa uồng lên men yakult 65m1
"[34, 346, 138, 346, 138, 362, 34, 362]",0,OTHER,08938501434043
"[184, 348, 232, 346, 232, 362, 184, 362]",0,OTHER,48.000
"[318, 350, 368, 348, 368, 364, 318, 362]",0,OTHER,"48,000"
"[32, 364, 162, 366, 162, 384, 32, 380]",0,OTHER,Gio lua HNF 3000
"[34, 383, 138, 386, 137, 402, 33, 399]",0,OTHER,08938509863326
"[184, 388, 232, 386, 232, 402, 184, 402]",0,OTHER,"67,900"
