poly,cate_id,cate_text,vietocr_text
"[200, 96, 380, 94, 380, 116, 200, 116]",16,ADDRESS,VM4 ONH 1080-1082 Trần Phú Thái
"[198, 122, 382, 122, 382, 140, 198, 140]",16,ADDRESS,Số 1060-1062 Đường Trần Phu Nha
"[22, 133, 157, 138, 155, 172, 20, 167]",15,SELLER,VinCommerce
"[214, 148, 368, 148, 368, 168, 214, 168]",16,ADDRESS,"TP. Câm Phà, Quảng Ninh"
"[230, 172, 352, 172, 352, 192, 230, 192]",0,OTHER,02471066866-49301
"[18, 213, 174, 216, 174, 236, 16, 233]",17,TIMESTAMP,Ngày: 15/08/2020
"[286, 216, 436, 214, 436, 234, 286, 236]",17,TIMESTAMP,Thời gian:09:09
"[160, 242, 300, 242, 300, 260, 160, 260]",0,OTHER,Giao dịch treo
"[18, 262, 102, 264, 102, 284, 18, 284]",0,OTHER,quầy: 001
"[307, 264, 435, 261, 436, 281, 308, 284]",0,OTHER,NVBH:09024144
"[18, 288, 172, 288, 172, 308, 18, 308]",0,OTHER,TÊN NV:4930POS1
"[18, 312, 164, 314, 164, 332, 18, 332]",0,OTHER,SỐ GD TREO:426
